business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes,email_step1_sent
"The Factory Kitchen","1300 Factory Pl, Los Angeles, CA 90013, USA","(213) 996-6000","https://thefactorykitchen.com/","https://maps.google.com/?cid=5883647778288816441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1063","5","5","3","2","Doug Robbins","2","The Factory Kitchen is absolutely overpriced for underwhelming food. I hoped for a nice dinner with my girlfriend at a 4","info@thefactorykitchen.com","","","","2026-04-28"
"BADMAASH Downtown LA","108 W 2nd St APT 104, Los Angeles, CA 90012, USA","(213) 221-7466","http://www.badmaashla.com/","https://maps.google.com/?cid=6203232972313248096&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1779","5","5","3","1","Amit Naik","1","Someone recommended this restaurant after seeing it on Instagram. I was skeptical from the start because many social med","info@badmaashla.com","","","","2026-04-28"
"Girl & the Goat Los Angeles","555-3 Mateo St, Los Angeles, CA 90013, USA","(213) 799-4628","http://girlandthegoat.com/","https://maps.google.com/?cid=8526069136656805243&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","3625","5","5","1","3","Arash","3","Had been wanting to try Girl & the Goat LA for a while and finally made it in for a double birthday dinner. The space is","info@girlandthegoat.com","","","","2026-04-28"
"Bacari Silverlake","3626 Sunset Blvd, Los Angeles, CA 90026, USA","(323) 986-6763","https://www.eatwithbacari.com/silverlake","https://maps.google.com/?cid=15759891190649939146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1616","5","5","1","1","Christopher M","1","I definitely expected to be writing a 5 star review. Unfortunately that’s not the case. I will definitely give credit wh","info@eatwithbacari.com","","","","2026-04-28"
"Urth Caffe","459 S Hewitt St, Los Angeles, CA 90013, USA","(213) 797-4534","https://www.urthcaffe.com/","https://maps.google.com/?cid=6200198368856357791&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5711","5","5","1","3","Tariana Cox","3","Felt like a late bloomer, but I finally experienced Urth Cafe for the first time today 😮‍💨 I can understand what makes","info@urthcaffe.com","","","","2026-04-28"
"71Above","633 W 5th St 71st floor, Los Angeles, CA 90071, USA","(213) 712-2683","https://www.71above.la/","https://maps.google.com/?cid=3565751723328692397&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2774","5","5","0","4","Valentine Villaluz","4","⭐️⭐️⭐️⭐️ 4/5 – Incredible Views & Service, but Food Needs a Few Tweaks  71Above is one of the most visually stunning din","info@71above.la","","","","2026-04-28"
"Perch","448 S Hill St, Los Angeles, CA 90013, USA","(213) 802-1770","http://perchla.com/","https://maps.google.com/?cid=3866628448079004996&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","7490","5","5","0","4","Arsalan E","4","Overall a good restaurant with a nice patio with great views and great cocktails and wine list. Tried a number of dishes","info@perchla.com","","","","2026-04-28"
"Bottega Louie","700 S Grand Ave, Los Angeles, CA 90017, USA","(213) 802-1470","http://www.bottegalouie.com/","https://maps.google.com/?cid=1773934679941021267&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","7648","5","5","0","5","Enchanted Citrine","5","The experience was amazing. Firstly, we arrived earlier than our reservation time but they still seated us right away. T","info@bottegalouie.com","","","","2026-04-28"
"JOEY DTLA","700 W 7th St Ste S430, Los Angeles, CA 90017, USA","(213) 372-5335","https://joeyrestaurants.com/location/joey-dtla","https://maps.google.com/?cid=12586880607528883189&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","4748","5","5","0","4","JRay Eats","4","I had a lot of fun going here. Parking was like $44 for overnight or all night maximum. I got it validated at Joey DTLA","accessibility@joeyrestaurants.com","","","","2026-04-28"
"Maccheroni Republic","332 S Broadway, Los Angeles, CA 90013, USA","(213) 346-9725","http://www.maccheronirepublic.com/","https://maps.google.com/?cid=10713702449749472098&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3075","5","5","0","4","Anna","4","I went on the last day of Dine LA for lunch and there was no wait! I was honestly prepared for the worst. I got three co","info@maccheronirepublic.com","","","","2026-04-28"
"République","624 S La Brea Ave, Los Angeles, CA 90036, USA","(310) 362-6115","http://www.republiquela.com/","https://maps.google.com/?cid=11146942846194704924&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","7074","5","5","0","4","AC9","4","My friend says this is one of her fave foodie spots. So let’s see if they’re pretty good eh or ew. They were on the Mich","info@republiquela.com","","","","2026-04-28"
