business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"9 Mile Station","Ponce City Market, 1829, 675 Ponce De Leon Ave NE, Atlanta, GA 30308, USA","(770) 999-1532","http://www.9milestation.com/","https://maps.google.com/?cid=5707369445921102495&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","8571","5","5","2","3","Que The Traveler","3","My experience at The Nine Mile Station was pretty cool overall. I ordered the chicken sandwich with coleslaw and fries, ","","","",""
"Margaritaville Restaurant - Atlanta","155 Centennial Olympic Park Dr NW, Atlanta, GA 30303, USA","(470) 781-2336","https://www.margaritavilleatlanta.com/","https://maps.google.com/?cid=6482727398846119225&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","3505","5","5","2","1","Alexandria Broskie","1","Every single plate we ordered had a problem. Hair in food, all of it was burnt/overcooked. The scallops were hocky pucks","","","",""
"Six Feet Under Pub & Fish House - Grant Park","437 Memorial Dr SE Suite #1A, Atlanta, GA 30312, USA","(404) 523-6664","https://www.sixfeetunder.net/","https://maps.google.com/?cid=6948163185367734121&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","9594","5","5","2","1","Adam Gasper","1","Not sure how this place is still in business. Went here awhile ago and had a bad experience and we put the in a time out","","","",""
"Magic City Kitchen","241 Forsyth St SW Unit A, Atlanta, GA 30303, USA","(404) 495-4808","https://www.magiccitykitchen.com/","https://maps.google.com/?cid=1890340625740517415&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","232","5","5","2","2","James T","2","This was disappointing. The wings just aren't great. Small. Dry. Seasoning is good, but not great. Mozzarella sticks are","","","",""
"Amalfi Cucina + Mercato","17 Andrew Young International Blvd NE 2nd Floor, Atlanta, GA 30303, USA","(404) 882-1740","https://www.amalfiatl.com/atlanta","https://maps.google.com/?cid=9122685420416031717&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3163","5","5","2","3","Robbie","3","We really wanted to love this place. The restaurant is beautiful and has a lot of potential, which honestly makes this r","","","",""
"Miller Union","999 Brady Ave NW Ste 106, Atlanta, GA 30318, USA","(678) 733-8550","http://www.millerunion.com/","https://maps.google.com/?cid=1610815331814322385&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1364","5","5","2","2","Dana Brownlee","2","We dined last night (V-Day) for the $135 prix fixe menu, and it was underwhelming (and not worth fighting the West Midto","","","",""
"Utopia Restaurant at the Underground Atlanta","50 Upper Alabama St, Atlanta, GA 30303, USA","(470) 886-1803","https://utopialoungeatl.com/","https://maps.google.com/?cid=15391179248563716676&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","3193","5","5","1","2","Shay Starr","2","The atmosphere is great. It started out just like a lounge should. Nice mellow music. Not too loud. However, once I arri","","","",""
"Marcel","1170 Howell Ml Rd, Atlanta, GA 30318, USA","(404) 665-4555","http://www.marcelatl.com/","https://maps.google.com/?cid=13656566955020689727&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2153","5","5","1","3","Cheri Glynn","3","Our neighbors and friends have been recommending Marcel for years, so we finally decided to try it for a date night last","","","",""
"The Steamhouse Lounge","1051 W Peachtree St NW, Atlanta, GA 30309, USA","(404) 233-7980","http://www.steamhouselounge.com/","https://maps.google.com/?cid=15009115205993187935&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3712","5","5","1","3","Jalisa Crutchfield","3","I was visiting a friend and we decided to go across the street to grab something to eat.  Service: no wait time, and the","","","",""
"STK Steakhouse","1075 Peachtree St NE, Atlanta, GA 30309, USA","(404) 793-0144","https://stksteakhouse.com/venues/atlanta/","https://maps.google.com/?cid=13219520291584618907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","23578","5","5","1","2","Lakeshea Trueblood","2","Please note that there is free parking in the parking deck next to the building which they do not post. It should be a s","","","",""
