business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Comedor","501 Colorado St, Austin, TX 78701, USA","(512) 499-0977","https://comedortx.com/","https://maps.google.com/?cid=6958240678106455106&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1021","5","5","2","2","james fraasch","2","Drinks were good. Food was…like when your friend says she can elevate a taco by doing something to it and you don’t quit","","","",""
"Corner Restaurant","110 E 2nd St, Austin, TX 78701, USA","(512) 608-4488","https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","https://maps.google.com/?cid=2814634074907806452&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","17874","5","5","1","3","Bill RB","3","Weekend getaway in Austin, stayed at another hotel but went here for dinner.  Ambience - cool modern vibe, a but dark, b","","","",""
"Aba Austin","1011 S Congress Ave Bldg 2 Suite 180, Austin, TX 78704, USA","(737) 273-0199","https://www.abarestaurants.com/austin/","https://maps.google.com/?cid=14552229874544202460&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","7366","5","5","1","3","Harv","3","Beautiful place to have a romantic meal with that special someone without having to go dressed up to the 9s and 10s. Thi","","","",""
"Hestia","607 W 3rd St #105, Austin, TX 78701, USA","(512) 333-0737","http://hestiaaustin.com/","https://maps.google.com/?cid=11522253544223972272&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","963","5","5","1","2","Анна","2","We visited this fine-dining restaurant, and unfortunately, the experience was quite mixed. Here is my detailed impressio","","","",""
"Eureka!","200 E 6th St, Austin, TX 78701, USA","(512) 735-1144","http://eurekarestaurantgroup.com/blog/locations/austin/","https://maps.google.com/?cid=6298259428620781736&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2999","5","5","1","3","D K","3","Went at 5pm on a Thursday for my birthday (with a reservation).  Place was almost empty.  We had the Brussels sprouts an","","","",""
"Upstairs at Caroline","109 E 7th St, Austin, TX 78701, USA","(512) 982-6766","https://www.carolinerestaurant.com/upstairs-at-caroline?utm_source=google&utm_medium=organic&utm_campaign=business_listing","https://maps.google.com/?cid=795394951073857977&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","6680","5","5","1","3","Patra Cardinal","3","Get ready for the smallest tacos in the universe. Even the ingredients was less than what it could fill the taco. It see","","","",""
"Industry","1211 E 5th St. Ste 150, Austin, TX 78702, USA","(512) 564-8686","http://eastside.industrytx.com/","https://maps.google.com/?cid=4377382864982646783&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1369","5","5","1","1","Real person","1","We sat at the bar and our service was horrible and the food we ordered wasn't very impressive at all. I ordered the indu","","","",""
"BOA Steakhouse","300 W 6th St #100, Austin, TX 78701, USA","(512) 651-0700","https://boasteak.com/","https://maps.google.com/?cid=13939485911443936030&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","1591","5","5","1","2","Lydia Huang","2","I really wanted to like this place, especially since everyone I spoke to had a positive experience here. However, it was","","","",""
"Caroline","621 N Congress Ave Suite 101, Austin, TX 78701, USA","(512) 982-6766","http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","https://maps.google.com/?cid=4093074264320094839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","14304","5","5","0","4","IBE","4","My friend and I drove to Austin for brunch and absolutely loved the ambiance. The restaurant felt very welcoming, and we","","","",""
"Corinne Austin","304 E Cesar Chavez St, Austin, TX 78701, USA","(737) 787-7018","https://www.corinneatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","https://maps.google.com/?cid=3011152290769757888&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","5855","5","5","0","4","David Camargo","4","If you’re in Austin and want a restaurant that truly exceeds expectations—especially for a hotel spot—Corinne Austin abs","","","",""
