business_name,address,phone,website,rating,total_reviews,email,city,source
"Le Diplomate","1601 14th St NW, Washington, DC 20009","+12023323333","https://lediplomatedc.com/","4.3","5762","lediplomate.info@starr-restaurants.com","Washington, DC","yelp"
"Agora DC","1527 17th St NW, Washington, DC 20036","+12023326767","https://www.agorarestaurants.net/","4","1821","info@agoratysons.net","Washington, DC","yelp"
"Sakuramen","2441 18th St NW, Washington, DC 20009","+12026565285","http://sakuramen.info/","4.1","1758","email@sakuramen.net","Washington, DC","yelp"
"dLeña","476 K St NW, Ste D, Washington, DC 20001","+12025605999","https://www.dlenadc.com/","4.4","1275","hello@dlenadc.com","Washington, DC","yelp"
"Slows Bar BQ","2138 Michigan Ave, Detroit, MI 48216","+13139629828","https://slowsbarbq.com/","3.8","2472","manager@slowsbarbq.com","Detroit, MI","yelp"
"Mootz Pizzeria + Bar","1230 Library St, Detroit, MI 48226","+13132431230","https://mootzpizzeria.com/","4.4","756","managers@mootzpizza.com","Detroit, MI","yelp"
"Sienna Mercato","942 Penn Ave, Pittsburgh, PA 15222","+14122812810","https://www.siennamercato.com/","3.8","1040","info@siennapgh.com","Pittsburgh, PA","yelp"
"The Commoner","620 William Penn Pl, Pittsburgh, PA 15219","+14122304800","https://thecommonerpgh.com/","4","989","info@thecommonerpgh.com","Pittsburgh, PA","yelp"
"Broadway Oyster Bar","736 S Broadway, St. Louis, MO 63102","+13146218811","http://www.broadwayoysterbar.com/","4.4","2770","bob@broadwayoysterbar.com","St. Louis, MO","yelp"
"The Gramophone","4243 Manchester Ave, Saint Louis, MO 63110","+13145315700","http://gramophonestl.com/","4.6","759","catering@gramophonestl.com","St. Louis, MO","yelp"
"Amicci's","231 S High St, Baltimore, MD 21202","+14105281096","https://www.amiccis.com/","3.9","1010","info@amiccis.com","Baltimore, MD","yelp"
"Metro Diner","6325 Falls Of Neuse Rd, Ste 73, Raleigh, NC 27615","+19195789053","https://metrodiner.com/","4.3","952","info@metrodiner.com","Raleigh, NC","yelp"
"The Boathouse","1620 E Buena Vista Dr, Orlando, FL 32830","+14079392628","https://theboathouseorlando.com/","4.4","4766","white-logo-transparent@4x.png","Orlando, FL","yelp"
"Chef Art Smith's Homecomin'","1602 E Buena Vista Dr, Lake Buena Vista, FL 32830","+14079395277","http://homecominkitchen.com/","4.4","3320","hiring@homecominkitchen.com","Orlando, FL","yelp"
"DOMU","4852 Town Center Pkwy, Ste 101, Jacksonville, FL 32246","+19046831367","https://domufl.squarespace.com/","4.3","986","domudipping-@airamdphoto-1977.jpg","Jacksonville, FL","yelp"
"Treylor Park","158 Marketside Ave, Unit 10, Ponte Vedra, FL 32081","+19048347356","https://www.treylorpark.com/","3.8","507","coolmerch@4x.png","Jacksonville, FL","yelp"
"Novel Restaurant","1927 Mcgee St, Kansas City, MO 64108","+18162210785","https://www.novelkc.com/","4.5","641","info@novelkc.com","Kansas City, MO","yelp"
"Tay's Burger Shack","1019 Armour Rd, North Kansas City, MO 64116","+18165418282","https://tays-burger-shack.shop/","4.5","627","placejoys.com@gmail.com","Kansas City, MO","yelp"
"A Little BBQ Joint","1101 W 24th Hwy, Independence, MO 64050","+18162522275","https://alittlebarbqjoint.com/","4.2","616","e081c35a018348d18e09ed427bf39b65@o462166.ingest.sentry.io","Kansas City, MO","yelp"
"Pepp & Dolores","1501 Vine St, Ohio, OH 45202","+15134191820","https://www.peppanddolores.com/","4.6","1207","logo@2x.png","Cincinnati, OH","yelp"
"Hofbrauhaus Newport","200 E 3rd St, Newport, KY 41071","+18594917200","http://www.hofbrauhausnewport.com/","3.9","1076","kmaslin@hofbrauhausnewprt.com","Cincinnati, OH","yelp"
"Krueger's Tavern","1313 Vine St, Cincinnati, OH 45202","+15138348670","http://kruegerstavern.com/","4.4","901","footer-logo@3x.png","Cincinnati, OH","yelp"
"Quán Hapa","1331 Vine St, Cincinnati, OH 45202","+15134217826","https://www.quanhapa.com/","3.9","507","info@quanhapa.com","Cincinnati, OH","yelp"
"The Exchange Pub + Kitchen","118 W Main St, New Albany, IN 47150","+18129486501","https://exchangeforfood.com/","4.3","649","nick@brandhg.com","Louisville, KY","yelp"
"Big Bad Breakfast - Barret Ave ","984 Barret Ave, Louisville, KY 40204","+15022891922","https://bigbadbreakfast.com/","4.2","640","office@bigbadbreakfast.com","Louisville, KY","yelp"
"The Café","731 Brent St, Ste 102, Louisville, KY 40204","+15025899191","https://www.thecafetogo.com/","4","635","info@thecafetogo.com","Louisville, KY","yelp"
"Campfire Grill","3003 Walden Ave, Depew, NY 14043","+17167259969","https://www.campfiregrill.org/","4.3","549","campfiregrillwalden@gmail.com","Buffalo, NY","yelp"
"Memphis Barbecue","709 Desoto Cv, Horn Lake, MS 38637","+16625363762","https://www.memphisbbqco.com/","4","1223","info@memphisbbqco.com","Memphis, TN","yelp"
