business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The Oceanaire Seafood Room","40 Court St, Boston, MA 02108, USA","(617) 742-2277","https://www.theoceanaire.com/location/boston-ma/","https://maps.google.com/?cid=16021313810345493103&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1157","5","5","3","2","Ben Royce","2","Went here on Valentines evening. Had a reservation for 8pm and still ended up waiting an hour for a table. The front of ","","","",""
"Shōjō Boston","9A Tyler St, Boston, MA 02111, USA","(617) 482-8887","http://shojoboston.com/","https://maps.google.com/?cid=18192699274326995476&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1382","5","5","3","1","Holt","1","Was here last in 2022 and food was genuinely good. Not sure what happened, but it has gone off the rails. Got the fries ","","","",""
"Ramsay's Kitchen by Gordon Ramsay - Boston","774 Boylston St, Boston, MA 02199, USA","(857) 289-0771","https://www.gordonramsayrestaurants.com/en/us/ramsays-kitchen/locations/boston?utm_source=gmb&utm_medium=uberall&utm_campaign=business_profile","https://maps.google.com/?cid=12202988763203038281&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1829","5","5","2","3","Waynoka Marina Pointe","3","Although the place was lovely, our water glasses were constantly empty. Dishes were seldom taken from the table. The ser","","","",""
"Carmelina's","307 Hanover St, Boston, MA 02113, USA","(617) 742-0020","http://carmelinasboston.com/","https://maps.google.com/?cid=4097816954914834789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2765","5","5","1","3","Comede Et Explora","3","We had high expectations for our meal given reviews but were left feeling disappointed from our experience. While the re","","","",""
"Estella Restaurant","49 Temple Pl, Boston, MA 02111, USA","(617) 855-9869","https://www.estellaboston.com/","https://maps.google.com/?cid=2165431099164448972&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1087","5","5","1","3","Tiffany Probasco-Francis","3","Great ambiance and drinks! The vegan selections are pretty terrible and are covered in the same tomato sauce that was sp","","","",""
"Back Deck","2 West St, Boston, MA 02111, USA","(617) 670-0320","http://www.backdeckboston.com/","https://maps.google.com/?cid=15534142504070194882&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1597","5","5","1","3","Ami A","3","Very cool atmosphere with open windows.  Had eggs and the cheese was just thrown on top.  Spouse had chicken sandwich, b","","","",""
"1928 Beacon Hill","97 Mt Vernon St, Boston, MA 02108, USA","(617) 356-0900","http://1928beaconhill.com/","https://maps.google.com/?cid=5691132589811207117&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","539","5","5","1","2","R L H","2","I’m truly embarrassed for this establishment. I’ve been before and it was fine, but they have no business accepting grou","","","",""
"Terra","800 Boylston St, Boston, MA 02199, USA","(617) 807-7307","https://www.eataly.com/us_en/stores/boston/restaurants","https://maps.google.com/?cid=7688724638922698577&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","1044","5","5","1","3","Mark Czako","3","Today, I went to Terra to have lunch. Upon arrival, I was greeted by a kind front desk person who immediately took me to","","","",""
"Contessa Boston","Rooftop, 3 Newbury St, Boston, MA 02116, USA","(617) 741-3404","https://www.contessaristorante.com/boston/?utm_medium=Click&utm_source=GoogleMyBusiness","https://maps.google.com/?cid=10205792257756794145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1626","5","5","1","3","joelle correia","3","i have been dying to dine here since they opened... finally got a reservation for Valentine's day. However, now I unders","","","",""
"Grill 23 & Bar","161 Berkeley St, Boston, MA 02116, USA","(617) 542-2255","http://www.grill23.com/","https://maps.google.com/?cid=4980109478314823036&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2395","5","5","1","1","Patrick russo","1","Me and my fiancée went to Grill 23 for Valentine’s Day yesterday and we were so excited to do so as it looked great. Whe","","","",""
