business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"STK Steakhouse","201 S College St, Charlotte, NC 28202, USA","(980) 495-4425","https://stksteakhouse.com/en-us/location/charlotte/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=6703025374251149034&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","8212","5","5","3","1","Jamaica Kersey","1","I hate doing bad reviews, but this one needed to be done. I went to this establishment for a group gathering and happy h","","","",""
"The Fifth Fork","201 E Trade St, Charlotte, NC 28202, USA","(703) 972-4380","http://www.thefifthfork.com/?scid=feed67b0-9a2f-4de1-8df6-114544116108","https://maps.google.com/?cid=16296684094734748740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","44","5","5","3","1","william young","1","Butternut squash soup is terrible. Not for my taste buds. Now I’m waiting for my sandwich now. 18 dollars for a blandish","","","",""
"State of Confusion- Charlotte","3500 Dewitt Ln, Charlotte, NC 28217, USA","(704) 919-1919","http://www.confusionloso.com/","https://maps.google.com/?cid=2489392515649511048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2113","5","5","2","1","CAJ","1","Visited last week and won’t be back. There’s No Parking and not all service is great service.  Meghan: 10/10 - she’s a s","","","",""
"Church and Union Charlotte","127 N Tryon St #8, Charlotte, NC 28202, USA","(704) 919-1322","http://www.churchandunioncharlotte.com/","https://maps.google.com/?cid=18034815805572624457&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","2330","5","5","2","3","Janell Williams","3","Food 2/10 Service 10/10 Atmosphere 8/10  Went for my birthday for the first time. I ordered the French toast.. it was no","","","",""
"PARA Charlotte","235 W Tremont Ave Suite 100, Charlotte, NC 28203, USA","(704) 812-7295","http://www.paraclt.com/","https://maps.google.com/?cid=13212586204236543969&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","840","5","5","2","1","D “Dmac” M","1","I came in on a night where a host by the name of Jules (hopefully I’m spelling that correctly) refused to provide her fu","","","",""
"South End Eats","500 W Summit Ave, Charlotte, NC 28203, USA","","https://southendeatsnc.com/","https://maps.google.com/?cid=10960716642883667605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","448","5","5","2","1","C Morse","1","I’ve tried to give this ghost kitchen place so many chances but last night was the final straw and I refuse to ever come","","","",""
"Luce","Truist Center, 214 N Tryon St J, Charlotte, NC 28202, USA","(704) 344-9222","http://www.conterestaurantgroup.com/","https://maps.google.com/?cid=14989209315045727619&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","656","5","5","2","1","Stephany G","1","Terrible experience. The first time we came to this restaurant it was perfect but during Valentine's Day it was the oppo","","","",""
"Mico Restaurant","201 W Trade St, Charlotte, NC 28202, USA","(704) 372-1877","https://www.micorestaurant.com/","https://maps.google.com/?cid=5248229506619166832&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","515","5","5","2","2","yasmin moaf","2","Last night, we chose Mico’s for their Valentine’s Day prix fixe menu at $125 per person for three courses, and unfortuna","","","",""
"STIR","1422 S Tryon St Suite 130, Charlotte, NC 28203, USA","(980) 209-0277","https://stircharlotte.com/","https://maps.google.com/?cid=15247655298999014843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2623","5","5","1","2","Andriy Deviatov","2","I visited Stir with my family to celebrate my birthday, which made the overall experience even more disappointing.  I or","","","",""
"Rooster's Wood-fired Kitchen Uptown","150 N College St, Charlotte, NC 28202, USA","(704) 370-7667","http://roosterskitchen.com/","https://maps.google.com/?cid=8249854043771560207&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1862","5","5","1","3","Matt Quinn","3","We had lunch on a Wednesday. It had been years since we had eaten at Roosters. It wasn’t as good as we had remembered bu","","","",""
