business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Alinea","1723 N Halsted St, Chicago, IL 60614, USA","","http://www.alinearestaurant.com/","https://maps.google.com/?cid=17086012509503489083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2977","5","5","2","1","Swetha Thanabalan","1","It cost $500 per person, and I expected at least privacy, quality, and consistency.  We drove a good couple of hours to ","","","",""
"Boka","1729 N Halsted St, Chicago, IL 60614, USA","(312) 337-6070","http://www.bokachicago.com/","https://maps.google.com/?cid=4786586062365816212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2036","5","5","2","1","Ana Xue","1","I’ve heard and read great reviews about Boka for years, so I was excited to finally secure a reservation on the last day","","","",""
"Morton's The Steakhouse","65 E Wacker Pl, Chicago, IL 60601, USA","(312) 201-0410","https://www.mortons.com/location/mortons-the-steakhouse-chicago-il-wacker-place/","https://maps.google.com/?cid=5114639911790832240&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2181","5","5","2","2","Nika Lucks","2","This was my first time here and it was a letdown. I'm so disappointed. I came in for the January special which is a grea","","","",""
"The L Station","186 N Wells St, Chicago, IL 60606, USA","(312) 285-2414","https://thelstationsoul.com/?utm_source=google","https://maps.google.com/?cid=15706328217848610039&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1341","5","5","2","1","Shirley Hall","1","The food wasn’t that great. The drinks was good and the atmosphere was not it at all. The place is small we were sitting","","","",""
"The Duck Inn","2701 S Eleanor St, Chicago, IL 60608, USA","(312) 724-8811","","https://maps.google.com/?cid=4928881416543805150&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","1589","5","5","2","2","alissa","2","I’ll go ahead and say this: the food is great, though very expensive for the portions (especially the duck fat fries).  ","","","",""
"Tortoise Supper Club","350 N State St, Chicago, IL 60654, USA","(312) 755-1700","http://www.tortoisesupperclub.com/","https://maps.google.com/?cid=10834398576812087440&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1041","5","5","2","2","Melissa Guerriero","2","Alrighty, the atmosphere is perfection. Got there right at 7:30 on a Friday for live jazz and a dirty martini. Perfect m","","","",""
"Pizzeria Portofino","317 N Clark St, Chicago, IL 60654, USA","(312) 900-9018","http://pizzeriaportofino.com/","https://maps.google.com/?cid=10560855889418057816&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","15746","5","5","1","2","Ali P","2","Cute aesthetics, mid drinks & food.  Came here on a weekday afternoon for cocktails with the girls. The indoor & outside","","","",""
"The Berghoff Restaurant","17 W Adams St, Chicago, IL 60603, USA","(312) 427-3170","https://www.theberghoff.com/","https://maps.google.com/?cid=831363627618558940&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5168","5","5","1","3","Adam Trinkel","3","We were excited to visit and had reservations 30 days in advance. When we arrived they said they didn’t have our reserva","","","",""
"The Village","71 W Monroe St, Chicago, IL 60603, USA","(312) 332-7005","https://www.thevillage-chicago.com/","https://maps.google.com/?cid=1994304887755348603&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","4857","5","5","1","3","Will Zhang","3","Portions are generous, which is great. The meatballs were hard and dry, though. Chicken Parm was overcooked—tough and no","","","",""
"Porter Kitchen & Deck","150 N Riverside Plaza, Chicago, IL 60606, USA","(312) 781-7580","https://www.porterchicago.com/","https://maps.google.com/?cid=17658027248227771674&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2132","5","5","1","3","Al Ko","3","I have to say the disappointment in the food in this place was insane…. The crispy shrimp app was amazing.  I was so sto","","","",""
