business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Mitchell's Steakhouse","45 N 3rd St, Columbus, OH 43215, USA","(614) 621-2333","https://www.mitchellssteakhouse.com/location/mitchells-steakhouse-columbus-downtown/","https://maps.google.com/?cid=17608524282635502215&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1075","5","5","3","2","Amber Rayburn","2","I’m not sure what happened. A year or so ago this place was great. Last night was such a let down. It wasn’t busy at all","","","",""
"The Walrus","143 E Main St, Columbus, OH 43215, USA","(614) 817-1710","http://www.thewalruscolumbus.com/","https://maps.google.com/?cid=8648938364826559202&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2851","5","5","2","1","Marc Ha","1","I’m not the type to leave a bad review, but two strikes usually warrants one.  I’ve been flying into Columbus for busine","","","",""
"RH Rooftop Restaurant at RH Columbus","4120 Worth Ave, Columbus, OH 43219, USA","(614) 968-8830","http://www.rh.com/columbus/restaurant","https://maps.google.com/?cid=9747621852005733923&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","945","5","5","2","1","Sutton S","1","Absolutely unacceptable experience at RH Columbus. I visited on 11/1/2025 around 5 PM and was served a burger that was c","","","",""
"SoCal Kitchen + Bar","705 N High St 1st Floor, Columbus, OH 43215, USA","(614) 300-9500","https://socalkitchenandbar.com/","https://maps.google.com/?cid=16932475982001827931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","916","5","5","2","2","Adrika Venkatanarayanan","2","We bought a bunch of stuff to try but disappointed that the Brussel sprouts did not come with goat cheese or walnuts as ","","","",""
"Rodizio Grill Brazilian Steakhouse Columbus","125 W Nationwide Blvd, Columbus, OH 43215, USA","(614) 241-4400","https://www.rodiziogrill.com/columbus/","https://maps.google.com/?cid=14792497712194194604&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2701","5","5","2","1","V. TORRENS","1","Yesterday on Friday, September 19, we went as a group of five adults and a 20 month old baby to Rodizio Grill to celebra","","","",""
"The Keep","50 W Broad St, Columbus, OH 43215, USA","(614) 745-0322","http://www.thekeepcolumbus.com/","https://maps.google.com/?cid=12061624918329000814&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","655","5","5","2","2","junior hunter","2","The Keep has very nice visuals both in the bar and restaurant area, the rest is just like all of the other lower reviews","","","",""
"Butcher & Rose","155 E Broad St, Columbus, OH 43215, USA","(614) 918-9819","https://butcherandrose.com/","https://maps.google.com/?cid=17153812227166539046&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","793","5","5","1","3","Natalie","3","We visited Butcher & Rose with high expectations based on their marketing and reviews, but the experience was inconsiste","","","",""
"The Guild House","624 N High St, Columbus, OH 43215, USA","(614) 280-9780","https://theguildhousecolumbus.com/","https://maps.google.com/?cid=18221996228864256947&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2028","5","5","1","3","Vincent Lam","3","Finally came to this decent restaurant at Short North with high expectations, but I was disappointed with their food and","","","",""
"Hofbräuhaus Columbus","800 Goodale Blvd, Columbus, OH 43212, USA","(614) 294-2437","http://hofbrauhauscolumbus.com/","https://maps.google.com/?cid=7692361523830003513&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2183","5","5","1","3","Eric Trip","3","September 2025 What a l9vely spot for beer song and polka! The guy with the accordion was very good! The food was very s","","","",""
"Marcella's","615 N High St, Columbus, OH 43215, USA","(614) 223-2100","https://marcellasrestaurant.com/locations-menus/marcellas-short-north/","https://maps.google.com/?cid=6450536266282355269&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2442","5","5","1","2","Roberto Borea","2","The place is nice and the service is good. However the food is not good at all. I got the 3 plates menu but the pasta ha","","","",""
"Hyde Park Prime Steakhouse","569 N High St, Columbus, OH 43215, USA","(614) 224-2204","http://www.hydeparkrestaurants.com/","https://maps.google.com/?cid=937217903962852875&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1869","5","5","1","3","Troy and Rebecca Smith","3","We finally got around to trying this place. The ambiance is great. Dark and romantic. Our server was fantastic. Our appe","","","",""
"South Village Grille","197 Thurman Ave, Columbus, OH 43206, USA","(614) 826-0491","https://www.southvillagegrille.com/","https://maps.google.com/?cid=3544089838141998062&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1063","5","5","1","3","Suniyah Rawls","3","Reservation: 6:00 PM under “Wood.” This was my second time visiting the restaurant — the first experience was wonderful,","","","",""
"Barcelona Restaurant and Bar","263 E Whittier St, Columbus, OH 43206, USA","(614) 443-3699","http://www.barcelonacolumbus.com/","https://maps.google.com/?cid=5518879702601320212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2057","5","5","1","3","Cesar Cadevilla","3","Perhaps my Spanish background and the fact I've eaten authentic Spanish food before will make this review hard on Barcel","","","",""
"Little West Tavern","77 Belle St, Columbus, OH 43215, USA","(614) 607-6681","https://thejuntohotel.com/restaurants-bars/little-west-tavern?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=438402336633356486&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","387","5","5","1","3","Kavya Yellamraju","3","Loved the atmosphere, the service, and the drinks. Was significantly disappointed by the food. We got the eggplant fries","","","",""
"Alqueria","247 King Ave, Columbus, OH 43201, USA","(614) 824-5579","http://alqueriacolumbus.com/","https://maps.google.com/?cid=10904377992547681793&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","430","5","5","1","3","Paul","3","Went to dinner this evening with my wife. Had my eye on this place for a few weeks.  We were outside on a gorgeous eveni","","","",""
"Bodega","1044 N High St, Columbus, OH 43201, USA","","https://www.columbusbodega.com/","https://maps.google.com/?cid=9889951365051341444&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1064","5","5","1","2","A Couple Drinks","2","UPDATE:  We decided to give Bodega another try after seeing a sign outside promoting a new brunch menu. When we arrived,","","","",""
