business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Monarch Restaurant","1401 Elm St 49th Floor, Dallas, TX 75201, USA","(214) 945-2222","http://www.monarchrestaurants.com/","https://maps.google.com/?cid=7987789882467414287&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1808","5","5","3","2","marcia brazona","2","We came here to celebrate a friend’s birthday and had high expectations given the restaurant’s upscale reputation — unfo","","","",""
"The Henry","2301 N Akard St Suite 250, Dallas, TX 75201, USA","(972) 677-9560","https://www.thehenryrestaurant.com/locations/the-henry-dallas/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps","https://maps.google.com/?cid=15411151253648939494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3427","5","5","2","3","Andre Diaz","3","Found this place by looking for a lunch spot downtown. We saw the chicken sandwich in the reviews and made a B line to t","","","",""
"Kitchen + Kocktails","1933 Elm St, Dallas, TX 75201, USA","(469) 472-5445","https://kitchenkocktailsusa.com/","https://maps.google.com/?cid=15716442203337343355&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","19708","5","5","2","2","Cee R.","2","The hostesses were kind and welcoming, and I enjoyed the 90s R&B music playing. However, the restaurant itself was very ","","","",""
"Crown Block Dallas","300 Reunion Blvd E, Dallas, TX 75207, USA","(214) 321-3149","https://crownblockdallas.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://maps.google.com/?cid=15540739524223757193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1705","5","5","1","2","C Rae","2","This is my first bad review. Please choose to go somewhere else when visiting downtown Dallas. I don't mind paying high ","","","",""
"3Eleven Kitchen and Cocktails","311 N Market St # 100, Dallas, TX 75202, USA","(214) 744-1423","https://3elevendallas.com/","https://maps.google.com/?cid=15057386137848197362&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","5545","5","5","1","3","David Littell","3","My dining companion and I visited the restaurant on Valentine’s Day, having received multiple communications and credit ","","","",""
"Little Daisy","1401 Elm St, Dallas, TX 75202, USA","(469) 726-4121","https://littledaisydallas.com/","https://maps.google.com/?cid=4733561113932739251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","417","5","5","1","3","Priscila CabMc","3","I went to Little Daisy in August 2025 and again in November 2025 to celebrate my wedding anniversary with my husband. I ","","","",""
"The Hampton Social - Dallas","1520 Main St, Dallas, TX 75201, USA","(469) 498-9890","https://www.thehamptonsocial.com/","https://maps.google.com/?cid=9440724477373662356&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","3666","5","5","0","5","Nicolette Victoria Winn, M.S.","5","ASK FOR PORSHALA! 🗣️ So, my fiancé booked this for us for Valentine’s Day because I am a HUGE vibes person. He initiall","","","",""
"The Woolworth","1520 Elm St #201, Dallas, TX 75201, USA","(214) 814-0588","https://www.thewoolworthdallas.com/","https://maps.google.com/?cid=13590217327680693997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","8558","5","5","0","5","Dawn Chadwick","5","WOW! The food was incredible and beautiful presented. The restaurant immaculate and the staff and everyone was fantastic","","","",""
"The Exchange Food Hall","211 S Akard St, Dallas, TX 75202, USA","(214) 464-8101","https://theexchangehall.com/","https://maps.google.com/?cid=11196159741367728975&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1380","5","5","0","4","Andre Jackson","4","I am in Dallas working a conference. We decide to walk to the food hall for something different. What a surprise. A food","","","",""
"MIRADOR","1608 Elm St, Dallas, TX 75201, USA","(214) 945-8200","https://www.mirador-dallas.com/","https://maps.google.com/?cid=14229616416113981389&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","272","5","5","0","5","Ulysses Espinoza","5","Great option to have an elevated brunch. The staff were welcoming and the service was top notch overall. It’s a modern b","","","",""
"Y.O. Ranch Steakhouse","702 Ross Ave, Dallas, TX 75202, USA","(214) 744-3287","https://www.yoranchsteakhouse.com/","https://maps.google.com/?cid=17970359558896477342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","11110","5","5","0","5","Nadia Bojnourdi","5","We had an amazing experience at Yo Ranch Steak House. The food was excellent — perfectly cooked, flavorful, and clearly ","","","",""
"La Stella Cucina Verace","2330 Flora St #150, Dallas, TX 75201, USA","(469) 663-7800","https://www.lastellatx.com/","https://maps.google.com/?cid=16747910430417942352&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2558","5","5","0","4","Table for Two","4","The food was amazing! The service was top notch. Very attentive and helpful with the menu. Our only complaint was the mu","","","",""
"Chet's Dallas","208 N Market St, Dallas, TX 75202, USA","(214) 613-6500","https://www.chetsdallas.com/","https://maps.google.com/?cid=2594659850097559905&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2988","5","5","0","4","Ashlie Diego","4","Nice ambiance, good service, good food. Its advertised as an Irish pub/restaurant but its really more eclectic with a gr","","","",""
"Yardbird Table & Bar","2121 N Pearl St St 170, Dallas, TX 75201, USA","(469) 208-2441","https://www.runchickenrun.com/?utm_source=google&utm_medium=Yext","https://maps.google.com/?cid=10945102263697915128&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2540","5","5","0","4","Vianna","4","Love Yardbird at the Vegas location, so we wanted to try this in Dallas. The deviled eggs were tasty, but I felt the egg","","","",""
"Perry's Steakhouse & Grille","2100 Olive St Suite #100, Dallas, TX 75201, USA","(214) 855-5151","https://perryssteakhouse.com/locations/tx/dallas/park-district/","https://maps.google.com/?cid=5169571851262291419&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","4171","5","5","0","4","The SME","4","The waitress Shirley was a joy and a breath of fresh air. She was very thorough with her suggestions and answered all ou","","","",""
"Rj Mexican Cuisine","1701 N Market St #102, Dallas, TX 75202, USA","(214) 744-1420","https://www.rjmexicancuisine.com/","https://maps.google.com/?cid=17576829911583646647&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","11293","5","5","0","5","Amber","5","We stopped here for a lunch and the food was excellent. I highly recommend the margaritas of any flavor! Super delicious","","","",""
"Dakota's Steakhouse","600 N Akard St, Dallas, TX 75201, USA","(214) 740-4001","https://www.dakotasrestaurant.com/","https://maps.google.com/?cid=15082943626137372558&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2257","5","5","0","5","Darren Carbone","5","It really touches on all the best notes of a dining experience.  The mystic begins as you take the elevator downstairs w","","","",""
"Haywire","1920 McKinney Ave Ste 100, Dallas, TX 75201, USA","(469) 501-5522","http://haywirerestaurant.com/","https://maps.google.com/?cid=14931314308548885735&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1966","5","5","0","4","Sharon “Tica”","4","Beautiful restaurant with a spectacular ambience. Truly one of the nicest atmospheres I have experienced in a long time.","","","",""
"Rodeo Goat","1926 Market Center Blvd, Dallas, TX 75207, USA","(214) 741-4628","http://rodeogoat.com/dallas/","https://maps.google.com/?cid=4514212626990944752&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","8456","5","5","0","4","Timoci T9uisawau","4","Eating at The Rodeo Goat in Fort Worth Dallas Texas is an experience. From the outside there’s a huge parking lot so par","","","",""
"Written by the Seasons","380 Melba St, Dallas, TX 75208, USA","(469) 580-1185","http://www.writtenbytheseasons.com/","https://maps.google.com/?cid=5735023034356515639&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","1276","5","5","0","4","Nikhil Shah","4","Local Sourdough was very good.. My only gripe with it is that it was cold.. Never been served cold bread like that so th","","","",""
