business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Rioja","1431 Larimer St, Denver, CO 80202, USA","(303) 820-2282","http://www.riojadenver.com/","https://maps.google.com/?cid=17121331333134231372&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2326","5","5","2","2","John","2","Good service. Good atmosphere. Did not like sitting so close to other couples though. My Thai chili pork chop was suppos","","","",""
"Revival Denver Public House","630 E 17th Ave, Denver, CO 80203, USA","(720) 524-7867","http://revival-denver.com/","https://maps.google.com/?cid=8631572649105598032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","815","5","5","2","1","HEVISHOT","1","Totally ruined and disappointed experience!  I had left a full 5 star review a few months ago, then decided to bring som","","","",""
"Ash'Kara","2005 W 33rd Ave, Denver, CO 80211, USA","(303) 537-4407","https://www.ashkaradenver.com/","https://maps.google.com/?cid=3808338226326232997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1064","5","5","2","1","Ze-Ning Ong","1","The food here is terrible for the price. We paid for the preset menu which was $45 (without tip+tax). Pita was warm but ","","","",""
"Olive & Finch","1552 E 17th Ave, Denver, CO 80218, USA","(303) 832-8663","https://www.oliveandfinch.com/","https://maps.google.com/?cid=3755755277569456293&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1386","5","5","2","1","Stephanie Ratner","1","Franklin Salad- PLEASE stop having the chefs prepare salads with spinach and romaine lettuce like this. I can’t eat spoi","","","",""
"Culinary Dropout","4141 E 9th Ave, Denver, CO 80220, USA","(720) 779-0190","https://www.culinarydropout.com/locations/denver-co/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps","https://maps.google.com/?cid=4763160578933938133&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2327","5","5","1","3","Phat Matt (PhatMatt1297)","3","It was a miss for me. I thought the food, though reasonably priced (for today's standards, and sans the wine) was mid. M","","","",""
"El Five","2930 Umatilla St Unit #500, Denver, CO 80211, USA","(303) 524-9193","https://ediblebeats.com/restaurants/el-five/","https://maps.google.com/?cid=11766026102108403718&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3451","5","5","1","2","John Martinez","2","DON'T WASTE YOUR MONEY HERE: Service and food was not what I was expecting from the price point that guests are expected","","","",""
"STK Steakhouse","1550 Market St, Denver, CO 80202, USA","(720) 597-8010","https://stksteakhouse.com/en-us/location/denver/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=1270381009306454071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","6219","5","5","1","1","Bernadette McClair","1","Review: STK – Downtown  Sooo… ’twas the night before Sunday, lol. My husband and I drove downtown for a Christmas event,","","","",""
"Steuben's Uptown","523 E 17th Ave, Denver, CO 80203, USA","(303) 830-1001","http://www.steubens.com/","https://maps.google.com/?cid=1245068242557223395&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","5996","5","5","1","1","Cheri Buxman","1","We had a terrible experience. After waiting for an hour for our food, we finally got burnt fried chicken. I was only abl","","","",""
"Water Grill Denver","1691 Market St, Denver, CO 80202, USA","(303) 727-5711","https://www.watergrill.com/denver","https://maps.google.com/?cid=9841556137553882974&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","939","5","5","1","2","Sue Ella Geddes","2","Our first time visiting Water Grill was on Valentine’s Day for their Valentine’s Day Menu (priced at $135 per person). U","","","",""
"Pasque","240 14th St, Denver, CO 80202, USA","(303) 256-6361","https://pasquerestaurant.com/","https://maps.google.com/?cid=9100358401646828980&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","151","5","5","1","1","Chloe","1","We came for the NYE buffet and it was the most disappointing dining experience I’ve ever had. The reservation mentioned ","","","",""
"Restaurant Olivia","290 S Downing St, Denver, CO 80209, USA","(303) 999-0395","https://www.oliviadenver.com/","https://maps.google.com/?cid=12159536493579866484&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","831","5","5","1","3","Ladies Supper Society","3","Our social club went to Restaurant Olivia in August of 2025. We had a group of around 15. I had heard so many good thing","","","",""
"Yard House","1555 Court Pl, Denver, CO 80202, USA","(303) 572-9273","https://www.yardhouse.com/locations/co/denver/denver-sheraton-downtown/8329?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:denver-co-8329_pl:locurl_rd:1027","https://maps.google.com/?cid=776628223138546404&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","6412","5","5","1","2","Isabel C","2","This location used to be really good.  We were disappointed on our last visit.  OVERPRICED food portions and poor qualit","","","",""
"Appaloosa Grill","535 16th St Mall #110, Denver, CO 80202, USA","(720) 932-1700","http://appaloosagrill.com/","https://maps.google.com/?cid=13742618294388102144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3215","5","5","1","3","Angela Seitz","3","Overall it was average. The food was good but nothing exceptional, I did really enjoy the side salad. They had some good","","","",""
"Lucina Eatery & Bar","2245 Kearney St #101, Denver, CO 80207, USA","(720) 814-1053","http://lucinaeatery.co/","https://maps.google.com/?cid=11698419734095753586&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","523","5","5","1","3","John Vasquez","3","Found this during a trip. Very intrigued by the empanadas and mofongo. Very happy with the decor. Nice feel and while a ","","","",""
"Thirsty Lion","1605 Wynkoop St, Denver, CO 80202, USA","(303) 623-0316","https://www.thirstylionrestaurant.com/","https://maps.google.com/?cid=9296575532934547285&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","4554","5","5","1","3","Joshua Ackerman","3","My co-worker and I were in Denver for a few days for a conference. We came here because the menu looked good and they we","","","",""
"Domo Japanese Country Food Restaurant","1365 Osage St, Denver, CO 80204, USA","(303) 595-3666","http://domorestaurant.com/home/","https://maps.google.com/?cid=14300857234152804502&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3164","5","5","1","3","Colby Lirette","3","This place has HIGH potential. We decided to come eat here after leaving the Denver Aquarium and it was disappointing fo","","","",""
"Kona Grill - Denver","3000 East 1st Ave, #184 Cherry Creek Mall, Denver, CO 80206, USA","(720) 974-1300","https://konagrill.com/locations?locations=Denver,80206","https://maps.google.com/?cid=12237264046324248762&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","18450","5","5","1","1","Cody Brown","1","I've come to Kona grill for 5+ years because it's an easy yes when you're in the mall and this past year it has complete","","","",""
"Avanti Food & Beverage","3200 N Pecos St, Denver, CO 80211, USA","(720) 269-4778","https://www.avantifandb.com/","https://maps.google.com/?cid=3252694240837450248&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5014","5","5","1","2","Anna Johnson","2","This review is for the Christmas tiki bar they had on the rooftop here. I was so excited about this, but honestly we fel","","","",""
"Barolo Grill","3030 E 6th Ave, Denver, CO 80206, USA","(303) 393-1040","https://www.barologrilldenver.com/","https://maps.google.com/?cid=17632536167581134634&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","1117","5","5","1","3","Marco Buchmayer","3","Another disappointing Italian experience in Denver, after numerous people hyped this place up. I will say I prefer south","","","",""
