business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"State of Grace","3258 Westheimer Rd, Houston, TX 77098, USA","(832) 942-5080","http://www.stateofgracetx.com/","https://maps.google.com/?cid=15447332265126439228&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1972","5","5","2","2","E","2","Food is DEFINITELY not worth the price tag. Save your money and get a better steak at travelers table or baso. Wanted to","","","",""
"Downtown Aquarium","410 Bagby St, Houston, TX 77002, USA","(713) 223-3474","https://www.downtownaquariumhouston.com/","https://maps.google.com/?cid=1885787193210241246&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","24870","5","5","2","3","Michael Scott","3","I've been to several aquariums🐠🐡 in different parts of the world.🌏 This one was nice. Very clean water. Obviously old","","","",""
"Squable","632 W 19th St, Houston, TX 77008, USA","(832) 834-7362","http://squabletime.com/","https://maps.google.com/?cid=11618115099423228810&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1066","5","5","2","3","ml","3","Came here to try the Dutch baby but didn’t see it on the menu, what we ended up ordering surprisingly delighted us. We l","","","",""
"Bungalow","407 Main St, Houston, TX 77002, USA","(713) 393-7868","https://bungalowdining.com/","https://maps.google.com/?cid=69786644118019666&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3172","5","5","1","3","Angelica P. Moore","3","We went to have dinner on 11-23-25. I’m a little late posting this review, but here it is. Our waitress was very nice, a","","","",""
"Aquarium Restaurant","410 Bagby St, Houston, TX 77002, USA","(713) 315-5126","https://www.downtownaquariumhouston.com/aquarium-restaurant","https://maps.google.com/?cid=9019646833686271065&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","11097","5","5","1","2","Yvette Boafo","2","I’m gonna try not to be negative so I’ll say positives and negatives. The ambiance is great and the reason I came. Bring","","","",""
"Gotti's","811 St Emanuel St, Houston, TX 77003, USA","(713) 405-3500","https://www.gottis.com/","https://maps.google.com/?cid=239380848681080978&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3672","5","5","1","3","Mr. T. Smith","3","We visited location while in Houston just being curious and hungry. The staff were awesome, friendly, helpful and honest","","","",""
"Brennan's Houston","3300 Smith St, Houston, TX 77006, USA","(713) 522-9711","https://www.brennanshouston.com/","https://maps.google.com/?cid=15025014485337751627&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3285","5","5","1","3","Arun Nair","3","My three star rating is taking into account the hype of this restaurant and the menu prices. In true New Orleans fashion","","","",""
"The Nash","1111 Rusk St Suite 172, Houston, TX 77002, USA","(713) 222-6274","https://www.thenashhouston.com/","https://maps.google.com/?cid=4057195080704843618&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","255","5","5","1","2","Christy Chen (Gin)","2","I ordered the “Cauliflower ‘Hot Wings’” ($14), and unfortunately the actual dish looked nothing like the menu photo.  Th","","","",""
"Grotto Downtown","1001 Avenida De Las Americas Suite A, Houston, TX 77010, USA","(713) 658-0752","https://www.grottorestaurants.com/location/grotto-downtown-houston-tx/","https://maps.google.com/?cid=3568940419072200646&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2020","5","5","1","3","sophia","3","I went to The Grotto for a Valentine’s dinner with friends. The place is gorgeous and being downtown makes it feel extra","","","",""
"The Moonshiners Southern Table + Bar","1000 Prairie St, Houston, TX 77002, USA","(713) 226-7717","http://www.themoonshinershouston.com/","https://maps.google.com/?cid=15884859451286228158&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2678","5","5","1","3","Markus Broussard","3","Attended with my family of four. When we walked to the door, no one really greeted us and it took about 25 minutes befor","","","",""
