business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Carmine's Italian Restaurant - Las Vegas","Forum Shops At Caesars, 3500 S Las Vegas Blvd, Las Vegas, NV 89109, USA","(702) 473-9700","http://www.carminesnyc.com/","https://maps.google.com/?cid=12797009336151401504&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5570","5","5","2","1","M4l2K T4N","1","Wanted to try this place never since I walked past it several times and saw the beautiful deco and great vibes from the ","","","",""
"Cafe Americano at Caesars Palace","3570 S Las Vegas Blvd, Las Vegas, NV 89109, USA","(702) 650-5921","https://www.caesars.com/caesars-palace/restaurants/cafe-americano?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=CLV93&utm_content=restaurant&y_source=1_NDM2Njg2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=11377997237506812984&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","4722","5","5","2","3","Amber Lee","3","Being incredibly hungry from all the winning (of $10) we were doing the night before, we decided to stop by Cafe America","","","",""
"Golden Nugget Las Vegas Hotel & Casino","129 E Fremont St, Las Vegas, NV 89101, USA","(702) 385-7111","https://www.goldennugget.com/las-vegas/","https://maps.google.com/?cid=2310599181801513355&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","53604","5","5","2","1","kirsten boulter","1","We stayed 6 nights in the Scarlet Suites, Gold Tower. The first room was 1027, the second 1227. Both rooms shared the ma","","","",""
"Caesars Palace","3570 S Las Vegas Blvd, Paradise, NV 89109, USA","(866) 227-5938","https://www.caesars.com/caesars-palace?utm_campaign=google&utm_source=google&utm_medium=local&utm_term=CLV&utm_content=hotel&y_source=1_NDM2Njg2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ==","https://maps.google.com/?cid=8631651105269301239&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","136695","5","5","2","2","Elyse Butler","2","We chose Caesars Palace for my childhood best friend’s bachelorette because she dreamed of celebrating at a luxury, icon","","","",""
"Yardbird Table & Bar","3355 S Las Vegas Blvd, Las Vegas, NV 89109, USA","(702) 297-6541","https://www.runchickenrun.com/?utm_source=google&utm_medium=Yext","https://maps.google.com/?cid=1972107998147376076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5418","5","5","1","3","Adam Montoya","3","Food was a 5 out of 10. All four of us thought the food was just okay. It looked scrumptious but the flavor said otherwi","","","",""
"Gordon Ramsay Hell's Kitchen","3570 Las Vegas Blvd S, Las Vegas, NV 89109, USA","(702) 731-7373","https://www.caesars.com/caesars-palace/restaurants/gordon-ramsay-hells-kitchen?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=CLV101&utm_content=restaurant&y_source=1_ODkwODg0NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=8539918260208114251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","20085","5","5","1","3","JJ Sullivan","3","Let me preferences this review by saying that I never usually leave below 5 stars, but this place is not really worth th","","","",""
"Oscar's Steakhouse","1 S Main St, Las Vegas, NV 89101, USA","(702) 386-7227","https://www.plazahotelcasino.com/dining/oscars-steakhouse/","https://maps.google.com/?cid=9338473781609965862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2233","5","5","1","3","A Kharodia","3","Atmosphere is classic‑Vegas glamour: the décor, lighting, memorabilia, glass dome, etc., give it a nostalgic steakhouse ","","","",""
"Hammered Harry's Las Vegas","450 Fremont St #140, Las Vegas, NV 89101, USA","(725) 205-3813","https://hammeredharrys.com/locations/las-vegas-fremont-st/","https://maps.google.com/?cid=8173629199101132469&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","1608","5","5","1","1","Mr. Brandonn","1","Up till recently this place was one of my top picks of places to bring friends after they got off work when I was in Veg","","","",""
"Off the Strip The LINQ Hotel + Experience","The Linq, 3535 Las Vegas Blvd S, Las Vegas, NV 89109, USA","(702) 331-6800","https://www.caesars.com/linq/restaurants/off-the-strip?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=ILV1&utm_content=restaurant&y_source=1_MTAzMTE1Njk4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=15977638470096912218&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2787","5","5","1","3","Shannon Jackson","3","Chicken Parmesan was MASSIVE. Flavor of the chicken was good, but the marinara was spicy and that was a little off topic","","","",""
"Gordon Ramsay Burger Flamingo","Las Vegas Blvd S, Las Vegas, NV 89109, USA","(702) 784-7195","https://www.caesars.com/flamingo-las-vegas/restaurants/gordon-ramsay-burger","https://maps.google.com/?cid=17650953007446097806&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1927","5","5","1","3","Justin S","3","I ordered the jalapeno poppers, bleu cheese burger, and truffle fries. And a beer. Not the best. A little dry. Apparentl","","","",""
