business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Sexy Fish Miami","1001 S Miami Ave, Miami, FL 33130, USA","(305) 889-7888","https://sexyfishmiami.com/?utm_source=LocalGoogleExtNet&utm_medium=Organic","https://maps.google.com/?cid=9716000305552757123&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","8637","5","5","1","3","shakti lenka","3","Service and atmosphere is amazing.  But overhyped and over priced. Food quality is not at all upto the mark. The place i","","","",""
"CASA NEOS","40 SW North River Dr, Miami, FL 33128, USA","(305) 800-6367","https://www.casa-neos.com/","https://maps.google.com/?cid=3252674697109623687&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","11050","5","5","1","2","Yohan Garcia","2","They were out of caviar and the octopus that was highly recommend but thankfully Emma and her hospitality truly made the","","","",""
"Komodo Miami","801 Brickell Ave, Miami, FL 33131, USA","(305) 534-2211","https://komodomiami.com/","https://maps.google.com/?cid=3779668399211078498&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","8534","5","5","1","3","MIKE RAY","3","We were placed at a table that got knocked into about 12 times during our dining experience. We made a reservation ahead","","","",""
"Santorini by Georgios","101 Ocean Dr # 101, Miami Beach, FL 33139, USA","(305) 672-6624","https://santorinibygeorgios.com/","https://maps.google.com/?cid=4534163884983973459&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","5250","5","5","1","3","Andrew Roubin","3","Food was kinda mid, gave this place a couple of tries while we were in the area, and while there was nothing really wron","","","",""
"Crazy About You","1155 Brickell Bay Dr PH101, Miami, FL 33131, USA","(305) 377-4442","https://passionrestaurantgroup.com/restaurants/crazy-about-you/","https://maps.google.com/?cid=15118504722984321111&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","18857","5","5","0","4","Marshall Can","4","Loved it and yea I'd go back. Highly recommended  Atmosphere is an eclectic mishmash that is not my style, but it's alri","","","",""
"Dolores But You Can Call Me Lolita","1000 S Miami Ave, Miami, FL 33130, USA","(305) 403-3103","https://passionrestaurantgroup.com/restaurants/dolores-lolita/","https://maps.google.com/?cid=12723022957873358956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","12467","5","5","0","4","Johanna Pinoargote","4","This was a last minute reservation to Miami- and for a place that had soooo many reviews I was curious to see what all t","","","",""
"RosaNegra Miami","1346 S Miami Ave, Miami, FL 33130, USA","(786) 668-2114","https://www.rosanegrarestaurant.us/?utm_source=gmb&utm_medium=organic&ot_source=gmb_2564_rnm","https://maps.google.com/?cid=13040410929313737252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","1755","5","5","0","5","Juan Fidel","5","What an extraordinary experience we had at Rosa Negra! An atmosphere of exquisite food aromas mingled with rhythmic musi","","","",""
"Rusty Pelican Miami","3201 Rickenbacker Cwy, Key Biscayne, FL 33149, USA","(305) 361-3818","https://www.therustypelican.com/","https://maps.google.com/?cid=12992583866886932478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","20749","5","5","0","4","Daniel E Huffer","4","Awesome restaurant, My wife and I visited while we were vacationing in Key Biscayne... I had the Lobster and Shrimp Riso","","","",""
"Rosa Sky","115 SW 8th St 22nd Floor, Miami, FL 33130, USA","(786) 628-1515","https://rosaskyrooftop.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=8544288044977879219&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","6074","5","5","0","4","Roni Phillips","4","An Exceptional Experience from Start to Finish! We arrived to have a late dinner and Kelvin was absolutely amazing! From","","","",""
"Tanuki River Landing","1420 NW N River Dr, Miami, FL 33125, USA","(305) 614-9408","https://tanukimiami.com/?utm_source=google","https://maps.google.com/?cid=13257105176677803918&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","4805","5","5","0","5","Delilah Jay","5","Had the pleasure of dining in, our server Benjamin was so knowledgeable and helpful to me and my son. Food was fresh and","","","",""
