business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Maison Margaux","224 N 1st St, Minneapolis, MN 55401, USA","(612) 900-1800","http://www.maisonmargauxmpls.com/","https://maps.google.com/?cid=17823009548840382953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","641","5","5","3","1","Julia Nelson","1","My boyfriend and I came to Maison Margaux on Valentine's Day and had an insane experience. I felt like I was on an episo","","","",""
"Umbra Minneapolis","708 S 3rd St, Minneapolis, MN 55415, USA","(612) 540-7323","http://umbrampls.com/","https://maps.google.com/?cid=14772919494021567770&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","480","5","5","3","1","Jerry Thomas","1","I rarely leave reviews, but my experience here was so disappointing that I felt compelled to share it. This was, without","","","",""
"Sphere Restaurant & Bar","100 S 5th St, Minneapolis, MN 55402, USA","(612) 552-1509","http://spherempls.com/","https://maps.google.com/?cid=2088813430251592827&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","157","5","5","3","2","Will N","2","Fun atmosphere, really cool location... Also received incredibly rude service. We stopped by for a couple of drinks; Ord","","","",""
"Luna & The Bear - Kitchen & Libation House","18 W 26th St, Minneapolis, MN 55404, USA","(612) 886-3081","https://lunaandthebearmn.com/?utm_source=google","https://maps.google.com/?cid=16188190507841808839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","605","5","5","2","2","Jessica M","2","I was pretty let down with my recent visit. The fries were cold and the cheese curds contained too much cinnamon and the","","","",""
"Devil's Advocate Minneapolis","1070 Nicollet Mall, Minneapolis, MN 55403, USA","(612) 482-1816","https://devilsadvocatemn.com/minneapolis/","https://maps.google.com/?cid=2378719863355448342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","278","5","5","2","2","vivi tsarouhas","2","At first glance, this place looked really promising. The service was excellent, and the atmosphere is great for grabbing","","","",""
"Breva Bar & Grill","1115 2nd Ave S, Minneapolis, MN 55403, USA","(612) 353-6207","https://www.brevabarandgrill.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","https://maps.google.com/?cid=11093035665600400479&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","322","5","5","2","2","Marcus Do","2","We ate here while we had a staycation at Hotel Ivy last fall and I am not sure why it has such good reviews - I was not ","","","",""
"La Madre","205 Park Ave D, Minneapolis, MN 55415, USA","(612) 200-8061","http://lamadremn.com/","https://maps.google.com/?cid=13555994397367990782&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","294","5","5","2","3","Jay Douglas","3","La Madre is definitely a vibe. From the moment you walk in, the ambiance is top tier — warm lighting, intentional design","","","",""
"Spoon and Stable","211 N 1st St, Minneapolis, MN 55401, USA","(612) 224-9850","http://www.spoonandstable.com/","https://maps.google.com/?cid=14589547885912538400&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","3029","5","5","1","3","Riley O'Neill","3","I’ve wanted to come here for years. I found the food very underwhelming; I’ve eaten better at home. And when you have su","","","",""
"Martina","4312 Upton Ave S, Minneapolis, MN 55410, USA","(612) 922-9913","http://www.martinarestaurant.com/","https://maps.google.com/?cid=7648539650308424048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2017","5","5","1","3","Zoey Zou","3","This restaurant is too overrated, it costs double of the price for a below average quality and experience comparing to s","","","",""
"Butcher & The Boar","901 N 3rd St Suite 195, Minneapolis, MN 55401, USA","(612) 886-1769","https://www.butcherandtheboarmpls.com/","https://maps.google.com/?cid=4868720213225941202&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2963","5","5","1","2","Aldo (Aldogo)","2","We came here really looking forward to a simple, special New Year’s dinner. The service was kind and the ambiance was gr","","","",""
