business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The Diner Nashville","200 3rd Ave S, Nashville, TN 37201, USA","(615) 782-7150","https://www.thediner.com/","https://maps.google.com/?cid=15468983665023559886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","6901","5","5","2","2","Bruce Mitchell","2","I liked the open air seating on the second floor; The friendly service; the atmosphere.  The drinks my wife ordered 'Ste","","","",""
"Martin's Bar-B-Que Joint","410 4th Ave S, Nashville, TN 37201, USA","(615) 288-0880","https://www.martinsbbqjoint.com/downtown-nashville?utm_source=gmb&utm_medium=Yext","https://maps.google.com/?cid=7874948438422664866&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","11382","5","5","2","3","M B","3","3/5/2026 stopped here for dinner.  Ordered the half rack of dry rub ribs, hush puppies, and the cornbread hoecake.  The ","","","",""
"Friends in Low Places Bar & Honky-Tonk","411 Broadway, Nashville, TN 37203, USA","","https://friendsbarnashville.com/","https://maps.google.com/?cid=10539931453395728987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","4240","5","5","2","3","gf.greatlife","3","Giving it a 3 only because of the vibe.  Granted we were there on a Monday (Broadway was still packed!) so it wasn't too","","","",""
"Bakersfield Nashville","201 3rd Ave S, Nashville, TN 37201, USA","(615) 522-0970","https://www.bakersfieldtacos.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://maps.google.com/?cid=5554820453192343508&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2749","5","5","2","3","roostahktchn M","3","The tacos were good but can be better:  1. Fish or shrimp taco: 3/5 - good but toped the shredded plain cabbage without ","","","",""
"The Hampton Social - Nashville","201 1st Ave S, Nashville, TN 37201, USA","(615) 622-7772","https://www.thehamptonsocial.com/nashville","https://maps.google.com/?cid=7893091571837691917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","18349","5","5","1","2","Mrs. Haney","2","Beautifully decorated with live music that was not loud. There was no one at the host stand and it took a little bit bef","","","",""
"Puckett's Restaurant","500 Church St, Nashville, TN 37219, USA","(615) 770-2772","http://puckettsrestaurant.com/","https://maps.google.com/?cid=6052646246245675915&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","8974","5","5","1","3","Douglas Matheson","3","So I would love to rate these guys higher than what I did overall service was good atmosphere was nice. The food left a ","","","",""
"Harriet's Rooftop","710 Demonbreun St 19th Floor, Nashville, TN 37203, USA","(615) 510-0426","https://www.1hotels.com/nashville/taste/harriets-rooftop?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=508784848376230211&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","535","5","5","1","2","Dave Parojinog","2","The food was not fresh. We ordered the omakase-style sashimi, but the tuna smelled bad and the other fish didn’t seem fr","","","",""
"The Twelve Thirty Club","550 Broadway, Nashville, TN 37203, USA","(629) 236-0001","https://thetwelvethirtyclub.com/#section-four?utm_source=google&utm_medium=organic&utm_campaign=maps","https://maps.google.com/?cid=4659232115322920165&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2711","5","5","1","3","Jennifer DiPietro","3","This review took me a minute to write because, at first glance, this supper club absolutely delivers a wow factor. The a","","","",""
"Milk & Honey Gulch","214 11th Ave S, Nashville, TN 37203, USA","(615) 712-7466","http://milkandhoneynashville.com/","https://maps.google.com/?cid=6522517722893309773&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3678","5","5","1","3","Shri","3","Lemon poppy seed muffin was a bit dry, brunch food was ok but I enjoyed my latte. My friend wanted the blueberry matcha ","","","",""
"The Henry","2803 12th Ave S #105, Nashville, TN 37204, USA","(629) 895-0600","http://www.thehenryrestaurant.com/locations/nashville/","https://maps.google.com/?cid=14985215284437514013&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","394","5","5","1","3","Kinny Landrum","3","I expected better service.  We arrived for Monday lunch without reservations, there were 4 parties ahead of us.  We were","","","",""
