business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes,email_step1_sent
"Cali Chilli Downtown LA","200 S Los Angeles St Suit B, Los Angeles, CA 90012, USA","(213) 266-8999","https://www.cali-chilli.com/","https://maps.google.com/?cid=11016714371540867587&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","219","5","5","0","4","PS","4","We were in that area for the game at Crypto Arena and thought to try this one . Nice ambiance with yummy food .though ,","user@domain.com","","","",""
"Monkey Bar","60 E 54th St, New York, NY 10022, USA","(212) 404-0365","https://nycmonkeybar.com/","https://maps.google.com/?cid=6407762793487689952&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1779","5","5","0","4","Nate B","4","Beautiful atmosphere, great service. I was not sure what to expect from the food because of so many mixed reviews, here","user@domain.com","","","",""
"BLACKBARN","19 E 26th St, New York, NY 10010, USA","(212) 265-5959","https://www.blackbarnrestaurant.com/","https://maps.google.com/?cid=14292924245377741660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1378","5","5","0","4","Chase Fritchle","4","Nice ambiance, but felt more curated for larger groups. Maybe we were sat in the wrong area. Nice wine lists, gnocchi wa","user@domain.com","","","",""
"Chambers","94 Chambers St #1, New York, NY 10007, USA","(212) 580-3572","http://chambers.nyc/","https://maps.google.com/?cid=17539100859862234710&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","360","5","5","0","5","Sachi Tejani","5","Chef’s counter here is a must. I had been seeing a lot of hype about this place on social media and randomly snagged a r","user@domain.com","","","",""
"Naked Farmer","1001 Water St, Tampa, FL 33602, USA","(813) 608-0329","https://www.eatnakedfarmer.com/","https://maps.google.com/?cid=17090888003842502133&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2306","5","5","0","5","France Moise","5","I’m always greeted with the warmest smiles the moment I walk into Naked Farmer. Everyone genuinely seems happy to be the","user@domain.com","","","",""
"Claudie","1101 Brickell Ave S-113, Miami, FL 33131, USA","(305) 990-1101","https://www.claudierestaurant.com/","https://maps.google.com/?cid=15336936437787717740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","4618","5","5","0","5","Grace Lohn","5","Had an amazing experience at Claudie. The food was outstanding, the service was excellent, and the atmosphere is absolut","user@domain.com","","","",""
"Mangrove","103 NW 1st Ave, Miami, FL 33128, USA","(305) 614-2736","https://mangrove.miami/","https://maps.google.com/?cid=6882259586097635037&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","474","5","5","0","4","Sabrina C. (Bri)","4","We were a party of four with no reservation on a Saturday night and waited about 20 minutes at the bar for a table to op","user@domain.com","","","",""
"The FAB","110 Paseo de San Antonio, San Jose, CA 95112, USA","(408) 320-4121","http://thefabsj.com/","https://maps.google.com/?cid=6045395421200355985&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","216","5","5","4","1","Azaan Qureshi","1","We were one of maybe 3 other couples in the entire restaurant, which should usually mean there isn’t a long wait for foo","info@thefabsj.com","","","",""
"Petiscos 'Downtown'","399 S 1st St, San Jose, CA 95113, USA","(408) 320-2884","http://petiscosadega.com/","https://maps.google.com/?cid=12311738630769233579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","706","5","5","3","1","Khiem Nguyen","1","The place looks great but that's about where it ends in terms of complements. It seems like they want to charge fancy re","user@domain.com","","","",""
"Original Joe's San Jose","301 S 1st St, San Jose, CA 95113, USA","(408) 292-7030","https://www.sanjoseoriginaljoes.com/?y_source=1_MTQ2MTA4ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=17483991626551845487&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","2805","5","5","3","3","Apryl Chiem","3","Did not realize this Original Joe's was not affiliated with any other one until after ordering since their pasta looked","info@sanjoseoriginaljoes.com","","","",""
