business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Royal House Oyster Bar","441 Royal St, New Orleans, LA 70130, USA","(504) 528-2601","https://royalhouserestaurant.com/","https://maps.google.com/?cid=3870709604013766481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","5853","5","5","3","2","Michael M","2","This place is great for oysters and service. The rest of the food we tried was disappointing. We asked for the blackened","","","",""
"Blue Bayou Restaurant & Oyster Bar","717 Canal St, New Orleans, LA 70130, USA","(504) 291-3788","http://bluebayourestaurantnola.com/","https://maps.google.com/?cid=14432330113979928171&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3465","5","5","2","2","Jennie Ifanis","2","Food? Great! ❤️ Service? Not so much... 👀  I was ready to have one more night of fun down Bourbon Street before my birt","","","",""
"Mr. Ed's Oyster Bar & Fish House, French Quarter (Bienville)","512 Bienville St, New Orleans, LA 70130, USA","(504) 309-4848","http://mredsrestaurants.com/oyster-bar","https://maps.google.com/?cid=3770460028660468266&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","4727","5","5","2","2","Jessica Cervantes","2","We got the Louisiana crayfish bread and charcoal broiled oysters. The bread was kind of cold but honestly it tasted so g","","","",""
"Creole House Restaurant & Oyster Bar","509 Canal St, New Orleans, LA 70130, USA","(504) 323-2109","https://creolehouserestaurant.com/","https://maps.google.com/?cid=5931528879851347595&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","9624","5","5","1","3","C Lu","3","Jade, our server, was really cool and attentive. She recommended a local light beer called Paradise, and it was deliciou","","","",""
"GW Fins","808 Bienville St, New Orleans, LA 70112, USA","(504) 581-3467","http://gwfins.com/","https://maps.google.com/?cid=1930158316525905472&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","5340","5","5","1","2","Jeff Hong","2","We arrived on time for our 7pm reservation, but it took over 15 min to seat us.  Without any explanation of the delay, t","","","",""
"Mambo’s","411 Bourbon St, New Orleans, LA 70130, USA","(504) 407-3717","https://www.mambosnola.com/","https://maps.google.com/?cid=1104368018113218291&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","5362","5","5","1","3","Sabrina","3","Food is tasty, our server was excellent, but the cocktail was awfully sugary.  Came here for a late night supper, as the","","","",""
"Commander's Palace","1403 Washington Ave, New Orleans, LA 70130, USA","(504) 899-8221","http://www.commanderspalace.com/","https://maps.google.com/?cid=5204633771439876795&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","8372","5","5","1","2","Nick D","2","Not fine dining - this was a major disappointment. For how seriously this restaurant takes itself, the food does not com","","","",""
"New Orleans Creole Cookery","508 Toulouse St, New Orleans, LA 70130, USA","(504) 372-6022","http://neworleanscreolecookery.com/","https://maps.google.com/?cid=5136263608834043557&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","4621","5","5","1","3","Scott Sweetow","3","While in New Orleans over Valentine’s Day, we tried New Orleans Creole Cookery, as it was close to our hotel in the Fren","","","",""
"Chemin à la Mer","2 Canal St, New Orleans, LA 70130, USA","(504) 434-5898","https://www.cheminalamer.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-nln-fab-mid-seo-na&utm_content=na-na&utm_term=na","https://maps.google.com/?cid=13178598274314559832&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","323","5","5","1","1","Nicole Salinas","1","We came here to celebrate my birthday and unfortunately had a disappointing experience. When we arrived, the restaurant ","","","",""
"Café Fleur De Lis - French Quarter","301 Chartres St, New Orleans, LA 70130, USA","(504) 354-1660","http://cafefleurdelis.com/","https://maps.google.com/?cid=17206744602484348977&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5072","5","5","1","1","Josephine","1","The café looked lovely from the outside with a very long queue for brunch on a Saturday. The menu looked good but the po","","","",""
"Headquarters by Nice Guys Nola","445 S Rampart St, New Orleans, LA 70112, USA","(504) 217-6851","https://www.headquartersnola.com/","https://maps.google.com/?cid=670014052238862332&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1643","5","5","1","3","Sasha Z. Jackson-Johnson","3","The first time was amazing, not sure what happened this time around. Really disappointed. Host was kind, server was also","","","",""
