business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes,email_step1_sent
"Comfort Inn & Suites Ballpark Area","2221 Corporate Plaza SE, Smyrna, GA 30080, USA","(678) 540-4246","https://www.choicehotels.com/georgia/smyrna/comfort-inn-hotels/ga861?mc=llgoxxpx","https://maps.google.com/?cid=16738724720933422075&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","842","5","5","5","1","Rosetta Pettus","1","First off if I didn’t has to give a star I wouldn’t. If I could get all my money back I would. First approaching the hot","info@choicehotels.com","","","","2026-04-29"
"Super 8 by Wyndham Austell/Six Flags","7377 6 Flags Dr, Austell, GA 30168, USA","(770) 628-1101","https://www.wyndhamhotels.com/super-8/austell-georgia/super-8-austell-six-flags/overview?CID=LC:yytq4fvvehxh7se:18004&iata=00093796","https://maps.google.com/?cid=4123173282613331612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.6","1028","5","5","5","1","Emily Dyer","1","All the photos you see on advertisement are FAKE. Not at all what the rooms look like whatsoever. It’s a complete scam.","info@wyndhamhotels.com","","","","2026-04-29"
"Budgetel Inns & Suites - Atlanta Galleria Stadium","4900 Circle 75 Pkwy, Atlanta, GA 30339, USA","(770) 956-1504","http://www.budgetelinn.com/","https://maps.google.com/?cid=1165348144699852272&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2","340","5","5","5","1","ToOn Valo","1","I booked a last-minute stay at Budgetel Inns & Suites - Atlanta Galleria Stadium in Atlanta due to an emergency, based o","info@budgetelinn.com","","","","2026-04-29"
"Country Inn & Suites By Radisson, Atlanta Airport North, GA","1365 Hardin Ave, East Point, GA 30344, USA","(470) 704-3188","https://www.choicehotels.com/georgia/east-point/country-inn-suites-hotels/gad27?mc=llgoxxpx","https://maps.google.com/?cid=6860456954035987384&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","1558","5","5","4","1","Yamile Crespo","1","We had a very disappointing stay at Country Inn & Suites by Radisson, Atlanta Airport North. The room itself was spaciou","info@choicehotels.com","","","","2026-04-29"
"The Westin Peachtree Plaza, Atlanta","210 Peachtree St NW, Atlanta, GA 30303, USA","(404) 659-1400","https://www.marriott.com/en-us/hotels/atlpl-the-westin-peachtree-plaza-atlanta/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=2117968496640024660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","11288","5","5","4","1","Nicole Nelson","1","I was extremely disappointed with my stay at this Westin property. I typically expect a high standard from this brand, b","info@marriott.com","","","",""
"Red Roof PLUS+ Atlanta - Buckhead","1960 N Druid Hills Rd, Atlanta, GA 30329, USA","(404) 321-1653","https://www.redroof.com/property/ga/atlanta/RRI130?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI130","https://maps.google.com/?cid=16776850232108669961&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","1568","5","5","4","1","izie p","1","I had a horrible experience. Granted, I knew this hotel was a little sketchy but the quality of service/ condition of th","firebase-adminsdk-fbsvc@redroof-web-prod.iam.gserviceaccount.com","","","","2026-04-29"
"La Quinta Inn & Suites by Wyndham Atlanta Ballpark/Galleria","2415 Paces Ferry Rd SE, Atlanta, GA 30339, USA","(770) 421-5658","https://www.wyndhamhotels.com/laquinta/atlanta-georgia/la-quinta-atlanta-ballpark-galleria/overview?CID=LC:6ysy27krtpcrqev:53075&iata=00093796","https://maps.google.com/?cid=13867822304185527951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","1532","5","5","4","1","luke yocham","1","**UNSAFE**  They gave us not one but two rooms with people currently in them. One of the rooms we walked into had a slee","info@wyndhamhotels.com","","","","2026-04-29"
"Fairfield by Marriott Inn & Suites Atlanta Buckhead","3092 Piedmont Rd NE, Atlanta, GA 30305, USA","(404) 846-0900","https://www.marriott.com/en-us/hotels/atlfb-fairfield-inn-and-suites-atlanta-buckhead/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=1945059653665420465&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","832","5","5","4","1","Jean Manuel Zaa Juhasz","1","We stayed here for a couple of days during our family trip, at the beginning was ok, but we got a handicapped room (that","info@marriott.com","","","",""
"Wingate by Wyndham Atlanta Galleria/Ballpark","2762 Cobb Pkwy SE, Atlanta, GA 30339, USA","(678) 813-1915","https://www.wyndhamhotels.com/wingate/atlanta-georgia/wingate-by-wyndham-atlanta-galleria-center/overview?CID=LC:7hcm1fujuihd89e:30343&iata=00093796","https://maps.google.com/?cid=10872288668006576603&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","1746","5","5","4","1","Tanisha Fuller","1","Absolutely horrible experience! They were supposed to change the date to checkout a day early and even had manager confi","info@wyndhamhotels.com","","","","2026-04-29"
"Hotel Indigo Atlanta - Vinings by IHG","2857 Paces Ferry Rd SE, Atlanta, GA 30339, USA","(770) 432-5555","https://www.ihg.com/hotelindigo/hotels/us/en/atlanta/atlrc/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-US-_-ATLRC","https://maps.google.com/?cid=14532290345834010862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1376","5","5","4","1","Elizabeth Torinus","1","Do not stay here. It is way overpriced for the experience! The hotel is currently being remodeled, but in the meantime i","info@ihg.com","","","","2026-04-29"
"The Connally Hotel Downtown Atlanta, an Ascend Collection Hotel","54 Peachtree St SW, Atlanta, GA 30303, USA","(404) 220-9205","https://www.choicehotels.com/georgia/atlanta/ascend-hotels/ga5171","https://maps.google.com/?cid=7461091088879950796&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3","177","5","5","4","1","Christian","1","Do not stay here. The showers are not heated. There was old urine in the bathroom. One tv doesnt work and the other it t","info@choicehotels.com","","","","2026-04-29"
"DoubleTree by Hilton Atlanta Windy Hill Ballpark","2055 S Park Pl NW, Atlanta, GA 30339, USA","(770) 272-9441","https://www.hilton.com/en/hotels/atlwydt-doubletree-atlanta-windy-hill-ballpark/?SEO_id=GMB-AMER-DT-ATLWYDT&y_source=1_MTM3MjUzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=16177930327460915639&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","1657","5","5","4","1","Kimberly Lewis","1","If you are planning to stay here, don’t!  The a/c in the entire hotel is broken!  The a/c blows hot and when you go to t","info@hilton.com","","","","2026-04-29"
"Courtyard by Marriott Atlanta Windy Hill/Ballpark","2045 S Park Pl NW, Atlanta, GA 30339, USA","(770) 955-3838","https://www.marriott.com/en-us/hotels/atlwh-courtyard-atlanta-windy-hill-ballpark/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=1997080222273120184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","590","5","5","4","1","S. Green","1","Do not book with Marriott.  They canceled my reservation a week before.  Customer service was rude and disrespectful and","info@marriott.com","","","",""
"Hyatt Place Atlanta/Cobb Galleria","2876 Spring Hill Pkwy SE, Smyrna, GA 30080, USA","(770) 384-0060","https://www.hyatt.com/hyatt-place/en-US/atlzg-hyatt-place-atlanta-cobb-galleria?src=corp_lclb_google_seo_atlzg&utm_source=google&utm_medium=organic&utm_campaign=lmr","https://maps.google.com/?cid=2777359035725815238&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1096","5","5","3","1","Jennifer Leaks","1","I found hair in my food/mouth from breakfast and immediately notified the front desk attendant. I received no formal apo","info@hyatt.com","","","","2026-04-29"
"Days Inn by Wyndham Hartsfield Jackson Atlanta Airport West","4498 Washington Rd, East Point, GA 30344, USA","(678) 855-0189","https://www.wyndhamhotels.com/days-inn/east-point-georgia/days-inn-hartsfield-jackson-atlanta-airport-west/overview?CID=LC:iqv0j1dklijly45:53993&iata=00093796","https://maps.google.com/?cid=16913508738855856952&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.7","1096","5","5","3","1","Kimberly Hopkins","1","I booked through a 3rd party when I got there I paid an additional 60 dollars for a hold. The environment has he has pro","info@wyndhamhotels.com","","","","2026-04-29"
"Fairfield by Marriott Inn & Suites Atlanta Vinings/Galleria","2450 Paces Ferry Rd SE, Atlanta, GA 30339, USA","(770) 435-4500","https://www.marriott.com/en-us/hotels/atlvn-fairfield-inn-and-suites-atlanta-vinings-galleria/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=4542613688416748523&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","849","5","5","3","2","Todd Wilburn","2","I travel the country for work. This hotel is under renovations. The room is not modern, had problems with the TV, the mi","info@marriott.com","","","",""
"Baymont by Wyndham Smyrna","5130 S Cobb Dr SE, Smyrna, GA 30082, USA","(404) 794-1600","https://www.baymontsmyrnaga.com/?CID=LC:cfixxwa8fefdt79:70105&iata=00093796","https://maps.google.com/?cid=2683634982928907014&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.1","496","5","5","3","1","DIANE WILCOX","1","First, I wanna start off with this hotel is disgusting. I came from Miami to spend 4 days with my son and he book the wi","info@baymontsmyrnaga.com","","","","2026-04-29"
"Hampton Inn Atlanta-Buckhead","3398 Piedmont Rd NE, Atlanta, GA 30305, USA","(404) 233-5656","https://www.hilton.com/en/hotels/atlbuhx-hampton-atlanta-buckhead/?SEO_id=GMB-AMER-HX-ATLBUHX&y_source=1_MjA4Mzc1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=8186988551268137785&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1408","5","5","3","1","Kyle Chadwick","1","Response to owner: I love your fake “we care” response. It took multiple days, corporate and a GM from another Hampton h","info@hilton.com","","","","2026-04-29"
"Quality Inn & Suites near Six Flags East","3900 Fulton Industrial Blvd, Atlanta, GA 30336, USA","(404) 691-2444","https://www.choicehotels.com/georgia/atlanta/quality-inn-hotels/ga586?mc=llgoxxpx","https://maps.google.com/?cid=14212833151874951520&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.4","775","5","5","3","1","Logan Dommisse","1","The hotel room was very dirty when we arrived. Floor was not vacuumed, hair and grime in the shower and the drain was cl","info@choicehotels.com","","","","2026-04-29"
"SpringHill Suites by Marriott Atlanta Buckhead","3459 Buckhead Loop NE, Atlanta, GA 30326, USA","(404) 844-4800","https://www.marriott.com/en-us/hotels/atlab-springhill-suites-atlanta-buckhead/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=648675889690901232&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1642","5","5","2","3","Anand","3","Stayed here while on a business trip. Knowing how much my company paid for this, I cannot recommend. Only thing going fo","info@marriott.com","","","",""
"Microtel Inn & Suites by Wyndham Atlanta/Buckhead Area","1840 Corporate Blvd NE, Atlanta, GA 30329, USA","(404) 410-0312","https://www.wyndhamhotels.com/microtel/atlanta-georgia/microtel-inn-and-suites-atlanta-buckhead-area/overview?CID=LC:5b3ss9kd80xe5ox:28614&iata=00093796","https://maps.google.com/?cid=17364889647880224817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.4","1255","5","5","2","1","Eric Walker","1","This hotel is in serious need of a full renovation. From the moment you step inside, everything feels extremely dated  f","info@wyndhamhotels.com","","","","2026-04-29"
"Comfort Inn Atlanta Downtown South","795 Pollard Blvd SW, Atlanta, GA 30315, USA","(404) 201-2830","https://www.choicehotels.com/georgia/atlanta/comfort-inn-hotels/ga381?mc=llgoxxpx","https://maps.google.com/?cid=15779077967034351466&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","1435","5","5","2","1","Ralph Leone","1","If you’re looking for a hotel, I would suggest keep on going do not come here. The reason for my review is that they pla","info@choicehotels.com","","","","2026-04-29"
"La Quinta Inn & Suites by Wyndham Atlanta Midtown - Buckhead","2535 Chantilly Dr NE, Atlanta, GA 30324, USA","(404) 321-0999","https://www.wyndhamhotels.com/laquinta/atlanta-georgia/la-quinta-atlanta-midtown-buckhead/overview?CID=LC:6ysy27krtpcrqev:53076&iata=00093796","https://maps.google.com/?cid=17037792286582010018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","1413","5","5","2","2","Claire","2","When I search for hotels I filter by 'free breakfast' and 'fitness center'. I feel swindled- I would not have considered","info@wyndhamhotels.com","","","","2026-04-29"
"Economy Hotel Atlanta","4265 Shirley Dr, Atlanta, GA 30336, USA","(404) 696-4391","https://www.economyhotelusa.com/atlanta","https://maps.google.com/?cid=9367873118827696841&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","450","5","5","2","1","Shaab uddin","1","This security lady is very rude to the delivery driver like come on. I’m delivering food five years and I never show my","info@economyhotelusa.com","","","","2026-04-29"
"Hampton Inn & Suites Atlanta-Downtown","161 Ted Turner Dr NW, Atlanta, GA 30303, USA","(404) 589-1111","https://www.hilton.com/en/hotels/atlhshx-hampton-suites-atlanta-downtown/?SEO_id=GMB-AMER-HX-ATLHSHX&y_source=1_MjA4MjU2My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=13615998873826998393&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1162","5","5","2","1","Brandon Miller","1","The customer service was great and the staff was amazing. However, I will never stay at this hotel again.  This hotel no","info@hilton.com","","","","2026-04-29"
"Hyatt Place Atlanta/Downtown","330 Peachtree St NE, Atlanta, GA 30308, USA","(404) 577-1980","https://www.hyatt.com/hyatt-place/en-US/atlzd-hyatt-place-atlanta-downtown?src=corp_lclb_google_seo_atlzd&utm_source=google&utm_medium=organic&utm_campaign=lmr","https://maps.google.com/?cid=4500372877977029675&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1124","5","5","2","1","Mauricio Chavez","1","My companion and I were each charged six separate times on our cards. On top of that, we were both charged a $35 parking","info@hyatt.com","","","","2026-04-29"
"Country Inn & Suites by Radisson, Atlanta Downtown","759 Pollard Blvd SW, Atlanta, GA 30315, USA","(404) 446-0970","https://www.choicehotels.com/georgia/atlanta/country-inn-suites-hotels/gad42?mc=llgoxxpx","https://maps.google.com/?cid=3926182089830022735&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.5","2080","5","5","2","1","Joelle Johnson","1","This hotel is deceiving. Its located in a very unsafe neighborhood as my 3 different Uber drivers told me. Its definitel","info@choicehotels.com","","","","2026-04-29"
"Courtyard by Marriott Atlanta Executive Park/Emory","1236 Executive Park Dr NE, Atlanta, GA 30329, USA","(404) 728-0708","https://www.marriott.com/en-us/hotels/atlep-courtyard-atlanta-executive-park-emory/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=16218844901766971662&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","940","5","5","2","2","Kalina Nikolova","2","High noise from the highway, the rooms are not well noise insulated. High noise from the connected rooms, the doors are","info@marriott.com","","","",""
"Economy Hotel Forest Park","241 Falcon Dr, Forest Park, GA 30297, USA","(678) 978-1366","https://www.economyhotelusa.com/forest-park","https://maps.google.com/?cid=18381610621937983191&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","324","5","5","2","1","Dorothy Dawson","1","This place is filthy and very uninhabitable. They are clearly taking advantage of people who are in Dire Straits. I drop","info@economyhotelusa.com","","","","2026-04-29"
"Aloft by Marriott Atlanta Downtown","300 Ted Turner Dr NW, Atlanta, GA 30308, USA","(678) 515-0300","https://www.marriott.com/en-us/hotels/atldn-aloft-atlanta-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=7976184425513411530&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","2454","5","5","2","1","Cindy Hanson","1","I was booked there through a stay and play for a cheer competition.  I received an email on 2/6 confirming my stay and r","info@marriott.com","","","",""
"Country Inn & Suites by Radisson, Smyrna - Atlanta Northwest","2175 Church Rd SE, Smyrna, GA 30080, USA","(678) 999-3968","https://www.choicehotels.com/georgia/smyrna/country-inn-suites-hotels/gad30?mc=llgoxxpx","https://maps.google.com/?cid=7563149158598084519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","821","5","5","2","1","Sierra Schutz","1","I will never stay at this hotel again and would not recommend to anyone. The staff was very nice however that does not e","info@choicehotels.com","","","","2026-04-29"
"Courtland Grand Hotel","165 Courtland St NE, Atlanta, GA 30303, USA","(404) 659-6500","https://courtlandgrandhotel.com/","https://maps.google.com/?cid=18399961015457718963&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","7913","5","5","2","3","Katie Hines","3","This hotel wasn’t the worst but could have provided a better experience. Overall the lobby, pool, and common areas were","info@courtlandgrandhotel.com","","","","2026-04-29"
"Atlanta Alpaca Treehouse in the Bamboo Forest","1152 Fayetteville Rd SE, Atlanta, GA 30316, USA","(678) 595-0038","https://www.alpacatreehouse.com/","https://maps.google.com/?cid=1848326967867719091&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","165","5","5","2","3","Blue P","3","Visited this place for the Llama Yoga experience. Overall it was okay, but certainly not worth $50.  Pros: - Beautiful a","kara@karaobrien.com","","","","2026-04-29"
"Motel 6 Atlanta Smyrna / Ballpark","2200 Corporate Plaza SE, Smyrna, GA 30080, USA","(770) 675-3190","https://www.motel6.com/property/motel-atlanta-georgia-us-319990?lid=Local_Milestone&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W&utm_source=google%20my%20business&utm_medium=organic%20listing&utm_campaign=visit%20website&utm_content=global","https://maps.google.com/?cid=5490284347221192061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.6","39","5","5","2","1","Keturah McGee","1","It is hidden behind Target. I only been there while it was Motel 6. I stayed still until I was able to find housing for","info@motel6.com","","","","2026-04-29"
"REVERB Downtown Atlanta","89 Centennial Olympic Park Dr NW, Atlanta, GA 30313, USA","(470) 552-8410","https://reverb.hardrock.com/atlanta?utm_campaign=shrss_reverb_reverb-atlanta_websitelisting&utm_medium=referral&utm_source=gmb","https://maps.google.com/?cid=11285712382034384928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1708","5","5","1","1","Larry Taylor","1","Very disappointed in my stay at this hotel.  Valet experience  We came here for a cheer competition. We arrived late (ar","info@reverb.hardrock.com","","","","2026-04-29"
"Atlanta Marriott Marquis","265 Peachtree Center Ave NE, Atlanta, GA 30303, USA","(404) 521-0000","https://www.marriott.com/en-us/hotels/atlmq-atlanta-marriott-marquis/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=3416193417417511645&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","14596","5","5","1","1","Heather S","1","In March 2025, I took 30 students for an overnight trip for a school conference that they Hyatt Regency does a remarkabl","info@marriott.com","","","",""
