business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Trinity Brothers Automotive","8347 Pendleton Pike, Indianapolis, IN 46226, USA","(317) 890-8675","http://www.trinitybrothersautorepair.com/","https://maps.google.com/?cid=586691508458515212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","459","5","5","3","1","Law Gram","1","I got a call from Trinity Brothers stating my car was vandalized while waiting to be serviced. My driver's and passenger","","","",""
"Sharps Automotive","3522 W 30th St, Indianapolis, IN 46222, USA","(317) 925-7423","https://www.sharpsautomotive.com/","https://maps.google.com/?cid=829016872216494299&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","171","5","5","3","1","Anthony Williams","1","Took my car up there to see why I was overheating and they told me it was the radiator cap and they completely missed th","","","",""
"McKinney Auto Service & Transmission","4451 Lafayette Blvd, Indianapolis, IN 46254, USA","(317) 297-1474","http://autoandfleetrepair.com/","https://maps.google.com/?cid=2676571947822847408&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","277","5","5","3","1","Jade Robbins","1","I’m here for a part says they close at 5 at I’m here at 4:36 to pick up a small part they don’t answer they’re phone and","","","",""
"Discount Auto Repair Inc.","12114 E Washington St, Indianapolis, IN 46229, USA","(317) 894-4000","http://discountautorepairin.com/","https://maps.google.com/?cid=17042543937530481191&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","142","5","5","2","1","Mr Wright","1","Dont take your vehicle here if you are black they will over charge you and trash your vehicle like they did me...wasted ","","","",""
"Indy Automotive Repair Center","6155 E 86th St Suite A, Castleton, IN 46250, USA","(317) 596-0000","","https://maps.google.com/?cid=10333113591809079206&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","91","5","5","2","1","Alexa P","1","We brought our car here for what should have been a straightforward repair, but our experience was extremely disappointi","","","",""
"Malless Auto Service - a Main Street Auto shop","4525 W 71st St, Indianapolis, IN 46268, USA","(317) 349-4671","https://mainstreetauto.com/location/malless-automotive/","https://maps.google.com/?cid=11926814801904904998&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","845","5","5","1","3","Aaron Walker","3","I’ve had my car in and out of this shop since November for multiple issues, and I’ve spent over $3,000 in repairs in jus","","","",""
"West Side Auto Care","7501 W 10th St, Indianapolis, IN 46214, USA","(317) 273-9111","","https://maps.google.com/?cid=16560131631618485906&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","164","5","5","1","1","Cheshire Kitty","1","They got my car running sure, but they left me with an overtightened serpentine belt, missing valve cover bolt and a lea","","","",""
"South Indy Auto Repair","8301 Lake Rd, Indianapolis, IN 46217, USA","(317) 418-0709","","https://maps.google.com/?cid=11328310935035260930&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","55","5","5","1","3","Lone Wolf SRH","3","For $95 an hr the least he could’ve done was put it back together, ended up driving back like this and didn’t notice til","","","",""
"All Star Tire & Auto Service","534 N Capitol Ave, Indianapolis, IN 46204, USA","(317) 269-0500","https://astires.com/","https://maps.google.com/?cid=3935018598269669601&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","372","5","5","1","1","Nicole Poletika","1","I LOVE a small business, which is why I’ve been so disappointed with this shop. I had a screw in my tire, so I dropped i","","","",""
"OB Auto Repair And Roadside","117 Herman St, Indianapolis, IN 46202, USA","(317) 619-4123","","https://maps.google.com/?cid=11470476920178204638&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","31","5","5","1","1","Matt D'Amico","1","I called and scheduled a mobile tire replacement, and after confirming they were on the way, I got complete radio silenc","","","",""
