business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"University of Detroit Mercy School of Dentistry Dental Clinic","2700 Martin Luther King Jr Blvd, Detroit, MI 48208, USA","(313) 494-6700","http://dental.udmercy.edu/","https://maps.google.com/?cid=4678668255442461093&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.5","174","5","5","5","1","Kevin B","1","I came here a few years ago to have a white filling redone everything seemed to be okay and then they decided if I wante","","","",""
"Nolan Family Health Center","111 W Seven Mile Rd, Detroit, MI 48203, USA","(313) 369-2600","http://dchcquality.org/","https://maps.google.com/?cid=5065414292484943556&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.3","39","5","5","5","1","Crystal Rucker","1","This place has went downhill over the years. I’ve been going to this DCHC for 27 years and I’ve never dealt with such un","","","",""
"Gentle Dental at Gratiot Avenue","11180 Gratiot Ave, Detroit, MI 48213, USA","(313) 486-3379","https://www.gentledental-mi.com/dentist-office/detroit-mi-48213?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website","https://maps.google.com/?cid=6970263959330617534&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","678","5","5","4","1","McKayla Turner","1","Completely misleading, mildew smell upon arrival cold an unpleasant waiting area. made it to the back the person immedia","","","",""
"Covenant Family Dental Center","5716 Michigan Ave, Detroit, MI 48210, USA","(313) 554-3880","http://covenantcommunitycare.org/dental/","https://maps.google.com/?cid=13331064188393856082&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.9","21","5","5","4","1","Alsalami A","1","Worst place ever been waiting over a month to book a appointment called 3times they keep telling me to call next month c","","","",""
"Detroit Dental Specialists","14351 Livernois, Detroit, MI 48238, USA","(313) 863-2800","http://www.detroitdentalnow.com/","https://maps.google.com/?cid=14188726242296911252&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1298","5","5","3","1","LaVell Lust (Mr.Lust)","1","I call their office at 12:45 PM on October 29, 2024, and the receptionist who answered asked how could she help then tur","","","",""
"DETROIT MERCY DENTAL CENTER","2700 Martin Luther King Jr Blvd, Detroit, MI 48208, USA","(313) 494-6700","http://dental.udmercy.edu/","https://maps.google.com/?cid=10355871272295861531&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","87","5","5","3","1","Fay Noel","1","front desk receptionist Morgan was extremely rude and had the nastiest attitude at 8am with her AirPods in.  We all have","","","",""
"Brushery","2700 Brush St, Detroit, MI 48201, USA","(313) 228-6822","http://www.brusherydetroit.com/","https://maps.google.com/?cid=1711475606154758334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","93","5","5","3","1","Christiona Davis","1","My experience with Brushery has been extremely frustrating and unprofessional.  Throughout my time as a patient, they re","","","",""
"Destiny Dental - Detroit Grand River","21427 Grand River Ave, Detroit, MI 48219, USA","(313) 412-2100","http://destinydentalcare.com/","https://maps.google.com/?cid=10034501210716972930&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.4","148","5","5","3","1","falecia SINGLETARY","1","The actual dentist and dental assistants where very nice and professional, however the building/office suit is Absolutel","","","",""
"Destiny Dental - Detroit - Mack/Alter","14736 Mack Ave, Detroit, MI 48215, USA","(313) 939-2127","http://destinydentalcare.com/","https://maps.google.com/?cid=5667028279824493584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.5","69","5","5","3","1","Gabby Bryan","1","This is a 0 star dentist, only giving one because it's required to rate & say what I want to say! I arrive on time for m","","","",""
"PCM Dental","13874 W Grand River Ave, Detroit, MI 48227, USA","(313) 834-4900","http://mdsdetroit.com/","https://maps.google.com/?cid=4738390173884417947&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","166","5","5","3","1","Jeana Hamm","1","This office is horrible!! They pulled the wrong tooth and then proceeded to get the correct one. The cleaning hurt sever","","","",""
