business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Cincinnati Sports Club","3950 Red Bank Rd, Cincinnati, OH 45227, USA","(513) 527-4000","http://www.cincinnatisportsclub.com/","https://maps.google.com/?cid=6038465458168665985&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","414","5","5","4","2","Kali Pearce","2","Please beware of joining this club. $700 fee to join and then $139/month, which increases yearly. You are not able to pa","","","",""
"Bee Fit Health Club","1192 W Kemper Rd, Cincinnati, OH 45240, USA","(513) 850-2050","https://beefitcincy.com/","https://maps.google.com/?cid=13755596926638428153&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","224","5","5","4","1","Trayli Monroe","1","My boyfriend tried to cancel our membership for weeks by calling, submitting a form on the website, and emailing. Couldn","","","",""
"Snap Fitness Cincinnati West","6701 Ruwes Oak Dr Suite 12, Cincinnati, OH 45248, USA","(513) 574-7627","https://www.snapfitness.com/us/gyms/cincinnati-west-oh/?utm_source=gmb&utm_medium=yext","https://maps.google.com/?cid=5619946648091991209&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.6","34","5","5","3","1","Leslie Fultz","1","Snap Fitness Cincinnati West I complained about the cleanliness of the facility on multiple occasions. I left many notes","","","",""
"Mercy Health - Queen City HealthPlex","3131 Queen City Ave, Cincinnati, OH 45238, USA","(513) 389-5600","https://www.mercy.com/locations/fitness-healthplex/cincinnati/mercy-health-queen-city-healthplex","https://maps.google.com/?cid=1333648537434864247&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","212","5","5","3","1","rashaad smith","1","I waited four hours for literally nothing your whole staff sucks. Then I get prescribed no medicine when clear as fat yo","","","",""
"Crunch Fitness - Newport","1751 Monmouth St, Newport, KY 41071, USA","(859) 360-5238","https://www.crunch.com/locations/newport","https://maps.google.com/?cid=13749797092688652341&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1049","5","5","2","1","Kelsey Vincent","1","The must uncomfortable gym environment I’ve experienced, gym bros yelling between sets, slamming weights and 4 people st","","","",""
"Anytime Fitness Cincinnati","3537 Columbia Pkwy, Cincinnati, OH 45226, USA","(513) 871-2424","https://www.anytimefitness.com/locations/cincinnati-ohio-1973/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=1973","https://maps.google.com/?cid=5491629990808235009&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","102","5","5","2","1","Elliot Hollis","1","I was working out per usual, first time at this location, and a worker started complaining about the way I worked out, c","","","",""
"Crunch Fitness - Kenwood","5901 E Galbraith Rd Suite 250, Cincinnati, OH 45236, USA","(513) 984-0348","https://www.crunch.com/locations/kenwood","https://maps.google.com/?cid=16312613676424267732&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","808","5","5","2","1","Anna E","1","I don’t necessarily place the one star on crunch fitness as a whole, but moreso the kenwood location. I first signed up ","","","",""
"Planet Fitness","6186 Glenway Ave, Cincinnati, OH 45211, USA","(513) 429-4102","https://www.planetfitness.com/gyms/cincinnati-western-hills-oh?utm_medium=organic&utm_source=extnet","https://maps.google.com/?cid=11147361657819298543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1019","5","5","2","1","schottel0127","1","The only thing good about this place is the hours it’s open. Otherwise it’s a joke ! Half the people that go here sit on","","","",""
"Recreation Center","1723 Cleneay Ave, Cincinnati, OH 45207, USA","(513) 745-3208","http://www.xavier.edu/recreational-sports/","https://maps.google.com/?cid=730356247796294060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","28","5","5","2","1","Dre NYC","1","ONLY FOR XAVIER STUDENTS","","","",""
"Kingdom Fitness","327 W 4th St, Cincinnati, OH 45202, USA","(513) 604-4041","https://kingdomfitness.us/","https://maps.google.com/?cid=16036583807371027421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","86","5","5","1","1","Jack Waldon","1","Out dated gym, outdated equipment. Got a membership here and my key fob never worked I only went once and had to be let ","","","",""
"Delhi Athletic Club","5027 Delhi Rd, Cincinnati, OH 45238, USA","(513) 278-4060","https://www.delhiathleticclub.com/","https://maps.google.com/?cid=18276308438413511686&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","50","5","5","1","1","Mimi D","1","Frustrating Customer Service Experience The communication at Delhi Athletic Club has been terrible. I’ve had to chase do","","","",""
"World Gym Cincinnati","9481 Princeton Glendale Rd, Hamilton, OH 45011, USA","(513) 288-1480","https://www.worldgym.com/cincinnati","https://maps.google.com/?cid=10060766693807106955&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","238","5","5","1","1","Adrian","1","My review is based on my personal experience here at this gym. My hope is that yours will be better than mine but I will","","","",""
"Fitnext: The Jungle Gym","803 Sycamore St, Cincinnati, OH 45202, USA","(513) 721-0055","http://www.cincyfitnext.com/","https://maps.google.com/?cid=11249434243712851988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","20","5","5","1","1","Brian Ellis","1","Too expensive. You can get into great shape for 10 dollars a month. Silly people will pay this much for a gym but whine ","","","",""
"Paramount Fitness","6306 Harrison Ave, Cincinnati, OH 45247, USA","(513) 451-6509","https://www.facebook.com/pages/Paramount-Fitness-Center/176627119035614","https://maps.google.com/?cid=24685426898422693&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","40","5","5","1","3","Mark Shots","3","Every single bench in the gym is ripped up. Water fountain dispenses lukewarm water. If you go any day during the week f","","","",""
"Workout Anytime Monfort Heights","5441 N Bend Rd Ste 106, Cincinnati, OH 45247, USA","(513) 481-8746","https://workoutanytime.com/location/monfort-heights/","https://maps.google.com/?cid=11693950675325000260&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","119","5","5","1","3","Drew Whitmire","3","It's a very nice gym and the staff have always been nice. But as of the time of writing, it's regularly too busy for my ","","","",""
"Planet Fitness","4503 Marburg Ave, Cincinnati, OH 45209, USA","(513) 351-0457","https://www.planetfitness.com/gyms/cincinnati-oakley-oh?utm_medium=organic&utm_source=extnet","https://maps.google.com/?cid=16287154642941615487&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","659","5","5","1","2","Learni Back","2","Please clean your showers as often. I’ve been to many PF and this one by far the less clean shower. I know they’re not b","","","",""
