business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Comfort Inn & Suites Ballpark Area","2221 Corporate Plaza SE, Smyrna, GA 30080, USA","(678) 540-4246","https://www.choicehotels.com/georgia/smyrna/comfort-inn-hotels/ga861?mc=llgoxxpx","https://maps.google.com/?cid=16738724720933422075&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","842","5","5","5","1","Rosetta Pettus","1","First off if I didn’t has to give a star I wouldn’t. If I could get all my money back I would. First approaching the hot","","","",""
"Super 8 by Wyndham Austell/Six Flags","7377 6 Flags Dr, Austell, GA 30168, USA","(770) 628-1101","https://www.wyndhamhotels.com/super-8/austell-georgia/super-8-austell-six-flags/overview?CID=LC:yytq4fvvehxh7se:18004&iata=00093796","https://maps.google.com/?cid=4123173282613331612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.6","1028","5","5","5","1","Emily Dyer","1","All the photos you see on advertisement are FAKE. Not at all what the rooms look like whatsoever. It’s a complete scam. ","","","",""
"Budgetel Inns & Suites - Atlanta Galleria Stadium","4900 Circle 75 Pkwy, Atlanta, GA 30339, USA","(770) 956-1504","http://www.budgetelinn.com/","https://maps.google.com/?cid=1165348144699852272&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2","340","5","5","5","1","ToOn Valo","1","I booked a last-minute stay at Budgetel Inns & Suites - Atlanta Galleria Stadium in Atlanta due to an emergency, based o","","","",""
"Country Inn & Suites By Radisson, Atlanta Airport North, GA","1365 Hardin Ave, East Point, GA 30344, USA","(470) 704-3188","https://www.choicehotels.com/georgia/east-point/country-inn-suites-hotels/gad27?mc=llgoxxpx","https://maps.google.com/?cid=6860456954035987384&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","1558","5","5","4","1","Yamile Crespo","1","We had a very disappointing stay at Country Inn & Suites by Radisson, Atlanta Airport North. The room itself was spaciou","","","",""
"The Westin Peachtree Plaza, Atlanta","210 Peachtree St NW, Atlanta, GA 30303, USA","(404) 659-1400","https://www.marriott.com/en-us/hotels/atlpl-the-westin-peachtree-plaza-atlanta/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=2117968496640024660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","11288","5","5","4","1","Nicole Nelson","1","I was extremely disappointed with my stay at this Westin property. I typically expect a high standard from this brand, b","","","",""
"Red Roof PLUS+ Atlanta - Buckhead","1960 N Druid Hills Rd, Atlanta, GA 30329, USA","(404) 321-1653","https://www.redroof.com/property/ga/atlanta/RRI130?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI130","https://maps.google.com/?cid=16776850232108669961&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","1568","5","5","4","1","izie p","1","I had a horrible experience. Granted, I knew this hotel was a little sketchy but the quality of service/ condition of th","","","",""
"La Quinta Inn & Suites by Wyndham Atlanta Ballpark/Galleria","2415 Paces Ferry Rd SE, Atlanta, GA 30339, USA","(770) 421-5658","https://www.wyndhamhotels.com/laquinta/atlanta-georgia/la-quinta-atlanta-ballpark-galleria/overview?CID=LC:6ysy27krtpcrqev:53075&iata=00093796","https://maps.google.com/?cid=13867822304185527951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","1532","5","5","4","1","luke yocham","1","**UNSAFE**  They gave us not one but two rooms with people currently in them. One of the rooms we walked into had a slee","","","",""
"Fairfield by Marriott Inn & Suites Atlanta Buckhead","3092 Piedmont Rd NE, Atlanta, GA 30305, USA","(404) 846-0900","https://www.marriott.com/en-us/hotels/atlfb-fairfield-inn-and-suites-atlanta-buckhead/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=1945059653665420465&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","832","5","5","4","1","Jean Manuel Zaa Juhasz","1","We stayed here for a couple of days during our family trip, at the beginning was ok, but we got a handicapped room (that","","","",""
"Wingate by Wyndham Atlanta Galleria/Ballpark","2762 Cobb Pkwy SE, Atlanta, GA 30339, USA","(678) 813-1915","https://www.wyndhamhotels.com/wingate/atlanta-georgia/wingate-by-wyndham-atlanta-galleria-center/overview?CID=LC:7hcm1fujuihd89e:30343&iata=00093796","https://maps.google.com/?cid=10872288668006576603&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.7","1746","5","5","4","1","Tanisha Fuller","1","Absolutely horrible experience! They were supposed to change the date to checkout a day early and even had manager confi","","","",""
"Hotel Indigo Atlanta - Vinings by IHG","2857 Paces Ferry Rd SE, Atlanta, GA 30339, USA","(770) 432-5555","https://www.ihg.com/hotelindigo/hotels/us/en/atlanta/atlrc/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-US-_-ATLRC","https://maps.google.com/?cid=14532290345834010862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1376","5","5","4","1","Elizabeth Torinus","1","Do not stay here. It is way overpriced for the experience! The hotel is currently being remodeled, but in the meantime i","","","",""
