business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Sleep Inn Airport - Billy Graham Parkway","701 Yorkmont Rd, Charlotte, NC 28217, USA","(704) 247-1733","https://www.choicehotels.com/north-carolina/charlotte/sleep-inn-hotels/nc084?mc=llgoxxpx","https://maps.google.com/?cid=6143553371069737227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.3","1154","5","5","5","1","Moo El","1","This is the worst hotel I’ve ever stayed in. Worse than 1 star hotels in third world countries. The smell in the lobby a","","","",""
"Radisson Hotel Charlotte Airport","212 W Woodlawn Rd Building C, Charlotte, NC 28217, USA","(980) 346-6375","https://www.choicehotels.com/north-carolina/charlotte/radisson-hotels/nc722?mc=llgoxxpx","https://maps.google.com/?cid=16408191925396434677&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.6","1025","5","5","5","1","Sara Calicott","1","Do not book this hotel!!! I booked as a package deal on Priceline, and typically Radisson hotels are nice. NOT THIS ONE!","","","",""
"Wyndham Garden Charlotte Executive Park","440 Griffith Rd, Charlotte, NC 28217, USA","(980) 285-8493","https://www.wyndhamhotels.com/wyndham-garden/charlotte-north-carolina/wyndham-garden-charlotte-airport-southeast/overview?CID=LC:46q62bu8edfbx3y:48831&iata=00093796","https://maps.google.com/?cid=5400468665248908874&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.1","1569","5","5","5","1","Leland Hinely","1","The hotel is dated with paint thrown over it to make it look fresh. My room was very dated. The furniture was from a res","","","",""
"Best Western Plus Pineville-Charlotte South","9825 Leitner Dr, Pineville, NC 28134, USA","(704) 341-1190","https://www.bestwestern.com/en_US/book/hotel-rooms.34182.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:34182","https://maps.google.com/?cid=11190758170934010238&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.6","828","5","5","4","1","Linda Miller","1","Upon arrival we were notified that the elevator was out. No reason was given as to why it was out of order. We were dire","","","",""
"Super 8 by Wyndham Charlotte University","5100 Equipment Dr, Charlotte, NC 28269, USA","(704) 594-2029","https://super8charlotteuniversity.com/","https://maps.google.com/?cid=14302392388297425033&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.2","761","5","5","4","1","natalie dot","1","I would give it zero stars if i could. We got there at 4:30pm and were given a key to room 239 in the end of the upstair","","","",""
"Days Inn by Wyndham Charlotte/Woodlawn Near Carowinds","118 E Woodlawn Rd, Charlotte, NC 28217, USA","(704) 412-5002","https://www.wyndhamhotels.com/days-inn/charlotte-north-carolina/days-inn-charlotte-woodlawn-near-carowinds/overview?CID=LC:iqv0j1dklijly45:982&iata=00093796","https://maps.google.com/?cid=5844477192660827437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.5","1110","5","5","4","1","Royalty Bells Cosmetics","1","This hotel was disgusting when we came in it looked unkept. The host was unkept. Hadn’t swept floors,  wires hanging fro","","","",""
"Holiday Inn Express & Suites Charlotte Southwest by IHG","7808 Savoy Corporate Dr, Charlotte, NC 28273, USA","(704) 504-1000","https://www.ihg.com/holidayinnexpress/hotels/us/en/charlotte/cltar/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-CLTAR","https://maps.google.com/?cid=16800514418362463928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","403","5","5","4","1","Pr!ncess Arie1","1","Just won’t be staying at hotels anymore. Booked this for valentines night as my fiance and I wind down our road trip, an","","","",""
"Holiday Inn Express & Suites Charlotte-Concord-I-85 by IHG","7772 Gateway Ln NW, Concord, NC 28027, USA","(704) 979-7900","https://www.ihg.com/holidayinnexpress/hotels/us/en/concord/cncnc/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-CNCNC","https://maps.google.com/?cid=12760871955824383874&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","627","5","5","4","1","basia smith","1","I stayed at this location two weeks ago. My stay wasn’t as pleasant as I would’ve liked it to be. I had a lot going on a","","","",""
"Econo Lodge Charlotte Airport Area","4115 Glenwood Dr, Charlotte, NC 28208, USA","(704) 394-4131","https://www.choicehotels.com/north-carolina/charlotte/econo-lodge-hotels/nc959?mc=llgoxxpx","https://maps.google.com/?cid=5232958502521545092&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.1","764","5","5","4","1","Lisa Royster","1","Very upset with this location. I reserved rooms online. Cancel one room and added another one on. Got all the way to the","","","",""
"Hyatt Place Charlotte/Arrowood","7900 Forest Point Blvd, Charlotte, NC 28273, USA","(704) 522-8400","https://www.hyatt.com/hyatt-place/en-US/cltzc-hyatt-place-charlotte-arrowood?src=corp_lclb_google_seo_cltzc&utm_source=google&utm_medium=organic&utm_campaign=lmr","https://maps.google.com/?cid=14499374933611639882&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","1475","5","5","4","1","Elliott Wood","1","Absolutely filthy hotel. I’ve never canceled a reservation upon showing up until I visited this hotel. The location is c","","","",""
"Days Inn by Wyndham Charlotte Northlake","4924 Sunset Rd, Charlotte, NC 28269, USA","(704) 533-9502","https://www.wyndhamhotels.com/days-inn/charlotte-north-carolina/days-inn-charlotte-northlake/overview?CID=LC:iqv0j1dklijly45:4734&iata=00093796","https://maps.google.com/?cid=11754135432301115856&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","2.5","536","5","5","4","1","Alyssa Gibson","1","Do not stay here!!!!!!! Very bad area! Checked into the room and first thing we do is check the mattress! Soon as I lift","","","",""
"Sleep Inn & Suites at Concord Mills","7821 Gateway Ln NW, Concord, NC 28027, USA","(704) 979-4077","https://www.choicehotels.com/north-carolina/concord/sleep-inn-hotels/nc334?mc=llgoxxpx","https://maps.google.com/?cid=3731858511732876201&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","686","5","5","4","1","Latoya Jenkins","1","This was the worst hotel. I’ve stayed at in a long time. Right from the beginning at check-in, the receptionist was so n","","","",""
"Quality Inn & Suites University Area","5301 Equipment Dr, Charlotte, NC 28262, USA","(704) 247-1742","https://www.choicehotels.com/north-carolina/charlotte/quality-inn-hotels/nc864?mc=llgoxxpx","https://maps.google.com/?cid=6067074565477038795&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.4","671","5","5","4","1","Shannon","1","I called before I made my reservation because I did not have my physical debit card because I had to order a new one whi","","","",""
"WaterWalk Extended Stay Charlotte - Arrowood","1525 W Arrowood Rd, Charlotte, NC 28217, USA","(980) 249-3986","https://www.wyndhamhotels.com/waterwalk/charlotte-north-carolina/waterwalk-extended-stay-charlotte-arrowhead/overview?brand_id=WW","https://maps.google.com/?cid=8513103062476963874&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.3","196","5","5","4","1","Stephanie Herring","1","DEC. 5th-7th 2025- Myself and three other adults were very dissatisfied with this place. Check in was fine. The young ma","","","",""
