business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Supercuts","279 Newbury St, Boston, MA 02116, USA","(617) 644-0458","https://www.supercuts.com/locations/nearme/haircut/ma/boston/279-newbury-street/8679","https://maps.google.com/?cid=950486066837412554&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1185","5","5","2","1","Nicole Taylor","1","I had a very bad experience with a hair cut from Mia on Friday 10/10/25, I saw the good reviews so I gave her a chance, ","","","",""
"Pathos Salon Boston","270 Newbury St, Boston, MA 02116, USA","(857) 233-4944","https://www.pathossalonboston.com/","https://maps.google.com/?cid=10949097988823951949&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","299","5","5","1","2","Isadora Goldman Leviton","2","Max cut my hair yesterday - it looks totally butchered. The bangs are tiny, and look nothing like the photos I showed hi","","","",""
"Salon Mario Russo","71 Park Plaza, Boston, MA 02116, USA","(617) 424-6676","https://mariorusso.com/","https://maps.google.com/?cid=3851154660733141112&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","328","5","5","1","1","Hanieh Asghari Oskoei","1","I did my hair with Rezi and she was absolutely amazing. She was good. Kind, with patience and the other staff were also ","","","",""
"LAMS Boston","274 Summer St, Boston, MA 02210, USA","","https://www.lamsboston.com/","https://maps.google.com/?cid=16396296997698708056&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","134","5","5","1","2","Pham Abarzua","2","I got a pretty disappointing haircut, which is unfortunate considering the salon’s perfect rating and stellar reviews. T","","","",""
"G2O Spa + Salon","33 Exeter St, Boston, MA 02116, USA","(617) 262-2220","http://www.g2ospasalon.com/","https://maps.google.com/?cid=10880636689570226827&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","488","5","5","1","2","Stacy Nobles","2","While I have had a few lovely massages here, I have been disappointed by the phone staff and over-promised services. My ","","","",""
"Latino Beauty Salon","3125 Washington St, Boston, MA 02119, USA","(617) 522-2055","http://www.latinobeautysalonboston.com/","https://maps.google.com/?cid=3136893237354937086&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","729","5","5","1","3","Jalika Monae","3","The website says they do cuts and color... I made a appointment went in explained i wanted a cut color and style...I had","","","",""
"Honey & Comb Salon","56 Wareham St Suite 209, Boston, MA 02118, USA","(978) 408-8521","http://www.honeyandcomb.salon/","https://maps.google.com/?cid=8200674280161885121&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","35","5","5","1","2","Abbi","2","I went in for a full head of highlights with Kristin. I left with wet hair, and when my hair dried and I got home I real","","","",""
"Viselli Salon","69 Newbury St 2nd Floor, Boston, MA 02116, USA","(857) 350-4856","http://www.vs-salon.com/","https://maps.google.com/?cid=1777529953919874786&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","2383","5","5","0","5","Olivia Driscoll","5","Ashley did such an amazing job on my hair! She gave me the most beautiful highlights they blend perfectly and look so na","","","",""
"Sky Salon","1104 Commonwealth Ave, Boston, MA 02215, USA","(617) 466-9722","https://sky-salon.square.site/","https://maps.google.com/?cid=12063126173619559840&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","538","5","5","0","4","C Kru","4","Booked a haircut with Ivy and she was wonderful, the whole process was a good experience and she took her time so I was ","","","",""
"Avanti Salon","20 Newbury St #4, Boston, MA 02116, USA","(617) 267-4027","https://avantisalonboston.com/","https://maps.google.com/?cid=1020578620032604959&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","592","5","5","0","5","Lourdes Maria & Jeff McLaughlin","5","Ethan is hands down the best hair stylist in Boston. I am extremely picky about blowouts and haircuts, and he always del","","","",""
