business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Alossi Renewal Spa","245 New Fidelity Ct, Garner, NC 27529, USA","(919) 662-5090","http://www.alossispa.com/","https://maps.google.com/?cid=7189023996578163343&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","135","5","5","2","1","Mikayla H","1","I made an appt for today at 4pm, I get a call in the middle of my work for them to try to change my appt, I offered a ti","","","",""
"Royal Crown Head & Beard Spa","208 Fayetteville St Ste. 309, Raleigh, NC 27601, USA","(984) 331-9113","https://royalcrownheadandbeardspa.com/","https://maps.google.com/?cid=15241239935776951159&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","76","5","5","2","1","Brenna Mitchiner","1","Purchased a gift certificate on line (12/29) for my sister for Christmas. She never received it, I have called and email","","","",""
"The Umstead Hotel and Spa","100 Woodland Pond Dr, Cary, NC 27513, USA","(866) 877-4141","http://www.theumstead.com/?utm_source=google-local&utm_medium=organic&utm_campaign=gmb","https://maps.google.com/?cid=6962213559273546905&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2034","5","5","1","2","Peter Russell","2","Wife and I only stayed one night. A lovely hotel that accepts dogs which was great for us with 2. However, we arrived la","","","",""
"Adara Spa","608 W Peace St, Raleigh, NC 27605, USA","(919) 834-9886","http://www.adaraspa.com/","https://maps.google.com/?cid=17623698269261808059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","412","5","5","1","2","Siobhan E","2","My experience getting a manicure at the spa was not great. As I sat down, the manicurist immediately began peppering me ","","","",""
"Life Energy Spa","4701 Atlantic Ave Suite 143, Raleigh, NC 27604, USA","(919) 910-8666","http://www.lifeenergyspanc.com/","https://maps.google.com/?cid=6187444168326266959&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","5","200","5","5","1","2","Sunshine Owens","2","The massage was great me and my friend got a massage for $178. I don’t like the fact that when we tipped them $10 dollar","","","",""
"Sunrise Bodycare Massage & Spa","8015 Creedmoor Rd # 105, Raleigh, NC 27613, USA","(919) 322-5035","https://sunrisebodycareraleigh.onbuildhealth.com/","https://maps.google.com/?cid=17999864284977316199&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","5","962","5","5","1","2","Lauren K.","2","The people here are kind, welcoming and hard working. The atmosphere is relaxing. While it's not resort-level design, th","","","",""
"Soak Haus Scalp Spa","950 Windy Rd Suite 109, Apex, NC 27502, USA","(919) 601-9979","http://www.soakhausnc.com/","https://maps.google.com/?cid=890200373091989613&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","50","5","5","1","3","Nathan Seals","3","The experience was relaxing enough and the results were clear based on the before and after microscope review but I just","","","",""
"Massage Envy","141 Park at N Hills St Ste 104, Raleigh, NC 27609, USA","(919) 398-6499","https://locations.massageenvy.com/north-carolina/raleigh/141-park-at-north-hills-st.html?utm_source=GMB&utm_medium=useractions&utm_campaign=website","https://maps.google.com/?cid=7075114919799180730&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","708","5","5","1","2","Angie Roebuck","2","My first experience there was okay the only thing I didn’t like was that they take ten minutes off of your massage time ","","","",""
"True REST Float Spa • Raleigh","9660 Falls of Neuse Rd #165, Raleigh, NC 27615, USA","(919) 890-5007","https://truerest.com/locations/raleigh/?utm_source=google&utm_medium=maps&utm_campaign=gmb&utm_content=raleigh-nc","https://maps.google.com/?cid=4845519946631485334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","80","5","5","1","3","Shakyra Edwards","3","The location is great, the suite is very quaint and nice. I think the entire process is great as well. However, my bigge","","","",""
"Skin Essence a Day Spa","8340 Bandford Way #107, Raleigh, NC 27615, USA","(919) 848-0199","http://www.skinessenceadayspa.com/","https://maps.google.com/?cid=10340318212130050494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","182","5","5","1","3","Shaniece","3","This was my 1st time here because I’m trying to find a spa that I really like so this one was on my list to checkout …… ","","","",""
"Relax Foot Spa","7851 Alexander Prom Pl #105, Raleigh, NC 27617, USA","(919) 596-4400","http://www.relaxfootspa.me/","https://maps.google.com/?cid=2055264000680977590&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","459","5","5","1","1","Jade S.K.","1","Never again. I decided to finally take some time for myself today after my family and I recently moved to the area. Afte","","","",""
"Woodhouse Spa - North Hills","4204 Six Forks Rd Suite 102, Raleigh, NC 27609, USA","(919) 755-8111","https://northhills.woodhousespas.com/?utm_source=google&utm_medium=yext","https://maps.google.com/?cid=154585990878887258&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","437","5","5","0","5","Latia Bedenbaugh","5","It was a really nice place. The staff was very accommodating and friendly. I took my daughter for her 18th birthday. We ","","","",""
"Lorena Luca MED + SPA - RALEIGH","412-201 Woodburn Rd, Raleigh, NC 27605, USA","(919) 977-0090","https://www.lorenaluca.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb","https://maps.google.com/?cid=12233518760577830666&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","672","5","5","0","4","Caroline Lassiter","4","My husband got me a Lorena Luca gift card for Christmas and I finally got to use it. Its not the fanciest spa and some o","","","",""
"Skin Sense A Day Spa","6801 Falls of Neuse Rd #130, Raleigh, NC 27615, USA","(919) 870-0700","https://www.skinsense.com/","https://maps.google.com/?cid=16072483322698661569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","995","5","5","0","5","Imani J.","5","Love it! Staff is friendly and welcoming! Very professional. The relaxation room is just that with cozy chairs, snacks a","","","",""
"Willow Head Spa","3225 Blue Ridge Rd Suite 109, Raleigh, NC 27612, USA","(919) 439-5589","https://www.willowheadspa.com/","https://maps.google.com/?cid=15351578129458177699&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","40","5","5","0","5","Megan Gillikin","5","Willow Head Spa is truly such a special experience! From the moment I walked in, I felt my wholllllle body relax. The am","","","",""
"Tao Day Spa","2012 Fairview Rd #B, Raleigh, NC 27608, USA","(919) 896-6515","https://www.taodayspanc.com/","https://maps.google.com/?cid=15768768577056494925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","171","5","5","0","4","El Cardenal","4","Overall, I can’t wait to go back. JUNE IS AMAZING. She’s so knowledgeable about skin; i felt like I got so much useful i","","","",""
"Spa Retreat Cary","200 Cornerstone Dr, Cary, NC 27519, USA","(919) 439-4777","http://www.sparetreatcary.com/","https://maps.google.com/?cid=1961734726804580979&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","281","5","5","0","5","Cindy Tyson","5","I loved the relaxing atmosphere, both rooms were super inviting, my favorite was the butter mints for my tea & my masseu","","","",""
"Blue Water Spa","10941 Raven Ridge Rd STE 103, Raleigh, NC 27614, USA","(919) 870-6066","https://www.bluewaterspa.com/","https://maps.google.com/?cid=7405057291092846843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","705","5","5","0","5","Jackie Pritchett","5","Five Stars Isn’t Enough for Bluewater Spa or Hannah Bates!  If you’re thinking about booking at Bluewater Spa — DO IT!!!","","","",""
"White Dahlia Massage and Wellness","8351 Standonshire Way #109, Raleigh, NC 27615, USA","(919) 845-5525","http://www.whitedahlia.com/","https://maps.google.com/?cid=11194631493229575934&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","720","5","5","0","5","Dawn Pappas","5","Marie did an amazing job with my massage tonight. She took time to talk to me before she started to learn what I liked a","","","",""
"Spavia Day Spa - MacGregor Village","107 Edinburgh S Dr Suite 155, Cary, NC 27511, USA","(919) 377-9599","https://carync.spaviadayspa.com/","https://maps.google.com/?cid=3680588667780816033&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","473","5","5","0","5","Megan Sorley","5","Such a relaxing environment and the therapists were amazing for our couples massage. I had Melanie and she had the perfe","","","",""
"MassageLuXe-Raleigh","7436 Creedmoor Rd, Raleigh, NC 27613, USA","(919) 249-5244","https://massageluxe.com/locations/raleigh-nc","https://maps.google.com/?cid=16045081790645675553&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","404","5","5","0","5","T W","5","Omg! This is our first experience at the Raleigh location and everything was just awesome 💯❤️From the two pleasant, kin","","","",""
