business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The Smith","1150 Broadway, New York, NY 10010, USA","(212) 685-4500","https://thesmithrestaurant.com/location/nomad/","https://maps.google.com/?cid=13158571210448955336&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","6268","5","5","1","3","Alex Domovich","3","I have mixed feelings about The Smith, but three stars feels fair — maybe even a touch generous. We booked a table for e","","","",""
"Eataly","101 Liberty St, New York, NY 10007, USA","(212) 897-2895","https://www.eataly.com/us_en/stores/nyc-downtown/restaurants","https://maps.google.com/?cid=1416786665941882505&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","6319","5","5","1","3","Piangporn Thongprong","3","I recently visited Eataly’s pasta restaurant and the food was absolutely amazing. The pasta was fresh, perfectly cooked,","","","",""
"ONE Dine at One World Observatory","117 West St, New York, NY 10007, USA","(212) 602-4070","https://www.oneworldobservatory.com/bar-restaurant/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=places","https://maps.google.com/?cid=12011241611381638257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2209","5","5","1","2","MISTER LJOHNSON","2","I made dinner reservations to celebrate my anniversary, and I wanted to dine with a magnificent view, so I paid the $400","","","",""
"La Grande Boucherie","145 W 53rd St, New York, NY 10019, USA","(212) 510-7714","https://www.boucherieus.com/","https://maps.google.com/?cid=3122996375818853997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","10095","5","5","0","5","S","5","We had dinner at La Grande Boucherie last night and had an amazing experience! Our appetizers and entree were cooked to ","","","",""
"The Dead Rabbit","30 Water St, New York, NY 10004, USA","(917) 540-5228","https://thedeadrabbit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile","https://maps.google.com/?cid=16891641895788260568&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","8330","5","5","0","4","nanci brillant","4","Definitely an iconic place and super busy no matter when you go. The food was good. Our party ordered multiple different","","","",""
"Harry's","1 Hanover Square, BOWLING GREEN, NY 10004, USA","(212) 785-9200","https://www.harrysbarrestaurant.com/harrys-new-york-city","https://maps.google.com/?cid=17235362062778667261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1791","5","5","0","5","Peyton Mcginnis","5","Im suggesting that you run here upon reading this review.  Im talking old school feels, premier VIP treatment and food t","","","",""
"Monkey Bar","60 E 54th St, New York, NY 10022, USA","(212) 404-0365","https://nycmonkeybar.com/","https://maps.google.com/?cid=6407762793487689952&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1779","5","5","0","4","Nate B","4","Beautiful atmosphere, great service. I was not sure what to expect from the food because of so many mixed reviews, here ","","","",""
"The Modern","9 W 53rd St, New York, NY 10019, USA","(212) 333-1220","https://www.themodernnyc.com/the-modern/?utm_source=google&utm_medium=gmb","https://maps.google.com/?cid=12751425680490052044&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2732","5","5","0","4","Tess W","4","I went to The Modern for lunch and did the tasting menu. The food itself was great, everything was thoughtfully done and","","","",""
"Time Out Market New York","55 Water St, Brooklyn, NY 11201, USA","(917) 810-4855","https://www.timeoutmarket.com/newyork/","https://maps.google.com/?cid=15282526839072256612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","7770","5","5","0","5","Wade Z","5","I haven’t been to this area in a while, and I was blown away by the renovation! It’s an amazing spot with a massive vari","","","",""
"Cipriani Downtown","376 W Broadway, New York, NY 10012, USA","(212) 343-0999","https://www.cipriani.com/cipriani-downtown?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-downtown-nyc","https://maps.google.com/?cid=7107003109804812639&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1462","5","5","0","4","Oliver Schultz C.","4","...ask the Waiter to order what he would take, that's the easy way and it resultados. I can give the Lamb chops a 10 of ","","","",""
"BLACKBARN","19 E 26th St, New York, NY 10010, USA","(212) 265-5959","https://www.blackbarnrestaurant.com/","https://maps.google.com/?cid=14292924245377741660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1378","5","5","0","4","Chase Fritchle","4","Nice ambiance, but felt more curated for larger groups. Maybe we were sat in the wrong area. Nice wine lists, gnocchi wa","","","",""
"Petite Boucherie","First Floor, 14 Christopher St, New York, NY 10014, USA","(646) 756-4145","https://www.boucherieus.com/","https://maps.google.com/?cid=12769026215543562150&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2059","5","5","0","4","Abraham Morales","4","Petite Boucherie has such a charming atmosphere, the kind of cozy, Parisian-inspired vibe that makes dining here feel sp","","","",""
"Manhatta","28 Liberty St 60th floor, New York, NY 10005, USA","(212) 230-5788","https://www.manhattarestaurant.com/restaurant-menu/","https://maps.google.com/?cid=6967162704871465124&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","3817","5","5","0","4","Rajeev Jha","4","Visiting Little Italy in New York City with my family was like stepping into a small slice of Europe right in the heart ","","","",""
"COTE Flatiron","16 W 22nd St, New York, NY 10010, USA","(212) 401-7886","https://www.cotekoreansteakhouse.com/","https://maps.google.com/?cid=5391895665971351104&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","4019","5","5","0","4","Ada Kiugo","4","An exceptional dining experience from start to finish. The quality of the meat is outstanding—beautifully marbled, exper","","","",""
"The Malt House","9 Maiden Ln, New York, NY 10038, USA","(646) 682-7577","http://www.themalthousefidi.com/","https://maps.google.com/?cid=12513227316902543654&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2284","5","5","0","4","David Warfle","4","We really enjoyed our meal at The Malt House. From the moment we walked in, we were greeted by a manager, possibly the o","","","",""
"Le Bernardin","155 W 51st St, New York, NY 10019, USA","(212) 554-1515","https://www.le-bernardin.com/home","https://maps.google.com/?cid=7298340055988969067&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","4554","5","5","0","4","John Galang","4","Le bernadin has been on my bucket list restaurants ever since I could afford to go out to fine dining restaurants.  Just","","","",""
"abc kitchen","35 E 18th St, New York, NY 10003, USA","(212) 475-5829","https://www.abckitchen.nyc/","https://maps.google.com/?cid=9199015129918937122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3045","5","5","0","4","Sakura","4","We came here for Restaurant Week dinner. Overall, the food was good, but the salmon and burger entrées were both a bit t","","","",""
"Chambers","94 Chambers St #1, New York, NY 10007, USA","(212) 580-3572","http://chambers.nyc/","https://maps.google.com/?cid=17539100859862234710&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","360","5","5","0","5","Sachi Tejani","5","Chef’s counter here is a must. I had been seeing a lot of hype about this place on social media and randomly snagged a r","","","",""
"1803 NYC","82 Reade St, New York, NY 10007, USA","(212) 267-3000","https://1803nyc.com/","https://maps.google.com/?cid=1614607817747620329&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2065","5","5","0","4","Jaida Foreman","4","What up, y’all! I’m back again with another date night review ✨this time for 1803 NYC; a Cajun restaurant located in Tri","","","",""
"Crown Shy","70 Pine St Ground Floor, New York, NY 10005, USA","(212) 517-1932","https://www.crownshy.nyc/","https://maps.google.com/?cid=15549094825839982866&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1828","5","5","0","4","FlechaKid","4","Our experience at Crown Shy was generally very good. Below are the key highlights and lowlights of our visit. Highlights","","","",""
