business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Y’s Choice","1825 San Pablo Ave, Oakland, CA 94612, USA","(510) 366-3806","https://www.yschoice.space/","https://maps.google.com/?cid=14591375431516680376&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","344","5","5","3","2","Mona","2","Owners daughter made our first time visit better after I requested a different table. The gentleman at the door, greeted","user@domain.com","","",""
"District Oakland","827 Washington St, Oakland, CA 94607, USA","(510) 272-9110","https://districtoak.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing","https://maps.google.com/?cid=15357268726924521737&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1114","5","5","2","3","Greg S","3","Nice vibe in the downtown Oakland area. We came in for dinner on a Saturday evening. The space is dark with high open ce","info@districtoak.com","","",""
"The Lake Chalet Seafood Bar & Grill","1520 Lakeside Dr, Oakland, CA 94612, USA","(510) 208-5253","http://www.thelakechalet.com/","https://maps.google.com/?cid=9483467647723991424&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","3009","5","5","2","2","Ryan Keys","2","We came on a Saturday morning and immediately knew something was off. The host stand was unattended. A man waiting there","marketing@chaletrestaurants.com","","",""
"Limón","2450 Valdez St, Oakland, CA 94612, USA","(510) 808-7324","http://www.limonrestaurants.com/?y_source=1_MjYzODQ1MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=14115616209203403266&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","434","5","5","2","1","Navie Giordano","1","Only thing I can’t complain about was the service.  Several tables are wobbly so even after moving it was still a proble","info@limonrestaurants.com","","",""
"Oeste - Bar","722 Clay St, Oakland, CA 94607, USA","(510) 817-4157","http://www.oesteoakland.com/","https://maps.google.com/?cid=9119099473634979783&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","753","5","5","2","3","Andrew Schneider","3","The food was incredibly hit or miss for me. Loved the street tacos, but the burger was a little tough and the fries very","info@oesteoakland.com","","",""
"Hopscotch Catering & Takeout • Oakland","1736 Telegraph Ave, Oakland, CA 94612, USA","(510) 788-6217","http://hopscotchoakland.com/","https://maps.google.com/?cid=8634325883292002275&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","963","5","5","2","2","michael williams","2","paid a lot of money for a whole fried chicken and sides. and was sent a bunch of scrappy unidentifiable pieces of chicke","user@domain.com","","",""
"Bardo Lounge & Supper Club","3343 Lakeshore Ave, Oakland, CA 94610, USA","(510) 836-8737","http://www.bardooakland.com/","https://maps.google.com/?cid=13053781874384421870&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","347","5","5","2","3","brother kevin","3","very cool vibes, has the look and feel of a swanky 1950s supperclub and bar.  service was attentive with a focus on gett","user@domain.com","","",""
"Odin","444 Oak St, Oakland, CA 94607, USA","(510) 444-6436","http://www.odinoakland.com/","https://maps.google.com/?cid=12878835745620988481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","153","5","5","2","2","btscott1","2","We visited Odin tonight. Two vegetarians. Not a lot of options, but food was delicious. Drinks were great. Service was d","info@odinoakland.com","","",""
"Molcajete Cocina Mexicana","1734 Webster St, Oakland, CA 94612, USA","(510) 466-6652","https://molcajetecocinamexicanaca.com/","https://maps.google.com/?cid=5325410602883055650&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","825","5","5","2","3","Mondo Gomez","3","Food here was a 6.5 not great but decent enough to comeback and try something different. Portion were ok except for the","info@molcajetecocinamexicanaca.com","","",""
"Buttercup","229 Broadway, Oakland, CA 94607, USA","(510) 444-2976","http://buttercupdiner.com/","https://maps.google.com/?cid=5449016157147261984&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2956","5","5","2","2","Ron K","2","​'Pleasant Service, Disappointing Flavor' ​The service here was genuinely cordial and attentive, which was the highlight","contact@buttercupdiner.com","","",""
