business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Rouge","205 S 18th St, Philadelphia, PA 19103, USA","(215) 732-6622","http://www.rouge98.com/","https://maps.google.com/?cid=18315660904743286510&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","816","5","5","2","1","Nuria El","1","I’m sorry, but the food was really disappointing this time. We ordered the roasted chicken, and it was completely underc","","","",""
"Bonchon Philadelphia","1020 Cherry St, Philadelphia, PA 19107, USA","(267) 639-6686","https://restaurants.bonchon.com/locations/pa/philadelphia/1020-cherry-st","https://maps.google.com/?cid=10479699513706488750&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1848","5","5","2","1","Rye Hall","1","I rarely leave reviews, but my experience at Bonchon in Chinatown was so disappointing that I feel compelled to warn oth","","","",""
"The Dandelion","124 S 18th St, Philadelphia, PA 19103, USA","(215) 558-2500","https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://maps.google.com/?cid=3628859633631552925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","5404","5","5","1","3","hungry angela","3","Basically a harry potter set! Such a cute place.  I have been on several occasions for dinner, afternoon tea and even ju","","","",""
"Harper's Garden","31 S 18th St, Philadelphia, PA 19103, USA","(267) 886-8552","http://harpersgardenphilly.com/","https://maps.google.com/?cid=5112434731021252714&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1301","5","5","1","3","Khabirah Acosta","3","If you’re looking for a cute restaurant to just grab drinks and not really eat, this is perfect for that! Our server Liz","","","",""
"Harp & Crown","1525 Sansom St, Philadelphia, PA 19102, USA","(215) 330-2800","https://harpcrown.com/","https://maps.google.com/?cid=16164783213441600536&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2398","5","5","1","3","Ariana Lucidonio","3","Harp & Crown has a brunch buffet on the weekends at $38 per person. It was unfortunately a miss for our group. I do want","","","",""
"Jean-Georges Philadelphia","One N 19th St, Philadelphia, PA 19103, USA","(215) 419-5057","https://www.jean-georgesphiladelphia.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-fab-mid-seo-na&utm_content=na-na&utm_term=na","https://maps.google.com/?cid=9925574267792618118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","801","5","5","1","3","Miguel Ballesteros","3","The service was fantastic, our server Yusuf was very professional and attentive. Started off with drinks, pretty good, a","","","",""
"Skyhigh","One N 19th St, Philadelphia, PA 19103, USA","(215) 419-5059","https://www.skyhighphiladelphia.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-fab-mid-seo-na&utm_content=na-na&utm_term=na","https://maps.google.com/?cid=4897540185506444026&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","582","5","5","1","2","jack wang","2","The only reason this place has 2 star is because of the desert. The chocolate cake was so good I was licking at the plat","","","",""
"Bud & Marilyn's","1234 Locust St, Philadelphia, PA 19107, USA","(215) 546-2220","http://budandmarilyns.com/","https://maps.google.com/?cid=6256924426230298740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2425","5","5","1","3","Samantha","3","We went to Bud & Marilyn’s for brunch after seeing all the great reviews. We were seated quickly and arrived just a minu","","","",""
"The Capital Grille","1338-46 Chestnut St, Philadelphia, PA 19107, USA","(215) 545-9588","https://www.thecapitalgrille.com/locations/pa/philadelphia/philadelphia/8013?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:philadelphia-pa-8013_pl:locurl_rd:1010","https://maps.google.com/?cid=11626946142647012124&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2288","5","5","1","3","Maya","3","We’ve been here several times before. I’m glad we were able to get reservations the day before Valentine’s Day because t","","","",""
"Barbuzzo","110 S 13th St, Philadelphia, PA 19107, USA","(215) 546-9300","http://barbuzzo.com/","https://maps.google.com/?cid=16591130364369490179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2267","5","5","1","3","DelAware","3","Enjoyed my zero fizz passion fruit mocktail in a dimly lit cozy bar atmosphere!  No bar stool back support so won't reco","","","",""
"High Street Philadelphia","101 S 9th St Suite 106, Philadelphia, PA 19107, USA","(215) 625-0988","http://www.highstreetphilly.com/","https://maps.google.com/?cid=17196661176786097642&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1163","5","5","1","3","Danakha","3","Fun fact, this place was a bakery, and they had amazing pizza crust. Overall the food was good, the staff friendly. Not ","","","",""
"Her Place Supper Club","1740 Sansom St, Philadelphia, PA 19103, USA","","http://www.herplacephilly.com/","https://maps.google.com/?cid=3557427363717305539&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","233","5","5","1","3","N J","3","Nothing is too bad here, but nothing is impressive either.  I liked the quail, which was nicely cooked. I liked the savo","","","",""
"Marathon Grill","121 S 16th St, Philadelphia, PA 19102, USA","(215) 569-3278","http://eatmarathon.com/16th-and-sansom/","https://maps.google.com/?cid=17298719839344608988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1716","5","5","1","3","Tinotenda Muvuti","3","The food was good—I had the chicken Marsala, and it was delicious. We arrived during a busy period and quickly realized ","","","",""
"Maggiano's Little Italy","1201 Filbert St, Philadelphia, PA 19107, USA","(215) 567-2020","https://www.maggianos.com/locations/pennsylvania/philadelphia/1201-filbert-st.?utm_source=google&utm_medium=organic&utm_campaign=Maggianos","https://maps.google.com/?cid=11334632727239253482&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","4996","5","5","1","1","Reviewed by T","1","Really really really disappointed with our meal here. We were visiting Philadelphia and wanted to get some food and stop","","","",""
"Alpen Rose","116 S 13th St, Philadelphia, PA 19107, USA","(215) 600-0709","https://www.alpenrosephl.com/","https://maps.google.com/?cid=1868191540923504374&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","816","5","5","1","3","Robert Dukat","3","Appetizers: I highly recommend the bone marrow and oysters. Bone marrow is a personal favorite anywhere I go, but the oy","","","",""
"Aqimero by Chef Richard Sandoval","10 Ave Of The Arts, Philadelphia, PA 19102, USA","(215) 523-8200","http://www.aqimero.com/","https://maps.google.com/?cid=4205418944912875779&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","921","5","5","1","1","Ian Avila","1","Took my girlfriend here around 3-5pm on Valentine’s Day to make her feel special. Food was actually great—hot, tasty, no","","","",""
"Wilder","2009 Sansom St, Philadelphia, PA 19103, USA","(215) 309-2149","https://wilderphilly.com/","https://maps.google.com/?cid=11062795878844089290&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","975","5","5","0","5","Eva Mae","5","Ben was our server tonight and his attention to detail and creating an individualized experience for us really made this","","","",""
"The Love.","130 S 18th St, Philadelphia, PA 19103, USA","(215) 433-1555","https://theloverestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://maps.google.com/?cid=2231648943229760031&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1879","5","5","0","5","Bohemian Waxwing","5","Have been here for fabulous dinners before and tried them for brunch for my daughter’s birthday— did not disappoint! App","","","",""
"Talula's Garden","210 W Washington Square, Philadelphia, PA 19106, USA","(215) 592-7787","http://www.talulasgarden.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button","https://maps.google.com/?cid=15260183439466010518&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2937","5","5","0","4","Z z","4","This restaurant is highly recommended by many foodies in Philadelphia, and even Taylor Swift has stopped by 📸✨. The ove","","","",""
"Butcher and Singer","1500 Walnut St, Philadelphia, PA 19102, USA","(215) 732-4444","https://butcherandsinger.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://maps.google.com/?cid=12899843527446676481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","2379","5","5","0","4","Zee P","4","Loved everything about this restaurant, even the valet parking right in front of the entrance as it was freezing outside","","","",""
"Grandma's Philly","1304 Walnut St, Philadelphia, PA 19107, USA","(215) 315-9050","http://www.grandmasphilly.com/","https://maps.google.com/?cid=782358796598820820&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","3197","5","5","0","4","Mario Christianto","4","It's a modern take of Thai cuisine. If you're looking for old school authentic Thai cuisine, this isn't for you. This is","","","",""
"Parc","227 S 18th St, Philadelphia, PA 19103, USA","(215) 545-2262","https://parc-restaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://maps.google.com/?cid=1964063945267213101&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","6341","5","5","0","4","Ed batis","4","My wife and I visited Parc on Thanksgiving, the atmosphere was great and restaurant was beautifully decorated. The servi","","","",""
