business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The Henry","2 E Camelback Rd, Phoenix, AZ 85012, USA","(480) 393-4878","https://www.thehenryrestaurant.com/locations/phoenix-uptown/","https://maps.google.com/?cid=5526200212999556655&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","338","5","5","3","2","Mert Yaman","2","We ordered two salads, each with a steak add-on listed as 4 oz per portion. I also requested an additional steak portion","","","",""
"The Compass","122 N 2nd St, Phoenix, AZ 85004, USA","(602) 440-3166","https://www.thecompassarizona.com/","https://maps.google.com/?cid=426672728776827737&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1523","5","5","2","1","Masha Krauchanka","1","My husband took me here for a celebratory night. I really hate to do this but unfortunately the food was so bad I have t","","","",""
"LATHA","628 E Adams St, Phoenix, AZ 85004, USA","(480) 640-6183","https://www.lathaphx.com/","https://maps.google.com/?cid=5545586078511730869&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","583","5","5","2","2","G M","2","We went for dinner here for my birthday and I’m sorry we did. We didn’t make reservations, but went in as soon as it ope","","","",""
"Sottise","1025 N 2nd St, Phoenix, AZ 85004, USA","(602) 254-6378","http://www.sottisephx.com/","https://maps.google.com/?cid=14431298928093849032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","340","5","5","2","1","Caitlin Hernandez","1","It was my first time here this evening and I honestly hadn’t heard of it before visiting. It’s a beautiful historical ho","","","",""
"Chilte","765 Grand Ave, Phoenix, AZ 85007, USA","(602) 807-5226","https://www.chiltephx.com/","https://maps.google.com/?cid=8168188598506199587&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","447","5","5","2","1","R L","1","We went to Chilte for their Valentine’s Day prix fixe dinner and left extremely disappointed. For a restaurant described","","","",""
"First & Last","1001 N 3rd Ave #1, Phoenix, AZ 85003, USA","(602) 975-8297","http://www.firstandlastphx.com/","https://maps.google.com/?cid=3886683190046234151&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","670","5","5","1","2","Hope O'Grady","2","Honestly a really cool spot! I got the veggie sandwich and it was great. My boyfriend ordered the chicken vodka sandwich","","","",""
"Blanco Cocina + Cantina","123 E Washington St, Phoenix, AZ 85004, USA","(602) 899-8102","https://www.blancotacostequila.com/locations/phoenix-az-block-23/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps","https://maps.google.com/?cid=1884882724359344061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1781","5","5","1","2","Jimmy Allen","2","I had high expectations for this restaurant, but soon I came back to reality. There were a number of issues with this vi","","","",""
"Chico Malo","50 W Jefferson St, Phoenix, AZ 85003, USA","(602) 603-9363","http://chicomalo.com/","https://maps.google.com/?cid=15548050476154818186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2827","5","5","1","3","Lorenzo Warfel","3","TASTY ENCHILADAS, yet small portions. Typically a enchilada dish comes with rice & beans or some sort of side. Unfortuna","","","",""
"Blue Hound Kitchen & Cocktails","2 E Jefferson St, Phoenix, AZ 85004, USA","(602) 258-0231","https://bluehoundkitchen.com/","https://maps.google.com/?cid=6442625755323530882&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1135","5","5","1","3","Timmy Doesn’t Share Food","3","The bar team deserves a medal for surviving the chaos—drinks were on point, service was sharp, and my bartender was basi","","","",""
"ROSSO ITALIAN","2 E Jefferson St #113, Phoenix, AZ 85004, USA","(602) 218-6001","http://www.rossoitalian.com/","https://maps.google.com/?cid=17303352176380822925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2113","5","5","1","3","Jenn Kate","3","Decided to go here to eat before a show. We had rsvp at 415pm, arrived at 430pm. Place was dead, a group of 6, 2 tables ","","","",""
