business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Jake's Grill","611 SW 10th Ave, Portland, OR 97205, USA","(503) 220-1850","https://www.jakesgrill.com/","https://maps.google.com/?cid=9811357380167044301&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2255","5","5","2","1","Sunny Lan (HYL)","1","Terrible service and overcooked steak. Asked the server if she has any recommendations for wine, she answered no, there ","","","",""
"Departure Restaurant + Lounge","525 SW Morrison St 15th Floor 15th Floor, Portland, OR 97204, USA","(503) 802-5370","https://www.departureportland.com/","https://maps.google.com/?cid=1532891992231636005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2563","5","5","2","2","Josie C","2","We enjoyed our duck experience on Dec 30th  with our out of town hotel guests. Everything was superb, as usual, except t","","","",""
"Luc Lac Vietnamese Kitchen","835 SW 2nd Ave, Portland, OR 97204, USA","(503) 222-0047","http://www.luclackitchen.com/","https://maps.google.com/?cid=11849354532108914595&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","6705","5","5","1","2","Jon Mendoza","2","Sadly this place is now a shadow of its former self. This used to be one of our favorite spots in Portland but while som","","","",""
"Street & Co","33 Wharf St, Portland, ME 04101, USA","(207) 775-0887","http://www.streetandcompany.net/","https://maps.google.com/?cid=15560941795191556100&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1622","5","5","1","2","Natthanunkorn Yindeeshup","2","This is my 5th time at this Restaurant and we decided to have dinner here for our anniversary… i know the place and food","","","",""
"Grassa","1205 SW Washington St, Portland, OR 97205, USA","(503) 241-1133","https://www.grassapdx.com/","https://maps.google.com/?cid=1776315565982441391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2559","5","5","1","2","Grant G","2","I’ve eaten a lot of pasta. Like numerous months in Italy getting fat. Now I don’t expect Italy quality or even flavor bu","","","",""
"Jake's Famous Crawfish","401 SW 12th Ave, Portland, OR 97205, USA","(503) 226-1419","https://www.jakesfamous.com/","https://maps.google.com/?cid=6965611784503511941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","4319","5","5","1","3","ChooMama","3","We had 6pm reservations for Thanksgiving dinner here. We did not get seated until closer to 6:30. We were not informed o","","","",""
"Arden Restaurant Portland","417 NW 10th Ave, Portland, OR 97209, USA","(503) 206-6097","https://www.ardenpdx.com/","https://maps.google.com/?cid=421449594404653546&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","467","5","5","1","2","Connie C","2","All the dishes we had were either not cooked well, not seasoned well, not paired well, or literally burned. I can see th","","","",""
"Huber's Cafe","411 SW 3rd Ave, Portland, OR 97204, USA","(503) 228-5686","https://hubers.com/","https://maps.google.com/?cid=11631312517836713024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3301","5","5","1","3","Vic A","3","Had a pretty uncomfortable time at Huber’s Cafe this past Saturday. I made a reservation a few weeks in advance, and was","","","",""
"El Gaucho Portland","319 SW Broadway, Portland, OR 97205, USA","(503) 227-8794","https://elgaucho.com/portland/","https://maps.google.com/?cid=6107012472614185687&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1665","5","5","1","2","katrina nails","2","My husband and I tried this place for the first time and overall it was a good experience. It was a special date night f","","","",""
"Cheryl's on 12th","1135 SW Washington St, Portland, OR 97205, USA","(503) 595-2252","http://cherylson12th.com/","https://maps.google.com/?cid=17322022484779492288&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3541","5","5","1","3","She Ash","3","This is a popular breakfast spot just off of the Pearl district.  The decor wimsy Country kitch.  The restaurant is a bi","","","",""
