business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Süp","669 S Virginia St, Reno, NV 89501, USA","(775) 324-4787","https://www.sup.restaurant/","https://maps.google.com/?cid=2759900173794126343&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1180","5","5","3","3","Zack Shapiro","3","Soup was good but nothing that tasted extra ordinary . The bread bowl was delicious though!  Service was good. Staff was","info@sup.restaurant","","",""
"BJ's Restaurant & Brewhouse","13999 S Virginia St, Reno, NV 89511, USA","(775) 853-7575","https://www.bjsrestaurants.com/locations/nv/reno?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","https://maps.google.com/?cid=16434496740021997523&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1568","5","5","2","1","Jeff Lobman","1","I will tell you why i gave one star. I usually enjoy coming to this place but tonight I brought my three year-old at 5:4","info@bjsrestaurants.com","","",""
"Oceano","2707 S Virginia St, Reno, NV 89502, USA","(775) 826-2121","http://www.peppermillreno.com/dining/casual-dining/oceano/","https://maps.google.com/?cid=7306220040737767318&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1689","5","5","2","1","Cynthia Chiu","1","I am beyond disappointed. This restaurant has gone from great to garbage. • The Service: They are dishonest. The waitres","info@peppermillreno.com","","",""
"The Grill At Quail Corners","6520 S McCarran Blvd, Reno, NV 89509, USA","(775) 827-6262","http://grillatquailcorners.com/","https://maps.google.com/?cid=7661007133240255843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","746","5","5","2","1","Jason Dunphy","1","The server was nice but her courtesy went down hill after sending our food back.  The ambiance at the grill is ok. The t","info@grillatquailcorners.com","","",""
"Wild River Grille","17 S Virginia St, Reno, NV 89501, USA","(775) 284-7455","https://www.wildrivergrille.com/","https://maps.google.com/?cid=6592395650680941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2681","5","5","1","3","Paul Younis","3","They food here is okay. I would expect a little better for the price you pay, but it's totally fine. I had lamb which wa","info@wildrivergrille.com","","",""
"The Twisted Fork","1191 Steamboat Pkwy, Reno, NV 89521, USA","(775) 853-6033","https://www.twistedforkreno.com/","https://maps.google.com/?cid=4617171671178852198&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1732","5","5","1","2","Valene Gilford","2","I ordered the 'special' corn beef and hash. Potatoes were good as well as my eggs. However, $25 for canned hash was dist","twistedforkevents@gmail.com","","",""
"Ramsay's Kitchen at The Silver Legacy","407 N Virginia St, Reno, NV 89501, USA","(775) 325-7489","https://www.caesars.com/silver-legacy-reno/restaurants/ramsays-kitchen-by-gordon-ramsay?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=SIL35&utm_content=restaurant&y_source=1_MTA2Mzk3Nzg0MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=6699857269809124722&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1007","5","5","1","3","Bilal Abboushi","3","I went with the three-course meal and added two sides, which I regretted. I was told the potato purée on the plate would","info@caesars.com","","",""
"Land Ocean Restaurant Sparks","137 Los Altos Pkwy, Sparks, NV 89436, USA","(775) 376-5900","http://landoceanrestaurants.com/sparks/","https://maps.google.com/?cid=2977732072011388436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","48","5","5","1","3","Nghia Gip","3","Thursday night and this place was packed, which already says a lot about the vibe. The atmosphere is polished and upscal","sparks.info@lorestaurants.com","","",""
"The Shore","1 S Lake St, Reno, NV 89501, USA","(775) 321-5831","http://shoreroom.com/","https://maps.google.com/?cid=192884437087310321&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","940","5","5","1","3","Cori Harper","3","Great view of the river.   Several areas to sit at.   The food was plain and expensive.   The lettuce on the salad was n","sales@renaissancereno.com","","",""
"Twin Peaks","4905 S Virginia St, Reno, NV 89502, USA","(775) 524-4111","https://twinpeaksrestaurant.com/locations/reno","https://maps.google.com/?cid=5155747230110813184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1851","5","5","1","1","Jesus Ledezma","1","This is solely  based on management I’ve been to many of these chains and the girls are amazing I choose to only go to t","info@twinpeaksrestaurant.com","","",""
"The Brew Brothers","345 N Virginia St, Reno, NV 89501, USA","(775) 785-9047","https://www.caesars.com/eldorado-reno/restaurants/the-brew-brothers?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=ELR1&utm_content=restaurant&y_source=1_MTk1MTkyNzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=13201431348473899855&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1424","5","5","1","1","Pg Gilovich","1","Appetizers was pretty good, and the atmosphere was really cool. The only problem that I had was the parmesan shaker, the","info@caesars.com","","",""
"Ruby River","2750 S Virginia St, Reno, NV 89502, USA","(775) 827-4007","http://www.rubyriver.com/?utm_source=goo&utm_medium=organic&utm_content=407&utm_campaign=localmaps","https://maps.google.com/?cid=11453447813986731235&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2145","5","5","1","3","Cora W","3","Friendly service. I ordered the smoothered chicken with grilled asparagus. It was very good. The place has a lot of cowb","info@rubyriver.com","","",""
"Bimini Steakhouse","2707 S Virginia St, Reno, NV 89502, USA","(775) 689-7111","http://www.peppermillreno.com/dining/fine-dining/bimini-steakhouse/","https://maps.google.com/?cid=13906084384555604750&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","880","5","5","1","2","Brian Tai","2","I had high hopes for Bimini. At our table we ordered two filets and one of the 26 oz tomahawk ribeyes. All were pretty d","info@peppermillreno.com","","",""
"Biggest Little Steakhouse","1401 S Virginia St Ste 175, Reno, NV 89502, USA","(775) 622-3488","https://biggestlittlesteakhouse.com/biggestlittlesteakhouse?utm_source=google","https://maps.google.com/?cid=670976816123655731&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","503","5","5","1","3","Alex L","3","I ordered the New York steak medium, coconut shrimp, and Brussels sprouts.  The coconut shrimps were fine, but not enoug","info@biggestlittlesteakhouse.com","","",""
"Hanna's Table","345 N Arlington Ave, Reno, NV 89501, USA","(775) 348-2219","https://www.jresortreno.com/restaurants/hannas-table/","https://maps.google.com/?cid=14977056037523508273&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","121","5","5","1","1","Lorin Hendricks","1","Beware of the prime rib/picher special! Came here, stayed here at the J. LOVE the hotel and casino! Shout out to Jo, the","info@jresortreno.com","","",""
"Washoe Public House","275 Hill St Suite 100, Reno, NV 89501, USA","(775) 322-2710","http://washoepublichouse.com/","https://maps.google.com/?cid=15927357518495501729&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1022","5","5","1","3","Angela Ackerman","3","We met family here for a casual lunch after Christmas.  We had a party of 5. I reserved a table online which was nice to","management@washoepublichouse.com","","",""
"Red Bloom","3800 S Virginia St, Reno, NV 89502, USA","(775) 824-4431","https://atlantiscasino.com/dining/casual-dining/red-bloom","https://maps.google.com/?cid=8314269477221703130&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","201","5","5","1","1","Robert Paul","1","This was the worst pineapple fried rice I ever had anywhere. I've had better in Mexico. It was literally a box of overly","info@atlantiscasino.com","","",""
