business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Prelude Kitchen & Bar","1117 11th St, Sacramento, CA 95814, USA","(916) 898-1071","https://preluderestaurant.com/","https://maps.google.com/?cid=6383136250853464384&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","551","5","5","3","2","C H","2","We dined at Prelude tonight before heading to the ballet and let our server know immediately that we were on a firm time","manager@preluderestaurant.com","","",""
"Ella Dining Room & Bar","1131 K St, Sacramento, CA 95814, USA","(916) 443-3772","http://www.elladiningroomandbar.com/","https://maps.google.com/?cid=17300120321353988894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1404","5","5","3","3","Emily","3","Truffle spaghetti was so good. Caviar is pretty basic, not creative and not worth $135. Lobster roll has big chunks of l","info@elladiningroomandbar.com","","",""
"Frank Fat's","806 L St, Sacramento, CA 95814, USA","(916) 442-7092","https://frankfats.com/","https://maps.google.com/?cid=8222084348643122330&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1333","5","5","3","3","Charlene Zarate - Andrade","3","I wanted dishes with vegetables with mung beans in it. But , instead they only had noodles. I said I had celiac Disease","info@frankfats.com","","",""
"Hawks Public House","1525 Alhambra Blvd, Sacramento, CA 95816, USA","(916) 588-4440","http://hawkspublichouse.com/","https://maps.google.com/?cid=3320608940817312877&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","609","5","5","2","2","Kat Girl","2","Had quite the experience at Hawks which leaves me with mixed feelings.  My drink was fabulous. The general manager, Cody","eat@hawkspublichouse.com","","",""
"Capitol Garage","1500 K St, Sacramento, CA 95814, USA","(916) 444-3633","https://www.capitolgarage.com/","https://maps.google.com/?cid=10681481057644733145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1355","5","5","2","3","Kevin S","3","Bad first impression. A lukewarm greeting by the host/bartender, oddly aggressive when we asked not to be seated in a da","capg1500@gmail.com","","",""
"Willow","1006 4th St, Sacramento, CA 95814, USA","(916) 983-8001","http://www.willowsacramento.com/","https://maps.google.com/?cid=16136526803881549019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","141","5","5","2","1","Robert","1","I assume most people probably wouldn't eat here at 'Willow' if they knew just how dirty and unsanitary their kitchen rea","frontdesk@theexchangesacramento.com","","",""
"The Golden Bear","2326 K St, Sacramento, CA 95816, USA","(916) 441-2242","http://www.goldenbear916.com/","https://maps.google.com/?cid=15582793365933583988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","777","5","5","2","1","Me sa","1","I had a very uncomfortable experience due to the behavior of one of the doormen. He was a larger Black male wearing army","info@goldenbear916.com","","",""
"Tapa the World","2115 J St, Sacramento, CA 95816, USA","(916) 442-4353","https://www.tapatheworld.com/","https://maps.google.com/?cid=14847072850695360032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1089","5","5","2","3","Afshin Afshar-Ghasemlou","3","Tapa the World has been a Sacramento staple on J Street since 1994. Now owned and operated by Executive Chef Marcos Muri","tapatheworld916@gmail.com","","",""
"Camden Spit & Larder","555 Capitol Mall #100, Sacramento, CA 95814, USA","(916) 619-8897","https://www.camdenspitandlarder.com/","https://maps.google.com/?cid=5356081717549671771&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","377","5","5","2","3","Ursula S.","3","Here is why we were underwhelmed by a restaurant that had once earned a Michelin star. Ambiance -> comfortable & invitin","user@domain.com","","",""
"Bear & Crown","1022 2nd St, Sacramento, CA 95814, USA","(916) 497-9115","http://bearandcrown.com/","https://maps.google.com/?cid=17829418293178391731&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","352","5","5","2","2","Mie-t","2","Dishes and drink are slightly small in portion. appetizers Egg and steak are good, pasta. Pie and sausages w/ mash potat","info@bearandcrown.com","","",""
"Tom's Watch Bar - Sacramento","414 K St Suite 180, Sacramento, CA 95814, USA","(279) 202-6010","https://tomswatchbar.com/sacramento/","https://maps.google.com/?cid=15816620099545814818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2930","5","5","2","2","Cierra White","2","I came here as another alternative to Twin Peaks to watch the Super Bowl.  Despite getting there an hour and a half befo","info@tomswatchbar.com","","",""
"Empress Tavern","1013 K St, Sacramento, CA 95814, USA","(916) 476-3356","https://www.empresstavern.com/","https://maps.google.com/?cid=8676758340953247458&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","558","5","5","2","3","Jason Shultz","3","It’s not the same since the covid and they sold the name to the theater upstairs. The menu is really limited and the coc","shannin@alchemistcdc.org","","",""
"ReUnion Underground","926 2nd St, Sacramento, CA 95814, USA","(916) 840-5528","https://www.instagram.com/reunionunderground/","https://maps.google.com/?cid=8643210161174338080&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","38","5","5","2","1","sherry Collier","1","There's a restaurant inside the union called peach oliver's. The food I got was the ribs no seasoning, and it was cooked","info@instagram.com","","",""
"Echo & Rig","500 NW J St Suite 150, Sacramento, CA 95814, USA","(916) 619-8939","http://www.echoandrig.com/","https://maps.google.com/?cid=16269896010522073733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","601","5","5","2","1","Lynnann - Sid’s Mum","1","Stayed at Kimpton and ate breakfast here for convenience.  Regret my decision. The food was bad.  I was one of four cust","user@domain.com","","",""
"Urban Plates","2080 Fair Oaks Blvd, Sacramento, CA 95825, USA","(916) 963-8221","https://urbanplates.com/","https://maps.google.com/?cid=877854296147407351&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","3436","5","5","1","3","Mikal Lee Tuyen","3","Fist time eating in this newly establishment. Loved the location and atmosphere. It’s opened and spacious and majority o","info@urbanplates.com","","",""
"The Porch Restaurant & Bar","1815 K St, Sacramento, CA 95811, USA","(916) 444-2423","http://www.theporchrestaurantandbar.com/","https://maps.google.com/?cid=11112432521410577067&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1830","5","5","1","1","Gina A.","1","Food came cold and lacking flavor. Eggs cold. Needed salt, pepper and hot sauce. Potatoes rock hard, could not eat. Also","theporchsacramento@sbcglobal.net","","",""
"Iron Horse Tavern - R St. Sacramento","1800 15th St, Sacramento, CA 95811, USA","(916) 448-4488","http://www.ironhorsetavern.net/","https://maps.google.com/?cid=8268656273988749765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3151","5","5","1","3","Alison M C","3","Great brunch. Good fried chicken and waffle. Nice eggs benny. I wished for different garnishes (regular syrup vs. jalape","info@ironhorsetavern.net","","",""
"The Firehouse Restaurant","1112 2nd St, Sacramento, CA 95814, USA","(916) 442-4772","http://www.firehouseoldsac.com/","https://maps.google.com/?cid=4308825681509741004&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1658","5","5","1","1","L","1","Unfortunately, The Firehouse was a real disappointment—especially after reading so many great reviews and hearing it des","info@firehouseoldsac.com","","",""
"Yard House","405 K St #100, Sacramento, CA 95814, USA","(916) 441-5001","https://www.yardhouse.com/locations/ca/sacramento/sacramento-downtown-commons/8379?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:sacramento-ca-8379_pl:locurl_rd:1074","https://maps.google.com/?cid=14431117071696330214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3165","5","5","1","3","Brian Chan","3","Food seems to be declining since the last time I was there, at least from what I remember. Portions are smaller. Jambala","info@yardhouse.com","","",""
"Hook and Ladder Manufacturing Company","1630 S St, Sacramento, CA 95811, USA","(916) 442-4885","http://hookandladder916.com/","https://maps.google.com/?cid=7999967063206118367&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1291","5","5","1","3","Dawana Morton","3","The fam and I went to this spot right after church. We usually like a good church service the an amazing meal. So we cho","info@hookandladder916.com","","",""
"Tower Cafe","1518 Broadway, Sacramento, CA 95818, USA","(916) 441-0222","https://www.towercafe.com/","https://maps.google.com/?cid=17467647007537499128&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","4426","5","5","1","3","Cesar Torres","3","Very cool building and loved the atmosphere. My family and I sat outside, a bit cold but we fought through it. My coffee","info@towercafe.com","","",""
"Cafeteria 15L","1116 15th St, Sacramento, CA 95814, USA","(916) 492-1960","http://www.cafeteria15l.com/","https://maps.google.com/?cid=15700142467618480941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3699","5","5","1","3","Yoke Chen - Jaane Abidog","3","We made a reservation through Resy, but since we arrived early, the staff was able to accommodate us without any issue.","mas-taco-logo-white@3x.png.webp","","",""
"Fixins Soul Kitchen","3428 3rd Ave, Sacramento, CA 95817, USA","(916) 999-7685","http://www.fixinssoulkitchen.com/","https://maps.google.com/?cid=706499510659611245&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3795","5","5","1","3","Michelle Bennett","3","Let’s start by saying this place is overpriced, but the server was nice. The 1 piece fried fish dinner  I ordered was $2","info@fixinssoulkitchen.com","","",""
"Mayahuel","1200 K St, Sacramento, CA 95814, USA","(916) 441-7200","http://experiencemayahuel.com/","https://maps.google.com/?cid=6722228718714225425&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1918","5","5","1","3","Corey Strock","3","We had some issues at Mayahuel.  But I'll start with the good: Menu was great, lots of options which looked quite good.","info@experiencemayahuel.com","","",""
"Joe's Crab Shack","1210 Front St, Sacramento, CA 95814, USA","(916) 553-4249","https://www.joescrabshack.com/location/joes-crab-shack-sacramento/","https://maps.google.com/?cid=12572375783952388419&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","10795","5","5","1","2","Ryan Robletto","2","If you’re looking for good seafood, this is definitely not the place to go in downtown Sacramento. There’s many other pl","info@joescrabshack.com","","",""
"The 7th Street Standard","1122 7th St, Sacramento, CA 95814, USA","(916) 898-1100","https://www.the7thstreetstandard.com/","https://maps.google.com/?cid=14289048630779536675&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","217","5","5","1","2","Carley Anderson","2","Walked in through the corner door and were very confused about whether it was a seat-yourself situation, since there was","user@domain.com","","",""
"juju kitchen & cocktails","1501 L St, Sacramento, CA 95814, USA","","https://www.jujukitchenandcocktails.com/","https://maps.google.com/?cid=18022211306667437755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","75","5","5","1","3","Spencer Q","3","Food: 3/5 Service: 4/5 Ambiance: 5/5 Overall: Definitely loved the ambiance.  Food was standard fare.  The extended revi","info@jujukitchenandcocktails.com","","",""
"Canon","1719 34th St, Sacramento, CA 95816, USA","(916) 469-2433","http://canoneastsac.com/","https://maps.google.com/?cid=13486606481910076035&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","755","5","5","1","3","Emily","3","EDIT: ordered a 2nd time but got cheesecakes to-go. It was so sloppy and they left the seeds in the kumquats and were ch","info@canoneastsac.com","","",""
"Omakase Por Favor - Midtown","1050 20th St Suite 150, Sacramento, CA 95811, USA","(916) 298-4083","http://www.omakaseporfavor.com/","https://maps.google.com/?cid=15291660487049786960&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","85","5","5","1","2","mau","2","I stopped by for happy hour after seeing great reviews and left feeling let down.  The margarita was fine. We ordered th","user@domain.com","","",""
"Honey and The Trapcat","1023 Front St A, Sacramento, CA 95814, USA","(916) 661-5852","http://www.honeyandthetrapcat.com/","https://maps.google.com/?cid=16269205218812666449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","572","5","5","1","3","Stu Pidasso","3","Definitely 3/5 …cool spot in the basement of Old Sac, plenty of room with outdoor patio also. Real small bar area takes","info@honeyandthetrapcat.com","","",""
"The Rind","1801 L St #40, Sacramento, CA 95811, USA","(916) 441-7463","http://www.therindsacramento.com/","https://maps.google.com/?cid=191724803962776993&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","596","5","5","1","3","NoobTubeR","3","The white cheddar grilled cheese and tomato soup were delicious, and the atmosphere was lovely but, our server was super","sara@therindsacramento.com","","",""
"Bacon & Butter","5913 Broadway, Sacramento, CA 95820, USA","(916) 346-4445","http://baconandbuttersac.com/","https://maps.google.com/?cid=16334098121250348844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3866","5","5","1","3","RBM Image","3","Went here for breakfast, ordered the Breakfast Burrito with potato, corrizo, a small amount of egg and a cheese skirt (s","info@baconandbuttersac.com","","",""
"LowBrau","1050 20th St, Sacramento, CA 95811, USA","(916) 706-2636","http://www.lowbrausacramento.com/","https://maps.google.com/?cid=3061360277198127107&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1146","5","5","1","1","M","1","One star because of “auto gratuity”. What kind of predatory charge is this? Do you not understand what gratuity is for?","info@lowbrausacramento.com","","",""
"Fox & Goose Public House","1001 R St, Sacramento, CA 95811, USA","(916) 443-8825","http://www.foxandgoose.com/","https://maps.google.com/?cid=9990404580272056834&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3638","5","5","0","4","Eddie J","4","There’s something special about **Fox & Goose Public House**. It’s a true Sacramento staple, full of history and memorie","info@foxandgoose.com","","",""
"Grange Restaurant & Bar","926 J St, Sacramento, CA 95814, USA","(916) 492-4450","https://www.grangerestaurantandbar.com/","https://maps.google.com/?cid=17733696333740792741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","856","5","5","0","5","Carl Valdez","5","First time here for lunch with out of town guests and it did not disappoint!  The power lunch is the way to go with a ha","user@domain.com","","",""
"The Kitchen Restaurant","915 Broadway #100, Sacramento, CA 95818, USA","(916) 568-7171","http://thekitchenrestaurant.com/","https://maps.google.com/?cid=14106886741384964200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","803","5","5","0","5","Kris Backus","5","Dinner at The Kitchen was more than dinner out - it was an experience.  As soon as you arrive and are seated, they encou","info@thekitchenrestaurant.com","","",""
"The Waterboy","2000 Capitol Ave, Sacramento, CA 95811, USA","(916) 498-9891","http://www.waterboyrestaurant.com/","https://maps.google.com/?cid=6896688131476907894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","857","5","5","0","5","Jason Freeman","5","I found the quality of my food to be quite good. Had very attentive service and a pleasant experience overall. It was qu","info@waterboyrestaurant.com","","",""
"Frog & Slim","1420 16th St Suite 300, Sacramento, CA 95814, USA","(916) 588-3764","http://frogandslim.com/","https://maps.google.com/?cid=14455912154839013835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","431","5","5","0","5","Naturally E","5","Top tier! We absolutely loved everything about this place. From the moment we entered, we were greeted by the owner, Sli","info@frogandslim.com","","",""
"Allora","5215 Folsom Blvd, Sacramento, CA 95819, USA","(916) 538-6434","https://allorasacramento.com/","https://maps.google.com/?cid=13172056962919010503&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","754","5","5","0","4","Joshua Sampson","4","Beautiful restaurant!  Staff were great!  We had a large party so was prix fixe diner and all were great options other t","info@wmrestaurants.com","","",""
"The Morning Fork","1111 21st Street, Sacramento, CA 95811, USA","(916) 476-6765","http://themorningfork.com/","https://maps.google.com/?cid=10034989212034928437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1415","5","5","0","5","Chelle America Unite","5","There's a reason they are packed, especially on the weekends. Had the Crab Seafood Eggs Benedict, let's just say that's","info@themorningfork.com","","",""
"Localis","2031 S St, Sacramento, CA 95811, USA","(916) 737-7699","https://localissacramento.com/","https://maps.google.com/?cid=3414495589440294193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","593","5","5","0","5","Benjamin Grover","5","This was an experience as much as it was food. The chef created a clever 10 course menu all based on interesting people.","orders@localissacramento.com","","",""
"Magpie Café","1601 16th St, Sacramento, CA 95814, USA","(916) 452-7594","http://www.magpiecafe.com/","https://maps.google.com/?cid=10249005004272975796&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","838","5","5","0","5","Poonita Parbhakar","5","Two of us in late age. Vegetarians. We ordered 4 small plates which had more vegetarian options. We had a mushroom chant","user@domain.com","","",""
