business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Brio Italian Grille","80 Regent St, Salt Lake City, UT 84111, USA","(801) 359-4401","https://www.brioitalian.com/locations/city-creek/?y_source=1_MTU5OTgwNTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=10348336768794452059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","3653","5","5","3","3","Danielle Y","3","This meal was disappointing, which was frustrating given the high expectations.  I ordered the Gluten free filet mignon ","","","",""
"Valter's Osteria","173 W Broadway, Salt Lake City, UT 84101, USA","(801) 521-4563","http://valtersosteria.com/","https://maps.google.com/?cid=860515460789347979&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1836","5","5","3","1","Vy Van Ky Sheridan","1","Came here to celebrate our anniversary. We booked a reservation for 5:30 pm when it opened and was promptly seated but t","","","",""
"Rodizio Grill Brazilian Steakhouse Salt Lake City","600 S 700 E 2nd Floor, Salt Lake City, UT 84102, USA","(801) 220-0500","https://www.rodiziogrill.com/salt-lake-city/","https://maps.google.com/?cid=11519514362683004702&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","13893","5","5","2","1","Jamie Cotton","1","We were truly disappointed with our experience. Unfortunately, most of the food, especially the meats. It was extremely ","","","",""
"Bodega and The Rest","331 S Main St, Salt Lake City, UT 84111, USA","(801) 532-4042","http://www.bodega331.com/","https://maps.google.com/?cid=11536929777662881473&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","961","5","5","2","1","Kimberly Ransom","1","Lured by the decor and century old charm, my group of friends came here for dinner & drinks. We had a couple leave immed","","","",""
"Blue Iguana Salt Lake City","165 S W Temple St, Salt Lake City, UT 84101, USA","(801) 533-8900","https://blueiguanarestaurant.net/?utm_source=organic&utm_medium=gmb","https://maps.google.com/?cid=15429717313961635115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3666","5","5","2","3","Big Country","3","Possibly the worst tortillas I’ve ever had. Super thick, doughy, more like a pita. House salsa pretty good, complimentar","","","",""
"Chile-Tepin","307 W 200 S, Salt Lake City, UT 84101, USA","(801) 883-9255","https://www.chile-tepin.com/home","https://maps.google.com/?cid=3557368060647637652&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3519","5","5","2","3","Lindsy H","3","The food was okay. It just didn't have great flavor and it came out cold. I heard good things about this place and it ha","","","",""
"Lake Effect","155 W 200 S, Salt Lake City, UT 84101, USA","(801) 532-2068","http://www.lakeeffectslc.com/","https://maps.google.com/?cid=1767445384093831599&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2797","5","5","1","3","Zeke Dumke IV","3","This is an absolutely beautiful space, but that’s about where it ends. The service consisted of people begrudgingly poin","","","",""
"Caffé Molise","404 S W Temple St, Salt Lake City, UT 84101, USA","(801) 364-8833","http://www.caffemolise.com/","https://maps.google.com/?cid=3702760611557437477&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3662","5","5","1","3","gracie lopez","3","Caffe molise is fancy dining. the environment is lovely, the live music was peaceful, and the lighting is romantic. over","","","",""
"Adelaide","131 S 300 W, Salt Lake City, UT 84101, USA","(801) 658-4600","https://www.adelaidesaltlake.com/","https://maps.google.com/?cid=11294190725753024340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","549","5","5","1","3","Isaac Romero","3","I was around the area and saw this place which is really pretty. I do have to say the food was okay but not particularly","","","",""
"Zest Kitchen & Bar","275 S 200 W, Salt Lake City, UT 84101, USA","(801) 433-0589","https://zestslc.com/?utm_source=google","https://maps.google.com/?cid=10303443288671584193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2061","5","5","1","1","Rachel Dial","1","It has been a month and I’m still upset enough to write a review. We got a “fruit salad” to bring to thanksgiving dinner","","","",""
