business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Tokyo Cowboy","135 E Commerce St, San Antonio, TX 78205, USA","(726) 227-4989","https://www.tokyocowboy-tx.com/","https://maps.google.com/?cid=8922166862326854708&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1045","5","5","2","2","Elizabeth Iglesias","2","My husband made reservations for my birthday during lunch. The place is small but has a nice layout, very nicely decorat","","","",""
"Maverick Texas Brasserie","710 S St Mary's St, San Antonio, TX 78205, USA","(210) 973-6050","http://www.mavericktexas.com/","https://maps.google.com/?cid=7183139252582074487&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1373","5","5","2","3","Christine Krem","3","Came here for Culinaria Restaurant Week and ordered the Beef Bourgignon, a dish I'd been wanting to try for years. The R","","","",""
"Lone Star Cafe","237 Losoya St, San Antonio, TX 78205, USA","(210) 223-9374","http://lonestarcafe.us/","https://maps.google.com/?cid=11590768526346622615&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","2685","5","5","2","1","Kevin Broome","1","I checked in outside. The guy told me to go to the podium upstairs. When the lady finally got to that podium, she seemed","","","",""
"Kona Grill - San Antonio at North Star","7400 San Pedro Ave #1255, San Antonio, TX 78216, USA","(210) 998-7601","https://konagrill.com/locations?locations=San-Antonio,78216","https://maps.google.com/?cid=798535669460301893&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","5188","5","5","2","1","Maricela Ocasio","1","I have eaten in before and would recommend definitely but ToGo is horrible. The portions are outrageously smaller $32 fo","","","",""
"Ida Claire","7300 Jones Maltsberger Rd, San Antonio, TX 78209, USA","(210) 667-2145","http://ida-claire.com/","https://maps.google.com/?cid=15581900517848024211&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","3890","5","5","1","3","Jarek","3","Food from scratch.  Service and atmosphere: Both were very good. The restaurant is nice and offers many seating options,","","","",""
"Mi Tierra Cafe y Panaderia","218 Produce Row, San Antonio, TX 78207, USA","(210) 225-1262","https://mitierracafe.com/","https://maps.google.com/?cid=8598934189318908430&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","24748","5","5","1","2","Yazmin Tusa","2","I recently revisited Mi Tierra after about five years, and unfortunately, it’s not the gem it used to be. I was really l","","","",""
"Four Brothers","112 College St, San Antonio, TX 78205, USA","(210) 518-1063","https://www.omnihotels.com/hotels/san-antonio-la-mansion-del-rio/dining/four-brothers?utm_source=gmblisting&utm_medium=organic","https://maps.google.com/?cid=10908865703276636471&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","525","5","5","1","3","Moe","3","We had a bit of a rocky start here—on our first visit, we asked for a riverfront table, but were told by host or hostess","","","",""
"Chart House","739 E César E. Chávez Blvd, San Antonio, TX 78205, USA","(210) 223-3101","https://www.chart-house.com/location/chart-house-san-antonio-tx/","https://maps.google.com/?cid=15927867014991219872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","6698","5","5","1","3","sheree henton","3","So this place has great service and great  Views of course because it’s a tourist attraction but the food… It’s very hit","","","",""
"Corinne San Antonio","555 S Alamo St, San Antonio, TX 78205, USA","(210) 353-8018","https://www.corinnesatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","https://maps.google.com/?cid=6654602707410603824&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","1254","5","5","1","3","Flitter","3","Ordered the fried bread and half chicken. The food was well prepared and friendly staff but not the flavor of food I lik","","","",""
"Southerleigh Fine Food & Brewery","136 E Grayson St Suite 120, San Antonio, TX 78215, USA","(210) 455-5701","https://www.southerleighatpearl.com/?y_source=1_MTA1NjI1NDkxMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=9421338573375328974&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","4281","5","5","1","2","Surbirnaayah","2","This was my second visit to Southerleigh Fine Food & Brewery. The first time I came here, I had a great experience and g","","","",""
"Bliss Restaurant","926 S Presa St, San Antonio, TX 78210, USA","(210) 225-2547","https://foodisbliss.com/menu/","https://maps.google.com/?cid=14811262503054481313&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","1455","5","5","1","3","Ali Hemati","3","We celebrated my birthday at Bliss with the chef’s tasting menu and wine pairing. The 7 course meal was fine overall som","","","",""
"Casa Rio","430 E Commerce St, San Antonio, TX 78205, USA","(210) 225-6718","http://www.casario.com/","https://maps.google.com/?cid=2728289186931312478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","10648","5","5","1","3","A Graham","3","What happened to this iconic San Antonio Mexican restaurant on the Riverwalk? It had been 10+ years since I’d eaten here","","","",""
"Sugar Factory - San Antonio","849 E Commerce St # 109, San Antonio, TX 78205, USA","(726) 204-2020","http://sanantonio.sugarfactory.com/","https://maps.google.com/?cid=2161207896086103431&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1715","5","5","1","2","Tawni Kofler","2","I went here for my birthday dinner with my husband and 4 children.  First, I was a little surprised on arrival because f","","","",""
"Guillermo's","618 McCullough Ave, San Antonio, TX 78215, USA","(210) 223-5587","http://www.guillermosdowntown.com/","https://maps.google.com/?cid=1877491409024258005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3294","5","5","1","1","Judith Pavon","1","SLOW and BAD service. It took us more than one hour to get our food. No refills on my drink. We asked for ranch and Parm","","","",""
"Margaritaville Restaurant - San Antonio","849 E Commerce St, San Antonio, TX 78205, USA","(210) 973-5911","https://www.margaritavillesanantonio.com/","https://maps.google.com/?cid=10721551682900705568&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","5162","5","5","1","1","Confidential","1","I didn’t get a chance to eat here, so I can’t review the food.  The service was disappointing. I was greeted politely an","","","",""
"Bubba Gump Shrimp Co.","406 Navarro St, San Antonio, TX 78205, USA","(210) 224-4867","https://www.bubbagump.com/location/bubba-gump-san-antonio-tx/","https://maps.google.com/?cid=10795034700735926421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","3649","5","5","1","3","Amber Poff","3","Pros: * Amazing location right on the Riverwalk — the scenery can’t be beat * Clean space * Cozy, welcoming lighting  Co","","","",""
