business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Coasterra","880 B Harbor Island Dr, San Diego, CA 92101, USA","(619) 814-1300","https://www.coasterra.com/","https://maps.google.com/?cid=13138992375895706443&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","5264","5","5","3","2","Arushi Bhargava","2","My husband and I visited the restaurant today for our anniversary dinner. We had a reservation so we were seated promptl","","","",""
"AKA San Diego","611 Fifth Ave, San Diego, CA 92101, USA","(619) 780-0430","https://www.akagaslamp.com/","https://maps.google.com/?cid=12708471912018355326&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","855","5","5","3","2","Amy","2","What a BUMMER! We made our reservation over 2 weeks in advance. When we arrived we were told there was only bar seating ","","","",""
"Greystone Prime Steakhouse & Seafood","658 Fifth Ave, San Diego, CA 92101, USA","(619) 232-0225","https://www.greystonesteakhouse.com/","https://maps.google.com/?cid=5607939352686011690&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2355","5","5","3","1","Ernest Carreira","1","I made reservations for my girlfriend and myself for Valentine’s Day expecting a special and memorable evening. I knew i","","","",""
"Seneca Trattoria","901 Bayfront Ct Level 19, San Diego, CA 92101, USA","(619) 877-8642","http://senecatrattoria.com/","https://maps.google.com/?cid=4769397286521790739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1405","5","5","2","2","Kristina A","2","We arrived on time for our 7:45pm reservation, were immediately told they are running behind- ended up seated by 8pm. Fi","","","",""
"The Remy","2445 Hotel Circle Place, San Diego, CA 92108, USA","(619) 906-5570","https://www.theremysd.com/","https://maps.google.com/?cid=9422221078646450085&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","488","5","5","2","3","Hector Cruz","3","Gave an overall 3 because I was brought here for my birthday and I ordered the waygu my strip medium rare and I got a me","","","",""
"Nobu San Diego","207 Fifth Ave, San Diego, CA 92101, USA","(619) 814-4124","https://www.noburestaurants.com/sandiego/home/?utm_source=google&utm_medium=Yext","https://maps.google.com/?cid=12985922639095748162&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","902","5","5","2","1","Ruth Thomson","1","Had dinner tonight with a group in San Diego for a conference. We each ordered individually. I ordered the rock shrimp t","","","",""
"Malibu Farm San Diego","831 W Harbor Dr, San Diego, CA 92101, USA","(619) 695-2300","https://www.malibu-farm.com/seaport-san-diego/","https://maps.google.com/?cid=11303879801333713294&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","843","5","5","1","3","Aadhya Pandya","3","This is a aesthetic cafe aand that's all. we had ordered most of the breakfast items, the pancakes were very chewy and j","","","",""
"Water Grill San Diego","615 J St, San Diego, CA 92101, USA","(619) 717-6992","https://www.watergrill.com/sandiego","https://maps.google.com/?cid=14882137766428122778&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2755","5","5","1","3","Quality Queen","3","Water Grill has a sweet place in my heart since it was one of the first places I went to with my husband when we started","","","",""
"Herb & Wood","2210 Kettner Blvd, San Diego, CA 92101, USA","(619) 955-8495","https://www.herbandwood.com/","https://maps.google.com/?cid=18328325797112983035&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2496","5","5","1","2","Tammy Atkins","2","My birthday was January 17th. My boyfriend made reservations over a week ago and mentioned it was my birthday. Our reser","","","",""
"Cafe Sevilla of San Diego","353 Fifth Ave, San Diego, CA 92101, USA","(619) 233-5979","https://www.cafesevilla.com/","https://maps.google.com/?cid=1136575806614048066&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","3643","5","5","1","2","Charu Sharma","2","Missable spot for vegetarians. Tried the papas bravas which were NOT like the patatas bravas of Spain! This one had onio","","","",""
