business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The FAB","110 Paseo de San Antonio, San Jose, CA 95112, USA","(408) 320-4121","http://thefabsj.com/","https://maps.google.com/?cid=6045395421200355985&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","216","5","5","4","1","Azaan Qureshi","1","We were one of maybe 3 other couples in the entire restaurant, which should usually mean there isn’t a long wait for foo","","","",""
"Petiscos 'Downtown'","399 S 1st St, San Jose, CA 95113, USA","(408) 320-2884","http://petiscosadega.com/","https://maps.google.com/?cid=12311738630769233579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","706","5","5","3","1","Khiem Nguyen","1","The place looks great but that's about where it ends in terms of complements. It seems like they want to charge fancy re","","","",""
"Original Joe's San Jose","301 S 1st St, San Jose, CA 95113, USA","(408) 292-7030","https://www.sanjoseoriginaljoes.com/?y_source=1_MTQ2MTA4ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=17483991626551845487&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","2805","5","5","3","3","Apryl Chiem","3","Did not realize this Original Joe's was not affiliated with any other one until after ordering since their pasta looked ","","","",""
"Secco Restaurant & Bar","300 S Almaden Ave, San Jose, CA 95110, USA","(408) 947-4444","https://seccorestaurant.com/","https://maps.google.com/?cid=15939757597750166947&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","86","5","5","2","1","Torsten Rohlfing","1","The food is actually quite good and even reasonably priced. The location is very convenient and the ambience perfectly a","","","",""
"The Grill on the Alley","172 S Market St, San Jose, CA 95113, USA","(408) 294-2244","https://www.thegrill.com/","https://maps.google.com/?cid=8698878488011190124&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","623","5","5","2","1","Nicole Victor","1","Our party had extremely high expectations for The Grill on the Alley, but unfortunately, our experience was deeply disap","","","",""
"The GrandView","15005 Mt Hamilton Rd, San Jose, CA 95140, USA","(408) 251-8909","https://www.grandviewsanjose.com/","https://maps.google.com/?cid=5083559617862596176&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1764","5","5","1","3","Joyce Lin","3","My boyfriend took me here to celebrate Valentine's Day and it was a fixed menu with $175 per person. It's my first time ","","","",""
"Naschmarkt Restaurant - Campbell","384 E Campbell Ave, Campbell, CA 95008, USA","(408) 378-0335","http://naschmarktrestaurants.com/","https://maps.google.com/?cid=501271233112563356&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","981","5","5","1","3","gaston daugherty","3","I was expecting original Austrian food . Was disappointed . I thought the sausages would be made in house along with the","","","",""
"District","65 N San Pedro St, San Jose, CA 95110, USA","(669) 292-5252","https://www.districtsj.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link","https://maps.google.com/?cid=15673630030547805610&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","851","5","5","1","3","Tzvi Shahar","3","Interesting restaurant, we had dinner here during a Monday and almost ordered the entire menu, food was fresh and we lik","","","",""
"JOEY Valley Fair","2855 Stevens Creek Blvd Suite 1840, Santa Clara, CA 95050, USA","(669) 899-5639","https://joeyrestaurants.com/location/joey-valley-fair","https://maps.google.com/?cid=17200689946577167943&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2195","5","5","0","4","Elizabeth Yeh","4","This is a belated review, I visited Joey last summer. Overall, their menu is very fusion and diverse, paired with a styl","","","",""
"Eos & Nyx","201 S Second St #120, San Jose, CA 95113, USA","(408) 831-6880","http://www.eosnyxsj.com/","https://maps.google.com/?cid=12405285157949925557&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","315","5","5","0","5","Wendy Ng","5","Incredible service.  Staff were so friendly and attentive.  Constantly refilling our waters and asking if we want anothe","","","",""
