business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Anthony's Pier 66 & Bell Street Diner","2201 Alaskan Wy, Seattle, WA 98121, USA","(206) 448-6688","https://www.anthonys.com/restaurant/anthonys-bell-street-diner/","https://maps.google.com/?cid=2364178980047553367&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2448","5","5","3","1","Dolly Wu","1","Came here after reading the reviews for the $33 three-course meal, but honestly, none of the dishes were good. The seafo","","","",""
"Tai Tung Restaurant","655 S King St, Seattle, WA 98104, USA","(206) 622-7372","https://www.taitungrestaurant.com/","https://maps.google.com/?cid=9727176627510675414&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2055","5","5","3","2","Laura Granda","2","Do not go here if you want to have good food! The food here was tasteless, looked unappealing and was not worth the pric","","","",""
"Canlis","2576 Aurora Ave N, Seattle, WA 98109, USA","(206) 283-3313","https://canlis.com/","https://maps.google.com/?cid=15060210120606856902&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2794","5","5","2","2","Jonathan Kim","2","Canlis offers an undeniably beautiful ambiance and world-class views, but unfortunately, the cuisine did not live up to ","","","",""
"The Fisherman's Restaurant Seattle","1301 Alaskan Wy, Seattle, WA 98101, USA","(206) 623-3500","https://www.thefishermansrestaurant.com/","https://maps.google.com/?cid=11537853435888176790&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","2602","5","5","2","1","Michelle M","1","My family and I were visiting Seattle before a cruise and were hungry when visiting Seattle’s waterfront.  Naturally, yo","","","",""
"The Athenian Seafood Restaurant And Bar","Next to Pure Food Fish Market, 1517 Pike Pl, Seattle, WA 98101, USA","(206) 624-7166","http://athenianseattle.com/","https://maps.google.com/?cid=5471132272044475079&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2007","5","5","2","2","Cale Lewis","2","Great location, decent service, the food is hit or miss. They’ve got drink and food items on the walls that are no longe","","","",""
"13 Coins Pioneer Square","255 S King St, Seattle, WA 98104, USA","(206) 682-2513","https://www.13coins.com/","https://maps.google.com/?cid=3789445869605819246&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","4902","5","5","2","3","Robert Pomerville","3","2/14/26, 10am.  Moderate business, 2 of us were sat at the counter,  not asked if that was OK versus a table. Turned out","","","",""
"Cafe Campagne","1600 Post Alley, Seattle, WA 98101, USA","(206) 728-2233","http://www.cafecampagne.com/","https://maps.google.com/?cid=5958989629258976379&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1513","5","5","2","2","Dr. Catherine Cushinberry","2","The atmosphere is as expected. We were transported to Paris. It was lovely. However, we ordered French onion soups and t","","","",""
"Chinook's At Salmon Bay","1900 W Nickerson St #103, Seattle, WA 98119, USA","(206) 283-4665","https://www.anthonys.com/restaurant/chinooks-at-salmon-bay/","https://maps.google.com/?cid=271572534502848340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2441","5","5","2","2","Jane F","2","Very disappointed. One of our group remembered our take out visit a few years ago and really wanted to return. The servi","","","",""
"The Crab Pot Seattle","1301 Alaskan Way Pier 57, 1305 Alaskan Wy, Seattle, WA 98101, USA","(206) 624-1890","https://www.thecrabpotseattle.com/","https://maps.google.com/?cid=7651403129190068081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","11593","5","5","1","3","Maui World Travelers","3","Friends of ours recommended this place. I do appreciate them, really.  ATMOSPHERE: Located in the Miners Landing mall. I","","","",""
"Toulouse Petit Kitchen & Lounge","601 Queen Anne Ave N, Seattle, WA 98109, USA","(206) 432-9069","https://www.toulousepetit.com/","https://maps.google.com/?cid=4750646760953332409&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","6470","5","5","1","1","Mrs. Michaela Hall","1","This place needs real ratings. First, the welcome was excellent entering the facility. Next the beignets were dry overly","","","",""
"Lola","2000 B 4th Ave, Seattle, WA 98121, USA","(206) 441-1430","https://www.lolaseattle.com/?utm_source=gbp&utm_medium=organic&utm_campaign=fm","https://maps.google.com/?cid=15277971614303323470&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","4518","5","5","1","3","Nicolai Solheim","3","Lola presents itself as a modern Greek-influenced restaurant, but it unfortunately misses much of what makes Greek cuisi","","","",""
