business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Miller & Lux Restaurant","700 Terry A Francois Blvd, San Francisco, CA 94158, USA","(415) 872-6699","http://www.millerandluxrestaurant.com/","https://maps.google.com/?cid=498485797938547268&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","402","5","5","2","2","Green Man","2","I made reservations well in advance so we could enjoy dinner before a comedy show at Chase Center. Unfortunately, the ex","","","",""
"Absinthe Brasserie & Bar","398 Hayes St, San Francisco, CA 94102, USA","(415) 551-1590","http://www.absinthe.com/","https://maps.google.com/?cid=6425557835396706278&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1801","5","5","2","2","L Oliver","2","People who work here are really nice and friendly hence the 2 stars overall. 5+ stars for them! Unfortunately, food left","","","",""
"Zuni Café","1658 Market St, San Francisco, CA 94102, USA","(415) 552-2522","http://www.zunicafe.com/","https://maps.google.com/?cid=11491213088621274249&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2575","5","5","2","3","Michelle Kim","3","Here's an honest review for Zuni, which had been on my list for over a year, but I tried my best not to get myself hyped","","","",""
"Delancey Street Restaurant","600 The Embarcadero, San Francisco, CA 94107, USA","(415) 512-5179","http://www.delanceystreetfoundation.org/enterrestaurant.php","https://maps.google.com/?cid=10080162167051074226&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1600","5","5","1","3","Brandon","3","I went to Delancey Street Restaurant with my friend, and we’re both in ninth grade. The food was amazing and surprisingl","","","",""
"Seven Hills","1896 Hyde St, San Francisco, CA 94109, USA","(415) 775-1550","https://sevenhillssf.com/","https://maps.google.com/?cid=4292125742157162842&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","905","5","5","1","1","Tomya","1","My friend and I made a reservation for here, it was mid. Our waiter was nice. They informed me that I wasn’t able to mod","","","",""
"Sisterita","669 Commercial St, San Francisco, CA 94111, USA","(415) 649-1919","http://www.sisterita.com/","https://maps.google.com/?cid=3435342571408571843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","699","5","5","1","3","Simone Alexis Sonnier-Jang","3","I was late to my reservation due to a BART delay and they graciously moved my time for me. When I arrived, I had my bag ","","","",""
"Tartine Bakery","600 Guerrero St, San Francisco, CA 94110, USA","(415) 487-2600","http://www.tartinebakery.com/","https://maps.google.com/?cid=6926389544917822571&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","5857","5","5","1","3","Burt","3","I was rather unimpressed with the baked goods from this this bakery, the service was friendly and efficient and it's def","","","",""
"a Mano","450 Hayes St, San Francisco, CA 94102, USA","(415) 506-7401","https://amanosf.com/","https://maps.google.com/?cid=17876618845727866415&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2277","5","5","1","2","Clara de Soto","2","Really wanted to like this place. The ambiance is lovely, location wonderful. But the food is like microwaved garbage. T","","","",""
"Wayfare Tavern","201 Pine St, San Francisco, CA 94111, USA","(415) 772-9060","https://www.wayfaretavern.com/","https://maps.google.com/?cid=3987028339363157431&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2967","5","5","1","3","Ce Cee","3","This narrow, intimate restaurant feels like stepping into a cozy country house - dark wood, rich walls, and plush velvet","","","",""
"Ula Restaurant & Tapas Bar","450 Post St, San Francisco, CA 94102, USA","(415) 999-4950","https://ulasf.com/","https://maps.google.com/?cid=6278337761582435421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","503","5","5","1","3","Victoria Edwards","3","I really wish I could give more than 3 stars because the food was wonderful and the atmosphere was even better. However,","","","",""
