business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"The Centennial Restaurant & Bar","303 W North River Dr, Spokane, WA 99201, USA","(844) 733-3305","https://www.davenporthotelcollection.com/the-centennial/restaurants/the-centennial-restaurant/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=11588740923492524231&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","119","5","5","5","1","Cassie Knodel","1","We had a date night consisting of two couples and out of 4 meals they were all terrible. The New York looks like a tiny","info@davenporthotelcollection.com","","",""
"Palm Court Grill","10 S Post St, Spokane, WA 99201, USA","(509) 789-6848","https://www.davenporthotelcollection.com/the-historic-davenport-hotel/restaurants/the-palm-court-grill/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","https://maps.google.com/?cid=1663188609862837245&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.8","317","5","5","3","1","Georgina De la Garza","1","We've been here a few times. Service has never been stellar, but today, how bad it was is definitely worth mentioning. T","reservations@davenporthotels.com","","",""
"Ruins Restaurant","411 N Nettleton St, Spokane, WA 99201, USA","(509) 474-1262","https://sites.google.com/view/ruinsspokane","https://maps.google.com/?cid=9528714269793479807&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","576","5","5","2","2","Stephanie Redder","2","Happy Hour must not be the time to come to this place on a Saturday. This place was nearly empty and the service was so","info@sites.google.com","","",""
"The Backyard Public House","1811 W Broadway Ave, Spokane, WA 99201, USA","(509) 822-7338","https://backyardspokane.com/","https://maps.google.com/?cid=10610949830295321302&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1196","5","5","2","2","Maureen Painter","2","I wanted to still love this place.  The last time we were here it was so great.  The service was good, the food was good","user@domain.com","","",""
"Mizuna","214 N Howard St, Spokane, WA 99201, USA","(509) 747-2004","http://www.mizuna.com/","https://maps.google.com/?cid=1628611537572984489&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","718","5","5","2","2","Maddie Van Blaricom","2","This used to be one of my favorite restaurants as a vegetarian, but then they got rid of the “meatloaf”. Yesterday I had","andrew@mizuna.com","","",""
"Wiley's downtown bistro","421 W Main Ave Suite 104, Spokane, WA 99201, USA","(509) 838-4600","http://wileysbistro.com/","https://maps.google.com/?cid=13081210624370880937&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","718","5","5","2","3","Ashley Bales","3","Update: although I had it not so great experience this time, the last time it was amazing. I will say that the manager t","info@wileysbistro.com","","",""
"Clinkerdagger","621 W Mallon Ave, Spokane, WA 99201, USA","(509) 328-5965","https://www.clinkerdagger.com/","https://maps.google.com/?cid=9312255554563597180&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3631","5","5","1","3","Y M","3","Without reservations it was easy to get a table for one, with a good view of the Spokane river. I ordered coconut shrimp","info@clinkerdagger.com","","",""
"Gilded Unicorn","110 S Monroe St, Spokane, WA 99201, USA","(509) 309-3698","https://gildedunicorn.com/","https://maps.google.com/?cid=15869248640210867569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1360","5","5","1","3","Rachelle K","3","We had a somewhat conflicting experience here.This place is beautiful for sure, a very cozy dining room with lovely deco","info@gildedunicorn.com","","",""
"Steam Plant Restaurant & Brew Pub","159 S Lincoln St ste 1, Spokane, WA 99201, USA","(509) 777-3900","http://www.steamplantspokane.com/","https://maps.google.com/?cid=12794375528319980996&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1951","5","5","1","3","Josh Gabert","3","What a cool concept to turn something so industrial, a remnant of the past, into such a thrilling restraunt experience.","reservations@steamplantspokane.com","","",""
"The Elk","1931 W Pacific Ave, Spokane, WA 99201, USA","(509) 363-1973","http://wedonthaveone.com/the-elk/","https://maps.google.com/?cid=2478714543831298058&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1742","5","5","1","3","High Flying Living","3","Sunday afternoon in Spokane and my husband and I were hungry! We didn't want to go downtown to eat because we thought it","info@wedonthaveone.com","","",""
