business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Ms. Jane's Fine Dining","4411 Pacific Hwy E, Fife, WA 98424, USA","(253) 231-4434","https://msjanes.com/","https://maps.google.com/?cid=16772994161701107986&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","123","5","5","2","2","Gloria Tran","2","Ms. Jane’s Fine Dining offers an ambitious menu, but execution was inconsistent during my visit.  The beef carpaccio was","info@msjanes.com","","",""
"Chez Lafayette Creole Brasserie","1101 Tacoma Ave S, Tacoma, WA 98402, USA","(253) 408-7037","https://chezlafayette.com/","https://maps.google.com/?cid=2261270310126067246&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","455","5","5","1","3","Juan Loya","3","It was a nice little restaurant, I was hoping to try their 5 course menu but I'll get to it eventually. This time my wif","info@chezlafayette.com","","",""
"Cooper's Food and Drink","5928 N 26th St, Tacoma, WA 98407, USA","(253) 503-0329","https://coopersfoodanddrink.com/","https://maps.google.com/?cid=1561953560614608292&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1703","5","5","1","3","Lilli Alton","3","Relatively decent food. The Pretzel with cheese and onion rings were both great. The burger patties were both overly dry","info@coopersfoodanddrink.com","","",""
"WildFin American Grill","5115 Grand Loop, Tacoma, WA 98407, USA","(253) 267-1772","https://www.wildfinamericangrill.com/tacoma/","https://maps.google.com/?cid=607657826465600753&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","4064","5","5","1","2","Ansar Mulla","2","We tried several dishes, and while the presentation looked appealing, the overall experience landed somewhere in the mid","user@domain.com","","",""
"Manuscript","203 Tacoma Ave S, Tacoma, WA 98402, USA","(253) 212-0779","https://manuscripttacoma.com/?utm_source=google","https://maps.google.com/?cid=12125123225207568554&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","242","5","5","1","2","Janette G","2","We were looking for new places to eat in Tacoma, but Manuscript will definitely not be one we return to. I’m not someone","info@manuscripttacoma.com","","",""
"Ram Restaurant & Brewery","3001 Ruston Way, Tacoma, WA 98402, USA","(253) 756-7886","https://theram.com/","https://maps.google.com/?cid=4420173618837252146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","4095","5","5","1","3","Nguyen Tran","3","It’s an ok experience. We like the crab dip. It was the best out of all dishes that we have. Our drinks have flies in it","info@theram.com","","",""
"Stanley & Seafort's","115 E 34th St, Tacoma, WA 98404, USA","(253) 473-7300","https://www.stanleyandseaforts.com/","https://maps.google.com/?cid=11968253078874240793&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","3629","5","5","1","2","Christina P","2","A disappointing way to spend NYE.  First, the good: Our server, Doug, was friendly and personable, and was working so ha","info@stanleyandseaforts.com","","",""
"Woven Seafood & Chophouse","3017 Ruston Way, Tacoma, WA 98402, USA","(253) 650-9500","https://eatwoven.com/","https://maps.google.com/?cid=1892756534971156160&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","711","5","5","1","2","Richard Truitt","2","Let preference this by saying I have over 30 years in the food service industry and my late father was a professional co","ryan@revealize.com","","",""
"Boathouse 19","9001 S 19th St, Tacoma, WA 98466, USA","(253) 565-1919","https://www.anthonys.com/restaurant/boathouse-19/","https://maps.google.com/?cid=14606141594264689442&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","2757","5","5","1","3","Jen L","3","Looking for a place along the waterfront and found this place. The location is kind of hidden away and limited parking c","info@anthonys.com","","",""
"Le Sel Bistro","229 St Helens Ave, Tacoma, WA 98402, USA","(253) 327-1015","http://www.leselbistro.com/","https://maps.google.com/?cid=10677245280872512620&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","815","5","5","1","3","sarah cabrera","3","We had a reservation  and our tables wasn't  ready.  We waited for about 15 minutes  until we got seated.  Atmosphere  w","info@leselbistro.com","","",""
