business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"M.Bird Rooftop Restaurant, Bar & DJ's","1903 Market St, Tampa, FL 33602, USA","(813) 296-2702","https://www.mbirdtampa.com/","https://maps.google.com/?cid=2018391165695296270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1966","5","5","1","3","Kristen","3","My husband and I were here for a work event. There was an area roped off for us. My husband really liked the food. He sa","","","",""
"Rocca","323 W Palm Ave, Tampa, FL 33602, USA","(813) 906-5445","https://roccatampa.com/","https://maps.google.com/?cid=11969414653190066132&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1318","5","5","1","1","Andrea Sandoval-Molina","1","I’m really sad to even be writing this because Rocca has truly been my favorite spot in town for a long time. I’ve alway","","","",""
"Walk-On's Sports Bistreaux - Tampa (Midtown)","1140 Gramercy Ln, Tampa, FL 33607, USA","(813) 771-7100","https://locate.walk-ons.com/fl/tampa/restaurants-441.html","https://maps.google.com/?cid=4635375435467074936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.9","5515","5","5","1","3","Alysha","3","The standout aspect of our visit was definitely the drinks. However, the wings and fries had too much salt. While the se","","","",""
"Riveters Tampa","2301 N Dale Mabry Hwy, Tampa, FL 33607, USA","(813) 559-1450","http://riveterstampa.com/","https://maps.google.com/?cid=15378405145039178802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1398","5","5","0","5","Charles Baran","5","Loved this place.  We went just before the Hockey at Raymond James.  People were super nice. Quickly seated, drinks with","","","",""
"OLIVIA","3601 W Swann Ave, Tampa, FL 33609, USA","(813) 328-8866","https://www.oliviafl.com/","https://maps.google.com/?cid=1738980952521902707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","2749","5","5","0","5","Lindsay V","5","We had a great meal at Olivia. Walked in on a busy Tuesday night but there were plenty of seats open at the bar. Jared w","","","",""
"Kona Grill - Tampa","4134 W Boy Scout Blvd #1, Tampa, FL 33607, USA","(813) 877-5938","https://konagrill.com/locations?locations=Tampa,33607","https://maps.google.com/?cid=3709943122810787567&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","10238","5","5","0","5","Alexis C","5","The atmosphere walking in was nice, chill and welcoming. The fried pickles were deliciously crispy. The crab crunch roll","","","",""
"Naked Farmer","1001 Water St, Tampa, FL 33602, USA","(813) 608-0329","https://www.eatnakedfarmer.com/","https://maps.google.com/?cid=17090888003842502133&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2306","5","5","0","5","France Moise","5","I’m always greeted with the warmest smiles the moment I walk into Naked Farmer. Everyone genuinely seems happy to be the","","","",""
"Bahama Breeze","3045 N Rocky Point Dr E, Tampa, FL 33607, USA","(813) 289-7922","https://www.bahamabreeze.com/locations/fl/tampa/tampa/3004?cmpid=br:bb_ag:ie_ch:loc_ca:BBGMB_sn:gmb_gt:tampa-fl-3004_pl:locurl_rd:1004","https://maps.google.com/?cid=16939913857477314058&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","19234","5","5","0","4","Rashiadah Weaver","4","I will say all the food was amazing except my order. Compared to others at the table it was a little bit of a let down, ","","","",""
"Yard House","450 Channelside Dr, Tampa, FL 33602, USA","(813) 371-5495","https://www.yardhouse.com/locations/fl/tampa/tampa-water-street/8394?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:tampa-fl-8394_pl:locurl_rd:1088","https://maps.google.com/?cid=16740716300267766565&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1538","5","5","0","5","Caro ParG","5","It’s a nice sports bar with a great ambiance. Unfortunately, the service did not meet my expectations the staff was not ","","","",""
"Seasons 52","204 N Westshore Blvd, Tampa, FL 33609, USA","(813) 286-1152","https://www.seasons52.com/locations/fl/tampa/tampa/4511?cmpid=br:s52_ag:ie_ch:loc_ca:S52GMB_sn:gmb_gt:tampa-fl-4511_pl:locurl_rd:1010","https://maps.google.com/?cid=13681205643678199865&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","3965","5","5","0","5","Greg Crossley","5","We’ve been here a few times now and we just love it. I honestly didn’t realize it’s lower calorie healthy food. My wife ","","","",""
"American Social - Bar & Kitchen - Tampa","601 S Harbour Island Blvd #107, Tampa, FL 33602, USA","(813) 285-5723","https://americansocialbar.com/locations/tampa/","https://maps.google.com/?cid=12690665343576533944&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","5222","5","5","0","4","Brandon P","4","American bar food with a twist of trying to be mildly more upscale is what I would describe the food served by this plac","","","",""
"Ulele","1810 N Highland Ave, Tampa, FL 33602, USA","(813) 999-4952","https://ulele.com/","https://maps.google.com/?cid=7024264887899776259&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","11342","5","5","0","4","E Lee","4","Visited from out of town to see some friends in Tampa. Restaurant came highly recommended. Gorgeous Saturday afternoon. ","","","",""
"The Pearl Tampa","823 Water St C100, Tampa, FL 33602, USA","(813) 709-7776","https://thepearlrestaurant.com/locations-menus/tampa/","https://maps.google.com/?cid=5355934940250009208&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1490","5","5","0","4","Xavier Gonzalez","4","What caught my attention is that we made a reservation for a group of 12 people and were seated 30 minutes later. That’s","","","",""
"Casa Cami","2545 N Rocky Point Dr, Tampa, FL 33607, USA","(813) 492-8187","https://casacami.com/","https://maps.google.com/?cid=7418213294753293077&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","686","5","5","0","4","Mike Zipko","4","Casa Cami is a nice place overall, but not quite a “wow” experience. The food was good, but nothing especially memorable","","","",""
