business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes,email_step1_sent
"Prelude Kitchen & Bar","1117 11th St, Sacramento, CA 95814, USA","(916) 898-1071","https://preluderestaurant.com/","https://maps.google.com/?cid=6383136250853464384&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","551","5","5","3","2","C H","2","We dined at Prelude tonight before heading to the ballet and let our server know immediately that we were on a firm time","manager@preluderestaurant.com","","","","2026-05-02"
"Ella Dining Room & Bar","1131 K St, Sacramento, CA 95814, USA","(916) 443-3772","http://www.elladiningroomandbar.com/","https://maps.google.com/?cid=17300120321353988894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1404","5","5","3","3","Emily","3","Truffle spaghetti was so good. Caviar is pretty basic, not creative and not worth $135. Lobster roll has big chunks of l","info@elladiningroomandbar.com","","","","2026-05-02"
"Frank Fat's","806 L St, Sacramento, CA 95814, USA","(916) 442-7092","https://frankfats.com/","https://maps.google.com/?cid=8222084348643122330&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1333","5","5","3","3","Charlene Zarate - Andrade","3","I wanted dishes with vegetables with mung beans in it. But , instead they only had noodles. I said I had celiac Disease","info@frankfats.com","","","","2026-05-02"
"Hawks Public House","1525 Alhambra Blvd, Sacramento, CA 95816, USA","(916) 588-4440","http://hawkspublichouse.com/","https://maps.google.com/?cid=3320608940817312877&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","609","5","5","2","2","Kat Girl","2","Had quite the experience at Hawks which leaves me with mixed feelings.  My drink was fabulous. The general manager, Cody","eat@hawkspublichouse.com","","","","2026-05-02"
"Capitol Garage","1500 K St, Sacramento, CA 95814, USA","(916) 444-3633","https://www.capitolgarage.com/","https://maps.google.com/?cid=10681481057644733145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1355","5","5","2","3","Kevin S","3","Bad first impression. A lukewarm greeting by the host/bartender, oddly aggressive when we asked not to be seated in a da","capg1500@gmail.com","","","","2026-05-02"
"Willow","1006 4th St, Sacramento, CA 95814, USA","(916) 983-8001","http://www.willowsacramento.com/","https://maps.google.com/?cid=16136526803881549019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","141","5","5","2","1","Robert","1","I assume most people probably wouldn't eat here at 'Willow' if they knew just how dirty and unsanitary their kitchen rea","frontdesk@theexchangesacramento.com","","","","2026-05-02"
"The Golden Bear","2326 K St, Sacramento, CA 95816, USA","(916) 441-2242","http://www.goldenbear916.com/","https://maps.google.com/?cid=15582793365933583988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","777","5","5","2","1","Me sa","1","I had a very uncomfortable experience due to the behavior of one of the doormen. He was a larger Black male wearing army","info@goldenbear916.com","","","","2026-05-02"
"Tapa the World","2115 J St, Sacramento, CA 95816, USA","(916) 442-4353","https://www.tapatheworld.com/","https://maps.google.com/?cid=14847072850695360032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1089","5","5","2","3","Afshin Afshar-Ghasemlou","3","Tapa the World has been a Sacramento staple on J Street since 1994. Now owned and operated by Executive Chef Marcos Muri","tapatheworld916@gmail.com","","","","2026-05-02"
"Bear & Crown","1022 2nd St, Sacramento, CA 95814, USA","(916) 497-9115","http://bearandcrown.com/","https://maps.google.com/?cid=17829418293178391731&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","352","5","5","2","2","Mie-t","2","Dishes and drink are slightly small in portion. appetizers Egg and steak are good, pasta. Pie and sausages w/ mash potat","info@bearandcrown.com","","","","2026-05-02"
"Tom's Watch Bar - Sacramento","414 K St Suite 180, Sacramento, CA 95814, USA","(279) 202-6010","https://tomswatchbar.com/sacramento/","https://maps.google.com/?cid=15816620099545814818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2930","5","5","2","2","Cierra White","2","I came here as another alternative to Twin Peaks to watch the Super Bowl.  Despite getting there an hour and a half befo","info@tomswatchbar.com","","","","2026-05-02"
